world_seed,agent_seed,coins_collected,available_coins,collection_fraction,full_clear,episode_steps,survival_steps,invalid_actions,attempted_actions,action_up,action_right,action_down,action_left,action_wait,action_bomb,termination_reason
31001,25002,49,50,0.98,False,400,400,0,400,166,30,164,40,0,0,step_limit
31002,25002,44,50,0.88,False,400,400,0,400,174,22,170,34,0,0,step_limit
31003,25002,48,50,0.96,False,400,400,0,400,20,175,34,170,1,0,step_limit
31004,25002,50,50,1.0,True,136,136,1,136,29,38,27,42,0,0,survived
31005,25002,45,50,0.9,False,400,400,0,400,28,176,16,180,0,0,step_limit
31006,25002,42,50,0.84,False,400,400,0,400,16,174,30,180,0,0,step_limit
31007,25002,27,50,0.54,False,400,400,0,400,25,182,13,180,0,0,step_limit
31008,25002,47,50,0.94,False,400,400,0,400,168,29,180,23,0,0,step_limit
31009,25002,50,50,1.0,True,112,112,0,112,30,28,32,22,0,0,survived
31010,25002,22,50,0.44,False,400,400,0,400,183,3,196,17,1,0,step_limit
31011,25002,49,50,0.98,False,400,400,0,400,158,30,167,44,1,0,step_limit
31012,25002,42,50,0.84,False,400,400,0,400,173,25,183,19,0,0,step_limit
31013,25002,36,50,0.72,False,400,400,0,400,185,24,175,16,0,0,step_limit
31014,25002,50,50,1.0,True,141,141,0,141,37,33,31,40,0,0,survived
31015,25002,47,50,0.94,False,400,400,1,400,181,22,179,18,0,0,step_limit
31016,25002,46,50,0.92,False,400,400,1,400,169,28,169,34,0,0,step_limit
31017,25002,50,50,1.0,True,123,123,0,123,26,24,37,36,0,0,survived
31018,25002,1,50,0.02,False,400,400,0,400,201,0,199,0,0,0,step_limit
31019,25002,39,50,0.78,False,400,400,0,400,171,29,174,25,1,0,step_limit
31020,25002,50,50,1.0,True,139,139,0,139,36,28,47,28,0,0,survived
31021,25002,50,50,1.0,True,126,126,0,126,32,37,32,25,0,0,survived
31022,25002,50,50,1.0,True,112,112,0,112,27,29,37,19,0,0,survived
31023,25002,50,50,1.0,True,149,149,0,149,36,39,37,37,0,0,survived
31024,25002,32,50,0.64,False,400,400,0,400,176,22,184,18,0,0,step_limit
31025,25002,50,50,1.0,True,111,111,0,111,38,30,24,19,0,0,survived
31026,25002,50,50,1.0,True,122,122,0,122,23,28,31,39,1,0,survived
31027,25002,22,50,0.44,False,400,400,0,400,182,5,195,17,1,0,step_limit
31028,25002,19,50,0.38,False,400,400,0,400,193,8,189,10,0,0,step_limit
31029,25002,3,50,0.06,False,400,400,0,400,2,199,2,197,0,0,step_limit
31030,25002,17,50,0.34,False,400,400,0,400,195,0,191,14,0,0,step_limit
31031,25002,46,50,0.92,False,400,400,0,400,173,28,177,22,0,0,step_limit
31032,25002,50,50,1.0,True,127,127,0,127,26,29,40,32,0,0,survived
31033,25002,50,50,1.0,True,115,115,0,115,32,34,28,21,0,0,survived
31034,25002,47,50,0.94,False,400,400,0,400,23,177,25,175,0,0,step_limit
31035,25002,41,50,0.82,False,400,400,0,400,180,25,178,17,0,0,step_limit
31036,25002,49,50,0.98,False,400,400,0,400,29,172,29,170,0,0,step_limit
31037,25002,44,50,0.88,False,400,400,1,400,33,170,22,175,0,0,step_limit
31038,25002,49,50,0.98,False,400,400,0,400,183,24,171,22,0,0,step_limit
31039,25002,43,50,0.86,False,400,400,0,400,166,32,176,26,0,0,step_limit
31040,25002,37,50,0.74,False,400,400,0,400,20,174,26,180,0,0,step_limit
