scenario,phase,world_seed,agent_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,action_bomb,invalid_actions,termination_reason,executed_action_sequence_sha256
classic,primary,183001,283001,0,9,0.0,0,51,0,step_limit,9db005397a24f253a6ef41b599a3686cae4c766261c8e24a950b83dc95267913
classic,primary,183002,283002,7,9,0.7777777777777778,0,56,10,step_limit,c88bb55ded0a8b55ad463a4e127f57c0ce0954991658270289c67d7b1502deed
classic,primary,183003,283003,4,9,0.4444444444444444,1,40,4,killed,41bb7d71c9aa85bad5d8ed9eb3a5783c72c5f3703429c448a39c5ac217dd9d55
classic,primary,183004,283004,3,9,0.3333333333333333,0,53,37,step_limit,0bd110abd975ca7004724183cfd989c64263963494c880f16ebc2a3b2f7a5a6a
classic,primary,183005,283005,0,9,0.0,1,5,2,killed,c8d54704c70df8a487549ac8a20c0710c5f90965e788745a6824556c2644e0e0
classic,primary,183006,283006,4,9,0.4444444444444444,1,30,2,killed,d8057b147300b131cfb6f2a43f8d711cbc296562214536313178293a7f908a93
classic,primary,183007,283007,6,9,0.6666666666666666,0,62,10,step_limit,aeb080486c3e0dea87f0665e6095791ba583ab9a858026516cd150c0df63ca85
classic,primary,183008,283008,4,9,0.4444444444444444,0,56,18,step_limit,7e4274e20eccc4273a5d5448205a87cf6a09b9141623970de12882c50e56718d
classic,primary,183009,283009,1,9,0.1111111111111111,0,52,2,step_limit,f780d09c3f00aee430859b346646dbe5799b51b3c6a59c98e0eebbc72f4fce1b
classic,primary,183010,283010,2,9,0.2222222222222222,0,55,4,step_limit,d010456854ee2b358fe197851b3810a69fbbdf7632e876e453b15bae72c8cff5
classic,primary,183011,283011,2,9,0.2222222222222222,0,19,4,step_limit,8ce73882c3a90257f39e603aa3d0a17b28a3ce31954877c042d5b1d47850c9ed
classic,primary,183012,283012,7,9,0.7777777777777778,0,57,3,step_limit,9c45062b3a26ad4703057b357137d0035526a9a22a10e8be2fffa0a3cbfcc653
classic,primary,183013,283013,0,9,0.0,0,51,1,step_limit,e64c88608d882ea548b65dd335ef4f52195727d96a3ec7466f4fdf5156706e95
classic,primary,183014,283014,0,9,0.0,0,6,1,step_limit,61020980c38eb3407dc07b700fa28848374865b948579413d5e9d02932cd25fb
classic,primary,183015,283015,0,9,0.0,0,51,0,step_limit,39d1c392902eeaee78cca7f106fd9a709136df315fa667e96791d0d8ef2ff695
