world_seed,agent_seed,coins_collected,available_coins,collection_fraction,full_clear,episode_steps,survival_steps,invalid_actions,attempted_actions,action_up,action_right,action_down,action_left,action_wait,action_bomb,termination_reason
31001,21006,50,50,1.0,True,123,123,0,123,33,26,29,35,0,0,survived
31002,21006,50,50,1.0,True,129,129,0,129,36,31,29,33,0,0,survived
31003,21006,50,50,1.0,True,143,143,1,143,27,44,41,31,0,0,survived
31004,21006,50,50,1.0,True,137,137,0,137,47,28,33,29,0,0,survived
31005,21006,50,50,1.0,True,132,132,0,132,28,31,28,45,0,0,survived
31006,21006,50,50,1.0,True,138,138,0,138,30,32,30,46,0,0,survived
31007,21006,50,50,1.0,True,130,130,0,130,37,32,31,30,0,0,survived
31008,21006,50,50,1.0,True,125,125,0,125,27,38,30,30,0,0,survived
31009,21006,50,50,1.0,True,114,114,0,114,27,28,35,24,0,0,survived
31010,21006,50,50,1.0,True,126,126,0,126,27,32,34,32,1,0,survived
31011,21006,50,50,1.0,True,131,131,0,131,26,32,28,44,1,0,survived
31012,21006,50,50,1.0,True,141,141,0,141,32,40,43,26,0,0,survived
31013,21006,50,50,1.0,True,129,129,0,129,35,34,31,29,0,0,survived
31014,21006,50,50,1.0,True,151,151,0,151,45,31,32,43,0,0,survived
31015,21006,50,50,1.0,True,127,127,0,127,41,31,32,23,0,0,survived
31016,21006,50,50,1.0,True,146,146,0,146,38,34,26,48,0,0,survived
31017,21006,50,50,1.0,True,123,123,0,123,27,23,38,35,0,0,survived
31018,21006,50,50,1.0,True,135,135,0,135,41,34,29,31,0,0,survived
31019,21006,50,50,1.0,True,130,130,1,130,23,41,35,31,0,0,survived
31020,21006,50,50,1.0,True,140,140,0,140,34,30,48,28,0,0,survived
31021,21006,50,50,1.0,True,126,126,0,126,32,37,32,25,0,0,survived
31022,21006,50,50,1.0,True,112,112,0,112,27,29,37,19,0,0,survived
31023,21006,50,50,1.0,True,136,136,0,136,27,41,39,29,0,0,survived
31024,21006,50,50,1.0,True,144,144,0,144,27,39,41,37,0,0,survived
31025,21006,50,50,1.0,True,119,119,0,119,40,32,26,21,0,0,survived
31026,21006,50,50,1.0,True,122,122,0,122,23,28,31,39,1,0,survived
31027,21006,50,50,1.0,True,139,139,0,139,33,25,41,39,1,0,survived
31028,21006,50,50,1.0,True,110,110,0,110,28,24,28,30,0,0,survived
31029,21006,50,50,1.0,True,131,131,0,131,30,37,37,27,0,0,survived
31030,21006,50,50,1.0,True,130,130,0,130,43,20,33,34,0,0,survived
31031,21006,50,50,1.0,True,129,129,0,129,30,40,33,26,0,0,survived
31032,21006,50,50,1.0,True,127,127,0,127,26,29,40,32,0,0,survived
31033,21006,50,50,1.0,True,117,117,0,117,33,34,29,21,0,0,survived
31034,21006,50,50,1.0,True,133,133,0,133,23,45,33,32,0,0,survived
31035,21006,50,50,1.0,True,124,124,0,124,36,32,24,32,0,0,survived
31036,21006,50,50,1.0,True,137,137,0,137,29,33,43,32,0,0,survived
31037,21006,50,50,1.0,True,133,133,0,133,38,28,37,30,0,0,survived
31038,21006,50,50,1.0,True,123,123,0,123,39,36,25,23,0,0,survived
31039,21006,50,50,1.0,True,131,131,0,131,25,37,37,32,0,0,survived
31040,21006,50,50,1.0,True,140,140,0,140,32,27,42,39,0,0,survived
