model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-01,primary,31001,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.552282899996499,1,1,DagobertDuckDQN,evaluation,131,131,50,50,0,131,0.0,True,survived,37,34,24,36,0,0,0,0.21386146545410156,0.4781484603881836,1.1355876922607422,,,,,,,,,
run-01,primary,31002,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.9616185999911977,1,1,DagobertDuckDQN,evaluation,137,137,50,50,0,137,0.0,True,survived,34,28,34,41,0,0,0,0.2162456512451172,0.4148483276367187,1.0268688201904297,,,,,,,,,
run-01,primary,31003,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.9402775000053225,1,1,DagobertDuckDQN,evaluation,133,133,50,50,0,133,0.0,True,survived,29,30,43,30,1,0,0,0.2155303955078125,0.5810260772705078,1.3496875762939453,,,,,,,,,
run-01,primary,31004,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.9727592000126606,1,1,DagobertDuckDQN,evaluation,129,129,50,50,0,129,0.0,True,survived,27,32,25,44,1,0,0,0.2181529998779297,0.5527496337890624,1.0223388671875,,,,,,,,,
run-01,primary,31005,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.994782599998871,1,1,DagobertDuckDQN,evaluation,128,128,50,50,0,128,0.0,True,survived,30,34,20,44,0,0,0,0.22685527801513672,0.5109071731567382,1.4789104461669922,,,,,,,,,
run-01,primary,31006,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.943026299995836,1,1,DagobertDuckDQN,evaluation,126,126,50,50,0,126,0.0,True,survived,30,26,30,40,0,0,0,0.21505355834960938,0.4965066909790039,1.1365413665771484,,,,,,,,,
run-01,primary,31007,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.043835899996338,1,1,DagobertDuckDQN,evaluation,113,113,50,50,0,113,0.0,True,survived,34,29,29,21,0,0,0,0.28443336486816406,0.6458759307861327,1.2154579162597656,,,,,,,,,
run-01,primary,31008,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.18279020000773,1,1,DagobertDuckDQN,evaluation,127,127,50,50,0,127,0.0,True,survived,32,32,40,23,0,0,0,0.21457672119140625,0.4919052124023437,1.1067390441894531,,,,,,,,,
run-01,primary,31009,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,3.957217800008948,1,1,DagobertDuckDQN,evaluation,122,122,50,50,0,122,0.0,True,survived,27,34,35,26,0,0,0,0.21314620971679688,0.48007965087890603,1.42669677734375,,,,,,,,,
run-01,primary,31010,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.00130600000557,1,1,DagobertDuckDQN,evaluation,140,140,50,50,0,140,0.0,True,survived,34,33,34,38,1,0,0,0.2123117446899414,0.4276275634765612,1.1818408966064453,,,,,,,,,
run-01,primary,31011,50,573443ad38dc7c12030c84b75be75d5d6f8ac93e,4.08773340001062,1,1,DagobertDuckDQN,evaluation,133,133,50,50,0,133,0.0,True,survived,23,36,25,48,1,0,0,0.20885467529296875,0.46606063842773393,1.4119148254394531,,,,,,,,,
