model,pass,world_seed,initially_available_coins,evaluation_git_commit,evaluation_duration_seconds,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
run-01,primary,31001,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,6.1012284999887925,1,1,DagobertDuckDQN,evaluation,400,400,42,42,0,400,0.0,True,step_limit,4cf47b67f6ee1532bb646c2bfe388bdad235ae3864c29a5d55ccc7d6414d5b3e,175,24,167,34,0,0,0,0.26679039001464844,0.3350734710693358,46.33045196533203,,,,,,,,,
run-01,primary,31002,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.661566900002072,1,1,DagobertDuckDQN,evaluation,400,400,43,43,0,400,0.0,True,step_limit,5c71f33142fde9ecd744f9e9f712e70e6ad60b65ffde112e4eadac8c3690a616,178,21,168,33,0,0,0,0.3229379653930664,0.4771351814270019,0.9922981262207031,,,,,,,,,
run-01,primary,31003,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.545165499992436,1,1,DagobertDuckDQN,evaluation,133,133,50,50,1,133,0.007518796992481203,True,survived,f2bcb83c44c3078dd81c2136006f59a2997779d9762203baa6c9c7df630e036b,30,30,43,30,0,0,0,0.3681182861328125,0.6024837493896484,1.2340545654296875,,,,,,,,,
run-01,primary,31004,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.70753999997396,1,1,DagobertDuckDQN,evaluation,131,131,50,50,1,131,0.007633587786259542,True,survived,8fcec002a1e136879cd3db9f1e0f3b438627abece9ea5c4841c346dd166bc6be,28,32,27,44,0,0,0,0.30922889709472656,0.4571676254272461,1.0044574737548828,,,,,,,,,
run-01,primary,31005,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.409333199990215,1,1,DagobertDuckDQN,evaluation,400,400,22,22,360,400,0.9,True,step_limit,088b1c105e2e0b5073d01df05c2686e5cbae00ab196d98d411bca16f98df03c6,8,5,368,19,0,0,0,0.2644062042236328,0.3200292587280273,0.9646415710449219,,,,,,,,,
run-01,primary,31006,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.745826900005341,1,1,DagobertDuckDQN,evaluation,400,400,46,46,295,400,0.7375,True,step_limit,b966eb9e2bdc9762c1991d5444d03a0380297422bfad3607edea80b2f1b765da,20,24,321,35,0,0,0,0.2772808074951172,0.39269924163818337,1.051187515258789,,,,,,,,,
run-01,primary,31007,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.311011399986455,1,1,DagobertDuckDQN,evaluation,111,111,50,50,0,111,0.0,True,survived,b4766d90579721393d7635bfb098ee36fa413f7463290476a7c6d412d43b3d50,32,33,27,19,0,0,0,0.2703666687011719,0.3676414489746094,0.9615421295166016,,,,,,,,,
run-01,primary,31008,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.984945699980017,1,1,DagobertDuckDQN,evaluation,400,400,21,21,355,400,0.8875,True,step_limit,eaeb5deb18564c12d7b29186a419de896a82d330e4ebdb51b5984f59a3fa456c,4,14,371,11,0,0,0,0.36394596099853516,0.7208585739135741,1.313924789428711,,,,,,,,,
run-01,primary,31009,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.580153999995673,1,1,DagobertDuckDQN,evaluation,400,400,7,7,382,400,0.955,True,step_limit,fa77a24078019b94f3305aea2fb2174bbdd39544dcac8d8fc54797546b37b679,0,2,396,2,0,0,0,0.34046173095703125,0.5211949348449703,1.0693073272705078,,,,,,,,,
run-01,primary,31010,50,8f6fc1dc6761f535d49afeb6764c1ff95e48efad,4.304006000020308,1,1,DagobertDuckDQN,evaluation,400,400,33,33,336,400,0.84,True,step_limit,cb83c8e47f9c22512b0bf833e34059ae65b7e9a8e02a91ee3008da5d65aeaa7c,12,14,354,19,1,0,0,0.2944469451904297,0.37744045257568315,0.9670257568359375,,,,,,,,,
