episode_start,episode_end,mean_epsilon,mean_coins_collected,mean_invalid_action_rate,mean_episode_steps,survived_round_rate,mean_abs_td_error
0,1500,0.8054,0.01,0.4526,12.67,0.0,2.1291
1500,3000,0.5135,0.14,0.3419,19.78,0.0,1.0494
3000,4500,0.3274,0.564,0.3105,21.93,0.0,1.6232
4500,6000,0.2087,1.081,0.3025,29.27,0.0,1.6929
6000,7500,0.1331,1.389,0.2784,36.56,0.0007,1.4859
7500,9000,0.1003,1.519,0.2867,39.98,0.0013,1.4817
9000,10500,0.1,1.677,0.2719,40.1,0.0007,1.5625
10500,12000,0.1,1.706,0.2732,36.25,0.002,1.6983
12000,13500,0.1,1.823,0.2602,35.76,0.0007,1.7349
13500,15000,0.1,1.895,0.2662,34.16,0.0007,1.8226
