treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
task1,task1,classic,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.35,0,0,5600,0,10400,0,0,0.22509098052978513,0.7462501525878906
task1,task1,coin-heaven,40,0.7615000000000001,38.075,0.275,0.0,1.0,325.35,325.35,8.544977019041365,11.702781619794068,0,0,0,,,0,0.0,0.0004610419548178884,2901,3501,2989,3612,11,0,0,0.2593994140625,0.7524490356445312
task1,task1,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.575,0,0,9200,0,6800,0,0,0.2313494682312011,0.6701946258544922
trained,r1,classic,40,0.01388888888888889,0.125,0.0,0.925,0.65,267.625,267.625,2141.0,0.046707146193367584,8,178,71,2.507042253521127,0.11267605633802817,14,0.35,0.04110228865016347,272,809,290,1222,8030,82,0,0.8082985877990723,0.9860992431640625
trained,r1,coin-heaven,40,0.22200000000000003,11.1,0.0,0.05,0.9,361.525,361.525,32.56981981981982,3.0703270866468433,0,0,8,0.0,0.0,4,0.1,0.7052071087753268,6138,6079,1432,800,1,11,0,0.7617592811584468,1.0306835174560547
trained,r1,loot-crate,40,0.02,1.0,0.0,0.6,0.525,221.675,221.675,221.675,0.45111086049396637,74,189,73,2.589041095890411,1.0136986301369864,19,0.475,0.1825871207849329,83,482,1664,473,6076,89,0,0.894021987915039,0.9717941284179688
trained,r2,classic,40,0.0611111111111111,0.55,0.0,0.65,0.2,101.325,101.325,184.22727272727272,0.5428077966938071,36,426,265,1.6075471698113208,0.13584905660377358,32,0.8,0.05156674068591167,762,868,818,838,347,420,0,0.8384585380554199,0.9775161743164062
trained,r2,coin-heaven,40,0.14650000000000002,7.325,0.0,0.1,1.0,400.0,400.0,54.60750853242321,1.83125,0,0,3,0.0,0.0,0,0.0,0.1181875,330,655,2252,706,12054,3,0,0.4752635955810546,0.9555816650390625
trained,r2,loot-crate,40,0.027500000000000004,1.375,0.0,0.325,0.15,74.825,74.825,54.41818181818182,1.8376211159371867,113,266,93,2.860215053763441,1.2150537634408602,34,0.85,0.40962245238890743,488,720,98,1452,115,120,0,0.8291244506835936,0.9672641754150391
trained,r3,classic,40,0.03055555555555555,0.275,0.0,0.75,0.5,211.075,211.075,767.5454545454545,0.13028544356271468,16,263,95,2.768421052631579,0.16842105263157894,20,0.5,0.009119981049390028,496,1630,473,1621,4112,111,0,0.8073806762695311,0.98419189453125
trained,r3,coin-heaven,40,0.043,2.15,0.0,0.175,0.975,390.175,390.175,181.47674418604652,0.5510347920804767,0,0,179,0.0,0.0,1,0.025,0.35131671685782023,609,6712,245,2179,5150,712,0,0.8080720901489254,3.468751907348633
trained,r3,loot-crate,40,0.027000000000000003,1.35,0.0,0.325,0.325,144.05,144.05,106.70370370370371,0.9371745921555016,106,246,87,2.8275862068965516,1.2183908045977012,27,0.675,0.14682401943769524,137,1501,98,2264,1651,111,0,0.884866714477539,0.9737014770507812
trained,r4,classic,40,0.05,0.45,0.0,0.625,0.15,81.075,81.075,180.16666666666666,0.5550416281221091,24,336,128,2.625,0.1875,34,0.85,0.020351526364477335,1115,107,1125,92,655,149,0,0.825047492980957,0.9806156158447266
trained,r4,coin-heaven,40,0.1365,6.825,0.0,0.1,0.975,391.4,391.4,57.34798534798535,1.7437404190086867,0,0,1,0.0,0.0,1,0.025,0.34459632089933573,3198,3401,543,722,7789,3,0,0.500798225402832,1.0378360748291016
trained,r4,loot-crate,40,0.022,1.1,0.0,0.3,0.15,74.675,74.675,67.88636363636364,1.4730498828255776,102,244,90,2.7111111111111112,1.1333333333333333,34,0.85,0.27017073987278206,914,82,888,59,945,99,0,0.8910179138183593,1.216888427734375
trained,r5,classic,40,0.04722222222222222,0.425,0.0,0.75,0.1,60.7,60.7,142.8235294117647,0.700164744645799,31,369,132,2.7954545454545454,0.23484848484848486,36,0.9,0.328665568369028,96,878,178,852,264,160,0,0.844430923461914,0.9562969207763672
trained,r5,coin-heaven,40,0.08399999999999999,4.2,0.0,0.1,0.475,197.425,197.425,47.00595238095238,2.127390148157528,0,0,31,0.0,0.0,21,0.525,0.6104849943016335,266,5982,284,1301,4,60,0,0.8591651916503905,1.0254383087158203
trained,r5,loot-crate,40,0.0205,1.025,0.0,0.475,0.2,92.575,92.575,90.3170731707317,1.1072103699702944,101,233,90,2.588888888888889,1.1222222222222222,32,0.8,0.325411828247367,99,2193,104,1021,167,119,0,0.8551359176635739,0.9746551513671875
untrained,untrained,classic,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.624,0,402,9600,0,5998,0,0,0.46054124832153304,0.9515285491943359
untrained,untrained,coin-heaven,40,0.188,9.4,0.0,0.05,1.0,400.0,400.0,42.5531914893617,2.35,0,0,0,,,0,0.0,0.000375,183,92,245,316,15164,0,0,0.5169153213500977,1.0221004486083984
untrained,untrained,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.7991875,0,0,12800,0,3200,0,0,0.4840493202209472,0.965118408203125
