plan_id,run_id,kind,replica,stage_or_suite,world_seed,agent_seed,schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-001,evaluation,r1,classic-primary,71001,81001,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,21,21,0,0,9,0,7,3,1,4,21,0.19047619047619047,False,killed,73885c3d3845184ba57777d19afc0357c0fba5e60945e4bb2f3793fe0dfcf8b1,2,5,3,2,6,3,0,0.5574226379394531,0.713348388671875,1.3163089752197266,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-002,evaluation,r1,classic-primary,71002,81002,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,5,5,0,0,9,0,2,1,1,0,5,0.0,False,killed,e172e50a262650516ce29fecacf7e504f1481daa2d9da59d2b25881d50c8253c,0,0,0,1,3,1,0,0.6453990936279297,1.5157699584960935,1.661539077758789,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-003,evaluation,r1,classic-primary,71003,81003,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,592b09c3b8357c33ee9cb51c43680ea010d296e46338ff0e5a34109f4f6da6d4,199,0,201,0,0,0,0,0.4749298095703125,0.5918741226196288,1.2502670288085938,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-004,evaluation,r1,classic-primary,71004,81004,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,400,400,0,0,9,0,5,2,0,0,400,0.0,True,step_limit,02c0338f72b647e2feab4f87da2f152286beb362dff0e72a586c18f4e9d9c245,194,1,196,1,6,2,0,0.5359649658203125,0.6999015808105468,1.2803077697753906,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-005,evaluation,r1,classic-primary,71005,81005,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,400,400,0,0,9,1,3,1,0,392,400,0.98,True,step_limit,a0970c8fc963cbb4230525f91dc516b0d6adbc3ab51efe2ad8ce45754e9cc4a5,2,392,2,1,2,1,0,0.5255937576293945,0.7246851921081542,1.4677047729492188,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-006,evaluation,r1,classic-primary,71006,81006,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,16,16,1,1,9,1,5,2,1,1,16,0.0625,False,killed,212a410e59611abfe8a681cf857507df269c1a002814a7f002188e265cdb1c53,1,6,1,1,5,2,0,0.4774332046508789,0.7203221321105957,1.1897087097167969,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-007,evaluation,r1,classic-primary,71007,81007,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,14,14,0,0,9,2,6,2,1,1,14,0.07142857142857142,False,killed,317dadd1dfe756b6bd036b756c81762ec45ff059532fcc9d8772a3c86449615d,2,2,1,2,5,2,0,0.5620718002319336,0.8800625801086424,1.2450218200683594,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-008,evaluation,r1,classic-primary,71008,81008,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,400,400,0,0,9,1,5,2,0,2,400,0.005,True,step_limit,d67519c2b5ff648a79ee05cb3c31013ed442ff8dea2e3ad6e31447e6789d0969,2,4,2,1,389,2,0,0.4725456237792969,0.5841732025146484,1.1637210845947266,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-009,evaluation,r1,classic-primary,71009,81009,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,28,28,0,0,9,1,10,4,1,6,28,0.21428571428571427,False,killed,a74c1491784849be07b463e163c9a34b5cde1c54bc89f54c76d097f1e9251aa0,9,4,5,3,3,4,0,0.6170272827148438,1.137983798980713,1.3365745544433594,,,,,,,,,
issue97-dqn-task2-direct-classic-unmasked,eval-r1-classic-primary-seed-010,evaluation,r1,classic-primary,71010,81010,1,1,_run_plan_312c40ab29_82f3e9c695,evaluation,21,21,0,0,9,0,6,3,1,5,21,0.23809523809523808,False,killed,0e95a6449826252afa35624259f1e844825d6a01612263ec2b061b6305a07ecd,4,5,2,2,5,3,0,0.5438327789306641,0.6601810455322266,1.2836456298828125,,,,,,,,,
