treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
task1,task1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,129.725,129.725,2.5945,38.54307188282906,0,0,0,,,0,0.0,0.0005781460782424359,1314,1280,1249,1344,2,0,0,0.21207332611083984,2.4077892303466797
trained,r1,classic,40,0.005555555555555555,0.05,0.0,0.95,0.725,293.625,293.625,5872.5,0.017028522775649212,4,65,228,0.2850877192982456,0.017543859649122806,11,0.275,0.08063005534269901,3029,2871,2298,2849,417,281,0,1.7883777618408199,2.214193344116211
trained,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,129.725,129.725,2.5945,38.54307188282906,0,0,0,,,0,0.0,0.0005781460782424359,1314,1280,1249,1344,2,0,0,0.4563570022583006,1.2793540954589844
trained,r1,loot-crate,40,0.001,0.05,0.0,0.95,0.85,342.1,342.1,6842.0,0.014615609470914937,25,73,273,0.2673992673992674,0.09157509157509157,6,0.15,0.06430868167202572,3035,2510,3084,2481,2300,274,0,0.4031181335449216,2.4929046630859375
trained,r2,classic,40,0.0,0.0,0.0,1.0,0.9,361.025,361.025,,0.0,2,20,12,1.6666666666666667,0.16666666666666666,4,0.1,0.054497610968769476,3792,3214,3782,3212,427,14,0,0.5091428756713865,0.9648799896240234
trained,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,129.725,129.725,2.5945,38.54307188282906,0,0,0,,,0,0.0,0.0005781460782424359,1314,1280,1249,1344,2,0,0,0.17086267471313468,0.7159709930419922
trained,r2,loot-crate,40,0.0,0.0,0.0,1.0,0.95,380.475,380.475,,0.0,8,23,13,1.7692307692307692,0.6153846153846154,2,0.05,0.000525658716078586,3797,3592,3789,3591,435,15,0,0.22773742675781247,1.0058879852294922
trained,r3,classic,40,0.0,0.0,0.0,1.0,0.875,351.025,351.025,,0.0,1,35,14,2.5,0.07142857142857142,5,0.125,0.00042731999145360016,4406,2587,4397,2595,40,16,0,0.29929876327514643,2.293109893798828
trained,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,129.725,129.725,2.5945,38.54307188282906,0,0,0,,,0,0.0,0.0005781460782424359,1314,1280,1249,1344,2,0,0,0.3780364990234374,1.0149478912353516
trained,r3,loot-crate,40,0.0015,0.075,0.0,0.925,0.875,351.475,351.475,4686.333333333333,0.02133864428479977,14,43,15,2.8666666666666667,0.9333333333333333,5,0.125,0.028664912155914362,4812,2005,4796,1615,815,16,0,0.3533840179443359,0.7188320159912109
trained,r4,classic,40,0.0,0.0,0.0,1.0,0.95,380.45,380.45,,0.0,3,49,415,0.1180722891566265,0.007228915662650603,2,0.05,0.0005256932579839664,3182,3183,3199,3180,2059,415,0,0.4990577697753905,1.0600090026855469
trained,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,129.725,129.725,2.5945,38.54307188282906,0,0,0,,,0,0.0,0.0005781460782424359,1314,1280,1249,1344,2,0,0,0.3922581672668455,0.7522106170654297
trained,r4,loot-crate,40,0.0025,0.125,0.0,0.925,0.925,371.175,371.175,2969.4,0.03367683707146225,16,37,22,1.6818181818181819,0.7272727272727273,3,0.075,0.026941469657169797,3813,3573,3820,3174,445,22,0,0.24547576904296872,0.6580352783203125
trained,r5,classic,40,0.0027777777777777775,0.025,0.0,0.975,0.825,332.025,332.025,13281.0,0.0075295534974775995,3,66,25,2.64,0.12,7,0.175,0.0024094571191928317,5220,1402,5190,1391,52,26,0,0.31369924545288025,0.8578300476074219
trained,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,129.725,129.725,2.5945,38.54307188282906,0,0,0,,,0,0.0,0.0005781460782424359,1314,1280,1249,1344,2,0,0,0.377976894378662,1.5530586242675781
trained,r5,loot-crate,40,0.001,0.05,0.0,0.95,0.95,380.525,380.525,7610.5,0.013139741147099402,21,53,19,2.789473684210526,1.105263157894737,2,0.05,0.07811576111950595,4989,2593,5379,1808,433,19,0,0.27346611022949213,1.4121532440185547
untrained,untrained,classic,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.5040625,3269,3138,3206,3190,3197,0,0,0.4051685333251952,1.291036605834961
untrained,untrained,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.5224375,3196,3230,3184,3224,3166,0,0,0.14592409133911133,0.4138946533203125
