cell,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
A,r1,classic,40,0.01944444444444444,0.175,0.0,0.825,0.225,106.225,106.225,607.0,0.16474464579901152,18,310,123,2.5203252032520327,0.775,0.275829606966345,882,1579,524,828,288,148,0,0.8795738220214843,0.9775161743164062
A,r1,coin-heaven,40,0.051500000000000004,2.575,0.0,0.175,1.0,400.0,400.0,155.3398058252427,0.64375,0,0,0,,0.0,0.0245625,80,6,447,65,15402,0,0,0.5178928375244141,1.5523433685302734
A,r1,loot-crate,40,0.028999999999999998,1.45,0.0,0.275,0.275,124.25,124.25,85.6896551724138,1.1670020120724347,114,294,103,2.854368932038835,0.725,0.24949698189134809,938,1063,132,648,2055,134,0,0.8547306060791012,1.0595321655273438
A,r2,classic,40,0.016666666666666666,0.15,0.0,0.875,0.375,162.975,162.975,1086.5,0.09203865623561897,18,308,97,3.1752577319587627,0.625,0.061359104157079306,2476,477,2805,453,202,106,0,0.8315563201904295,1.0008811950683594
A,r2,coin-heaven,40,0.0345,1.725,0.0,0.35,1.0,400.0,400.0,231.8840579710145,0.43125,0,0,0,,0.0,0.7184375,1213,5764,2041,6982,0,0,0,0.5443334579467773,1.3544559478759766
A,r2,loot-crate,40,0.023,1.15,0.0,0.325,0.475,201.05,201.05,174.82608695652175,0.5719970156677443,97,241,77,3.1298701298701297,0.525,0.1522009450385476,2287,1076,3006,677,896,100,0,0.7734298706054686,1.0018348693847656
A,r3,classic,40,0.008333333333333333,0.075,0.0,0.925,0.025,27.725,27.725,369.6666666666667,0.27051397655545534,11,269,103,2.6116504854368934,0.975,0.03787195671776375,99,260,103,250,290,107,0,1.0108947753906246,2.8753280639648438
A,r3,coin-heaven,40,0.053000000000000005,2.65,0.0,0.225,1.0,400.0,400.0,150.9433962264151,0.6625,0,0,0,,0.0,0.814375,46,1186,3619,10751,398,0,0,0.5460262298583984,1.7786026000976562
A,r3,loot-crate,40,0.0225,1.125,0.0,0.4,0.275,124.525,124.525,110.68888888888888,0.903433045573178,86,231,89,2.595505617977528,0.725,0.16623168038546476,1268,863,874,1249,622,105,0,0.8255958557128904,0.9717941284179688
A,r4,classic,40,0.025,0.225,0.0,0.825,0.2,100.6,100.6,447.1111111111111,0.22365805168986083,25,360,138,2.608695652173913,0.8,0.30566600397614313,1477,365,328,360,1323,171,0,0.8288145065307615,1.0077953338623047
A,r4,coin-heaven,40,0.082,4.1,0.0,0.125,1.0,400.0,400.0,97.5609756097561,1.025,0,0,0,,0.0,0.148125,485,452,1661,97,13305,0,0,0.5795359611511229,1.760721206665039
A,r4,loot-crate,40,0.028499999999999998,1.425,0.0,0.45,0.325,145.825,145.825,102.33333333333333,0.9771986970684039,114,269,101,2.6633663366336635,0.675,0.6602091548088462,1643,158,126,2437,1347,122,0,0.919532775878906,1.009225845336914
A,r5,classic,40,0.01388888888888889,0.125,0.0,0.875,0.425,180.9,180.9,1447.2,0.06909894969596463,12,296,102,2.9019607843137254,0.575,0.1762023217247098,2553,95,3775,87,581,145,0,0.8523464202880859,1.3053417205810547
A,r5,coin-heaven,40,0.058499999999999996,2.925,0.0,0.15,1.0,400.0,400.0,136.75213675213675,0.73125,0,0,0,,0.0,0.345625,5237,0,1267,67,9429,0,0,0.5176067352294922,0.9679794311523438
A,r5,loot-crate,40,0.013000000000000001,0.65,0.0,0.625,0.35,148.575,148.575,228.57692307692307,0.4374894834258792,81,201,72,2.7916666666666665,0.65,0.2722530708396433,2622,485,1432,82,1220,102,0,0.8965253829956052,1.0204315185546875
B,r1,classic,40,0.2,1.8,0.0,0.35,0.975,391.2,391.2,217.33333333333334,0.4601226993865031,79,1189,616,1.9301948051948052,0.025,0.010480572597137014,919,1781,904,1708,9601,735,0,10.703063011169434,13.329029083251953
B,r1,coin-heaven,40,0.057499999999999996,2.875,0.0,0.225,1.0,400.0,400.0,139.1304347826087,0.71875,0,0,3,0.0,0.0,0.0255,61,15,465,92,15364,3,0,11.681127548217772,12.897253036499023
B,r1,loot-crate,40,0.24300000000000002,12.15,0.0,0.05,0.925,381.75,381.75,31.419753086419753,3.182711198428291,538,1384,666,2.078078078078078,0.075,0.0662082514734774,1029,2793,1072,3362,6150,864,0,9.775316715240479,12.01939582824707
B,r2,classic,40,0.25555555555555554,2.3,0.0,0.225,1.0,400.0,400.0,173.91304347826087,0.575,116,1510,1390,1.0863309352517985,0.0,0.1068125,2317,2397,1824,1485,6310,1667,0,9.961974620819092,11.417150497436523
B,r2,coin-heaven,40,0.3135,15.675,0.025,0.1,0.775,310.25,310.25,19.792663476874004,5.052377115229653,0,0,137,0.0,0.225,0.37872683319903305,1141,999,1169,4412,4507,182,0,12.808012962341305,16.08729362487793
B,r2,loot-crate,40,0.098,4.9,0.0,0.225,0.825,336.8,336.8,68.73469387755102,1.4548693586698338,286,693,268,2.5858208955223883,0.175,0.29372030878859856,1612,1825,486,1767,7414,368,0,7.799315452575684,11.0626220703125
B,r3,classic,40,0.2444444444444444,2.2,0.0,0.275,0.95,382.725,382.725,173.9659090909091,0.5748252661832909,108,1553,824,1.8847087378640777,0.05,0.029982363315696647,2335,3073,2192,3358,3471,880,0,10.40459871292114,11.884450912475586
B,r3,coin-heaven,40,0.221,11.05,0.0,0.0,1.0,400.0,400.0,36.199095022624434,2.7625,0,0,37,0.0,0.0,0.2811875,812,602,863,5058,8613,52,0,11.985397338867188,17.926692962646484
B,r3,loot-crate,40,0.10600000000000001,5.3,0.0,0.05,0.85,350.575,350.575,66.14622641509433,1.511802039506525,307,761,274,2.7773722627737225,0.15,0.35185053127005633,1862,3214,1018,5081,2505,343,0,8.975780010223389,10.211467742919922
B,r4,classic,40,0.21944444444444441,1.975,0.025,0.375,0.975,391.025,391.025,197.9873417721519,0.5050827952176971,95,1264,1008,1.253968253968254,0.025,0.11310018541014001,1035,5302,1071,3547,3540,1146,0,8.948969841003416,12.082338333129883
B,r4,coin-heaven,40,0.1095,5.475,0.0,0.05,1.0,400.0,400.0,73.05936073059361,1.36875,0,0,52,0.0,0.0,0.026875,1691,1107,1355,1124,10628,95,0,13.012909889221188,17.5020694732666
B,r4,loot-crate,40,0.12,6.0,0.0,0.25,0.925,378.05,378.05,63.00833333333333,1.5870916545430498,309,744,325,2.289230769230769,0.075,0.25618304457082397,2254,3604,741,1782,6283,458,0,6.668508052825927,8.450031280517578
B,r5,classic,40,0.29166666666666663,2.625,0.0,0.25,1.0,400.0,400.0,152.38095238095238,0.65625,120,1634,1287,1.2696192696192696,0.0,0.2326875,2980,3911,2232,2354,3212,1311,0,9.258568286895752,11.972427368164062
B,r5,coin-heaven,40,0.9875,49.375,0.925,0.0,1.0,297.1,297.1,6.017215189873418,16.61898350723662,0,0,1358,0.0,0.0,0.12100302928306968,2238,2140,2367,1757,947,2435,0,11.774086952209473,14.376401901245117
B,r5,loot-crate,40,0.16799999999999998,8.4,0.0,0.025,0.9,367.6,367.6,43.76190476190476,2.2850924918389555,432,1059,442,2.3959276018099547,0.1,0.3391594124047878,4622,3721,3274,1942,633,512,0,7.855165004730223,9.98544692993164
C,r1,classic,40,0.0027777777777777775,0.025,0.0,0.975,0.9,361.675,361.675,14467.0,0.006912283127116886,4,96,39,2.4615384615384617,0.1,0.3354531001589825,421,4844,438,34,8669,61,0,0.8266806602478027,2.560138702392578
C,r1,coin-heaven,40,0.05500000000000001,2.75,0.0,0.175,0.725,293.0,293.0,106.54545454545455,0.9385665529010239,0,0,140,0.0,0.275,0.5970136518771331,554,1560,1556,5773,1993,284,0,0.8358955383300781,1.001119613647461
C,r1,loot-crate,40,0.0075,0.375,0.0,0.775,0.9,361.625,361.625,964.3333333333334,0.10369858278603526,43,87,32,2.71875,0.1,0.30743173176633254,616,4851,634,440,7868,56,0,0.7429122924804688,1.058340072631836
C,r2,classic,40,0.0,0.0,0.0,1.0,0.875,351.4,351.4,,0.0,3,64,27,2.3703703703703702,0.125,0.03066306203756403,19,42,408,15,13519,53,0,0.8840084075927733,1.2869834899902344
C,r2,coin-heaven,40,0.028500000000000004,1.425,0.0,0.35,0.3,125.225,125.225,87.87719298245614,1.1379516869634658,0,0,32,0.0,0.7,0.5665801557197045,1662,804,834,446,1218,45,0,0.8844852447509765,1.4872550964355469
C,r2,loot-crate,40,0.009,0.45,0.0,0.725,0.775,314.0,314.0,697.7777777777778,0.14331210191082802,47,95,40,2.375,0.225,0.19036624203821656,31,447,1969,26,9999,88,0,0.8239507675170897,1.0764598846435547
C,r3,classic,40,0.01944444444444444,0.175,0.0,0.825,0.2,99.4,99.4,568.0,0.176056338028169,21,336,130,2.5846153846153848,0.8,0.13003018108651912,585,1029,951,1059,175,177,0,0.8614063262939452,1.234292984008789
C,r3,coin-heaven,40,0.1145,5.725,0.0,0.25,0.2,99.9,99.9,17.449781659388645,5.7307307307307305,0,0,90,0.0,0.8,0.34484484484484484,782,1347,1102,631,0,134,0,0.9348869323730468,1.2717247009277344
C,r3,loot-crate,40,0.0185,0.925,0.0,0.375,0.3,131.375,131.375,142.02702702702703,0.7040913415794482,99,230,78,2.948717948717949,0.7,0.38211227402473835,1732,1383,888,1002,141,109,0,0.8400201797485352,1.232147216796875
C,r4,classic,40,0.01111111111111111,0.1,0.0,0.925,0.225,105.7,105.7,1057.0,0.0946073793755913,15,288,112,2.5714285714285716,0.775,0.14403973509933773,951,64,1299,82,1623,209,0,0.8245706558227539,0.9765625
C,r4,coin-heaven,40,0.017499999999999998,0.875,0.0,0.35,0.275,114.55,114.55,130.9142857142857,0.7638585770405937,0,0,87,0.0,0.725,0.14033173286774334,698,1068,670,1527,399,220,0,0.9834289550781249,1.0905265808105469
C,r4,loot-crate,40,0.018,0.9,0.0,0.525,0.475,200.075,200.075,222.30555555555554,0.44983131325752845,94,222,88,2.522727272727273,0.525,0.5068099462701487,1736,447,2490,436,2735,159,0,0.8436679840087888,0.9789466857910156
C,r5,classic,40,0.0027777777777777775,0.025,0.0,0.975,0.25,115.625,115.625,4625.0,0.021621621621621623,18,292,166,1.7590361445783131,0.75,0.6263783783783784,204,2133,964,202,883,239,0,0.8749127388000489,1.0216236114501953
C,r5,coin-heaven,40,0.024,1.2,0.0,0.375,0.45,184.45,184.45,153.70833333333334,0.6505828137706695,0,0,38,0.0,0.55,0.27514231499051234,3003,229,1029,298,2762,57,0,0.9363889694213864,1.1739730834960938
C,r5,loot-crate,40,0.005,0.25,0.0,0.8,0.425,178.925,178.925,715.7,0.1397233477714126,69,167,120,1.3916666666666666,0.575,0.6804527036467793,1306,4478,981,195,53,144,0,0.8252143859863279,1.1019706726074219
D,r1,classic,40,0.15277777777777776,1.375,0.0,0.375,1.0,400.0,400.0,290.90909090909093,0.34375,72,973,670,1.4522388059701492,0.0,0.0994375,1468,1536,2012,2397,7791,796,0,8.64248275756836,9.891748428344727
