cell,replica,stage,episodes,duration_seconds,git_commit,python_version
A,r1,visible-coins,2000,253.55141908401856,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r1,dense-crates,2000,303.29141629696824,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r1,classic-crates,6000,1074.4508352509583,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r2,visible-coins,2000,255.08285205002176,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r2,dense-crates,2000,314.43374556902563,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r2,classic-crates,6000,1137.6963591470267,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r3,visible-coins,2000,255.35470454301685,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r3,dense-crates,2000,314.6103785500163,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r3,classic-crates,6000,1132.8574903289555,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r4,visible-coins,2000,267.6683354230481,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r4,dense-crates,2000,309.2481646189699,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r4,classic-crates,6000,1142.9538920549676,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r5,visible-coins,2000,197.76856623694766,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r5,dense-crates,2000,218.97021698701428,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
A,r5,classic-crates,6000,849.0909790759906,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r1,visible-coins,2000,793.1685178360203,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r1,dense-crates,2000,351.7106426510145,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r1,classic-crates,6000,1971.2201480540098,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r2,visible-coins,2000,753.2081189019955,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r2,dense-crates,2000,365.2345269169891,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r2,classic-crates,6000,2129.4484517079545,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r3,visible-coins,2000,773.7792060729698,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r3,dense-crates,2000,350.5107426000177,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r3,classic-crates,6000,1986.930271174002,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r4,visible-coins,2000,778.9508051659795,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r4,dense-crates,2000,362.9103244750295,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r4,classic-crates,6000,1968.4597784780199,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r5,visible-coins,2000,638.7026983919786,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r5,dense-crates,2000,269.47725044796243,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
B,r5,classic-crates,6000,1528.9790469779982,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r1,visible-coins,2000,163.55955973401433,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r1,dense-crates,2000,287.8696099210065,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r1,classic-crates,6000,1352.8775165269617,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r2,visible-coins,2000,162.17650098295417,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r2,dense-crates,2000,292.5370318070054,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r2,classic-crates,6000,1346.3240515729995,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r3,visible-coins,2000,169.7773651330499,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r3,dense-crates,2000,288.6054805680178,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r3,classic-crates,6000,1188.4648791729705,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r4,visible-coins,2000,169.37373286799993,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r4,dense-crates,2000,290.4702312130248,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r4,classic-crates,6000,1254.360050518997,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r5,visible-coins,2000,158.1280421279953,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r5,dense-crates,2000,198.61890242103254,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
C,r5,classic-crates,6000,1056.2677681780187,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r1,visible-coins,2000,703.8565799319767,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r1,dense-crates,2000,310.57736601197394,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r1,classic-crates,6000,2172.9411874900106,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r2,visible-coins,2000,723.443557806022,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r2,dense-crates,2000,338.1419912580168,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r2,classic-crates,6000,1905.6890338329831,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r3,visible-coins,2000,734.0419596239808,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r3,dense-crates,2000,352.45426565699745,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r3,classic-crates,6000,2001.4073830389534,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r4,visible-coins,2000,704.1569888700033,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r4,dense-crates,2000,358.361178546038,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r4,classic-crates,6000,2063.852508629032,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r5,visible-coins,2000,630.3710776579683,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r5,dense-crates,2000,217.65747328201542,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
D,r5,classic-crates,6000,1615.0879678330384,69e2a931e4ebfd358cc0128049516b1a12adc2a8,3.14.4
