schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,treatment,model,scenario,evaluation_pass,collection_fraction
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,15,15,1,1,9,1,6,2,1,4,15,0.26666666666666666,False,killed,7d3a139bda0bed023c761c4db9ba664f5ad56bcec4d08ffa4ba78930aea8e0b5,5,2,4,1,0,3,0,0.0820159912109375,0.40915012359619124,0.5071163177490234,,,,,,,,,,102001,202001,unmasked,r1,classic,primary,0.1111111111111111
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,15,15,1,1,9,1,6,2,1,4,15,0.26666666666666666,False,killed,7d3a139bda0bed023c761c4db9ba664f5ad56bcec4d08ffa4ba78930aea8e0b5,5,2,4,1,0,3,0,0.09179115295410156,0.8954048156738266,1.9321441650390625,,,,,,,,,,102001,202001,unmasked,r1,classic,repeat,0.1111111111111111
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,1,2,1,0,391,400,0.9775,True,step_limit,3b8d463cbc09fd6f241baa2419429755bc83beb65f4ebf20df9b06d0777b4216,392,1,1,2,3,1,0,0.09393692016601562,0.13027191162109367,0.35500526428222656,,,,,,,,,,102002,202002,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,1,2,1,0,391,400,0.9775,True,step_limit,3b8d463cbc09fd6f241baa2419429755bc83beb65f4ebf20df9b06d0777b4216,392,1,1,2,3,1,0,0.09322166442871094,0.1240849494934081,0.45990943908691406,,,,,,,,,,102002,202002,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,feb0349ac0a685cea489db94b543043d83ccdd443dd246baaa00c0a510fb22fe,0,199,0,201,0,0,0,0.09989738464355469,0.1329541206359862,0.7851123809814453,,,,,,,,,,102003,202003,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,feb0349ac0a685cea489db94b543043d83ccdd443dd246baaa00c0a510fb22fe,0,199,0,201,0,0,0,0.10180473327636719,0.30500888824462885,0.7722377777099609,,,,,,,,,,102003,202003,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09703636169433594,0.14500617980957026,0.41985511779785156,,,,,,,,,,102004,202004,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.09703636169433594,0.3039836883544922,0.6549358367919922,,,,,,,,,,102004,202004,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,1,2,1,0,14,0.0,False,killed,310a30d11552525ce4a1064c625b8dcf8e05ac2e35035d925059e99cebca0b64,1,1,1,4,5,2,0,0.06747245788574219,0.24507045745849598,0.4642009735107422,,,,,,,,,,102005,202005,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,1,2,1,0,14,0.0,False,killed,310a30d11552525ce4a1064c625b8dcf8e05ac2e35035d925059e99cebca0b64,1,1,1,4,5,2,0,0.06747245788574219,0.3083705902099608,0.5228519439697266,,,,,,,,,,102005,202005,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,1,14,0.07142857142857142,False,killed,2b976cef9a03d5e848d31b27674969e11201670e4adc885df3e5c61e25091aae,1,1,2,4,4,2,0,0.06401538848876953,0.23065805435180653,0.42700767517089844,,,,,,,,,,102006,202006,unmasked,r1,classic,primary,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,1,14,0.07142857142857142,False,killed,2b976cef9a03d5e848d31b27674969e11201670e4adc885df3e5c61e25091aae,1,1,2,4,4,2,0,0.07104873657226562,0.4372954368591306,0.9872913360595703,,,,,,,,,,102006,202006,unmasked,r1,classic,repeat,0.0
1,1,_run_plan_95b945dbf3_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,43f16ff4892d62035d6f3344b683801d4cefcafe1ea6ce01871bed1a5141ebde,0,201,0,199,0,0,0,0.09012222290039062,0.1272201538085936,0.5502700805664062,,,,,,,,,,102007,202007,unmasked,r1,classic,primary,0.0
