treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,self_kill_rate,invalid_action_rate,mean_survival_steps,steps_per_coin,mean_crates_destroyed,mean_coins_found,bombs_dropped,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
masked,r1,classic,40,0.0027777777777777775,0.025,0.0,0.975,0.6,0.4,0.0,250.025,10001.0,6.1,0.25,184,2556,1952,2561,1943,805,184,0,0.4733085632324218,2.724170684814453
masked,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,0.0,0.0,129.75,2.595,0.0,0.0,0,1314,1282,1249,1343,2,0,0,0.44357776641845703,2.6607513427734375
masked,r1,loot-crate,40,0.002,0.1,0.0,0.925,0.675,0.325,0.0,275.275,2752.75,4.075,1.625,61,2011,2614,2001,2607,1717,61,0,0.3159046173095703,0.6749629974365234
masked,r2,classic,40,0.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,,0.0,0.0,0,2403,5603,2397,5597,0,0,0,0.3299713134765625,1.5070438385009766
masked,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,0.0,0.0,129.75,2.595,0.0,0.0,0,1314,1282,1249,1343,2,0,0,0.41484832763671875,1.3239383697509766
masked,r2,loot-crate,40,0.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,,0.0,0.0,0,3397,4602,3403,4598,0,0,0,0.31412839889526334,1.3527870178222656
masked,r3,classic,40,0.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,,0.65,0.05,13,4561,3007,4582,3010,827,13,0,0.31377077102661133,1.6820430755615234
masked,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,0.0,0.0,129.725,2.5945,0.0,0.0,0,1314,1280,1249,1341,5,0,0,0.44149160385131836,2.5947093963623047
masked,r3,loot-crate,40,0.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,,0.45,0.175,9,4975,2808,4980,2810,418,9,0,0.34527778625488276,1.4338493347167969
masked,r4,classic,40,0.0,0.0,0.0,1.0,1.0,0.0,0.0,400.0,,0.1,0.0,2,3796,3999,3798,3999,406,2,0,0.29935836791992176,1.8341541290283203
