schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,arm,replica,scenario,pass,collection_fraction
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,15,15,1,1,9,1,6,2,1,4,15,0.26666666666666666,False,killed,7d3a139bda0bed023c761c4db9ba664f5ad56bcec4d08ffa4ba78930aea8e0b5,5,2,4,1,0,3,0,0.06413459777832031,0.18005371093749983,0.2808570861816406,,,,,,,,,,102001,202001,control,r1,classic,primary,0.1111111111111111
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,400,400,0,0,9,1,2,1,0,391,400,0.9775,True,step_limit,3b8d463cbc09fd6f241baa2419429755bc83beb65f4ebf20df9b06d0777b4216,392,1,1,2,3,1,0,0.08988380432128906,0.13786554336547846,0.3819465637207031,,,,,,,,,,102002,202002,control,r1,classic,primary,0.0
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,feb0349ac0a685cea489db94b543043d83ccdd443dd246baaa00c0a510fb22fe,0,199,0,201,0,0,0,0.09703636169433594,0.14597177505493159,0.5462169647216797,,,,,,,,,,102003,202003,control,r1,classic,primary,0.0
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,3e457cc2304ad2ccf2d6296a66213cdc8d455614dc7958b9ee35c31a82fdf5fa,200,0,200,0,0,0,0,0.08988380432128906,0.10491609573364256,0.3161430358886719,,,,,,,,,,102004,202004,control,r1,classic,primary,0.0
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,14,14,0,0,9,0,1,2,1,0,14,0.0,False,killed,310a30d11552525ce4a1064c625b8dcf8e05ac2e35035d925059e99cebca0b64,1,1,1,4,5,2,0,0.06663799285888672,0.21039247512817372,0.3788471221923828,,,,,,,,,,102005,202005,control,r1,classic,primary,0.0
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,14,14,0,0,9,0,3,2,1,1,14,0.07142857142857142,False,killed,2b976cef9a03d5e848d31b27674969e11201670e4adc885df3e5c61e25091aae,1,1,2,4,4,2,0,0.06186962127685547,0.1784443855285644,0.2849102020263672,,,,,,,,,,102006,202006,control,r1,classic,primary,0.0
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,43f16ff4892d62035d6f3344b683801d4cefcafe1ea6ce01871bed1a5141ebde,0,201,0,199,0,0,0,0.09226799011230469,0.20424127578735338,0.5087852478027344,,,,,,,,,,102007,202007,control,r1,classic,primary,0.0
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,400,400,0,0,9,0,0,0,0,0,400,0.0,True,step_limit,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,0,200,0,200,0,0,0,0.10323524475097656,0.2349376678466796,0.6592273712158203,,,,,,,,,,102008,202008,control,r1,classic,primary,0.0
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,14,14,0,0,9,0,2,2,1,0,14,0.0,False,killed,310a30d11552525ce4a1064c625b8dcf8e05ac2e35035d925059e99cebca0b64,1,1,1,4,5,2,0,0.16415119171142578,0.3078818321228027,0.40411949157714844,,,,,,,,,,102009,202009,control,r1,classic,primary,0.0
1,1,_run_plan_7646b9afb8_82f3e9c695,evaluation,400,400,0,0,9,0,2,1,0,0,400,0.0,True,step_limit,08983fe4baeb815e4897663acbd7a6f88a9ec3b1efe79c23db4550965dcc2176,1,197,1,197,3,1,0,0.12683868408203125,0.4144191741943348,1.5642642974853516,,,,,,,,,,102010,202010,control,r1,classic,primary,0.0
