suite,model,episodes,collection,elimination,self_kill,survival,score,coins_collected,crates_destroyed,bombs_dropped,survival_steps,episode_steps,opponents_eliminated,score_margin,first_place,tied_first,invalid_action_rate,decision_median_ms,decision_p95_ms,decision_max_ms
classic-peaceful,candidate,200,0.37833333333333335,0.205,0.115,0.885,4.43,3.405,51.2,32.24,372.68,396.18,0.205,4.415,0.895,0.105,0.0679000751314801,3.140568733215332,7.600247859954834,14.78123664855957
classic-peaceful,reference,40,0.3166666666666667,0.175,0.4,0.6,3.725,2.85,48.7,30.45,281.625,393.15,0.175,3.7,0.85,0.15,0.03249001331557923,2.727031707763672,7.066679000854492,11.850595474243164
classic-peaceful,r1,40,0.41944444444444445,0.15,0.125,0.875,4.525,3.775,55.1,30.025,364.875,400.0,0.15,4.525,0.9,0.1,0.04809866392600205,3.3469200134277344,7.7181100845336905,12.590646743774414
classic-peaceful,r2,40,0.28888888888888886,0.2,0.1,0.9,3.6,2.6,42.175,19.925,371.8,392.575,0.2,3.55,0.8,0.2,0.07080419580419581,3.301858901977539,8.453273773193358,14.78123664855957
classic-peaceful,r3,40,0.3388888888888889,0.15,0.125,0.875,3.8,3.05,46.4,33.1,364.125,393.65,0.15,3.775,0.9,0.1,0.1067627875042911,2.9265880584716797,6.572389602661131,12.400150299072266
classic-peaceful,r4,40,0.5083333333333334,0.325,0.15,0.85,6.2,4.575,64.975,41.175,375.875,394.95,0.325,6.2,0.975,0.025,0.08885932823412039,3.2014846801757812,7.425093650817868,13.452291488647461
classic-peaceful,r5,40,0.3361111111111111,0.2,0.075,0.925,4.025,3.025,47.35,36.975,386.725,399.725,0.2,4.025,0.9,0.1,0.026827849246880857,2.943277359008789,7.659864425659177,12.820005416870117
classic-retention,candidate,200,0.2555555555555556,0.0,0.1,0.9,2.3,2.3,36.58,26.67,363.855,363.855,0.0,,,,0.10153770045759987,2.7112960815429688,6.118178367614746,11.471271514892578
classic-retention,reference,40,0.39166666666666666,0.0,0.125,0.875,3.525,3.525,52.975,40.7,367.2,367.2,0.0,,,,0.03826252723311547,2.837657928466797,6.88183307647705,12.109041213989258
classic-retention,r1,40,0.2694444444444445,0.0,0.025,0.975,2.425,2.425,38.775,18.75,393.125,393.125,0.0,,,,0.12057233704292528,2.742290496826172,8.142709732055664,11.42430305480957
classic-retention,r2,40,0.10277777777777777,0.0,0.2,0.8,0.925,0.925,14.0,8.875,321.0,321.0,0.0,,,,0.04618380062305296,1.192331314086914,5.511045455932617,11.471271514892578
classic-retention,r3,40,0.34444444444444444,0.0,0.0,1.0,3.1,3.1,47.025,36.275,400.0,400.0,0.0,,,,0.1755625,3.0323266983032227,6.209611892700195,10.877132415771484
classic-retention,r4,40,0.24444444444444446,0.0,0.275,0.725,2.2,2.2,35.95,41.0,305.15,305.15,0.0,,,,0.08782565951171555,2.496957778930664,5.468487739562988,10.886669158935547
classic-retention,r5,40,0.3166666666666666,0.0,0.0,1.0,2.85,2.85,47.15,28.45,400.0,400.0,0.0,,,,0.0636875,3.1207799911499023,6.321227550506591,11.42573356628418
coin-heaven-retention,candidate,200,0.4372,0.0,0.0,1.0,21.86,21.86,0.0,5.92,375.3,375.3,0.0,,,,0.26837196909139355,6.139874458312988,11.63482666015625,19.026756286621094
coin-heaven-retention,reference,40,0.366,0.0,0.025,0.975,18.3,18.3,0.0,3.75,385.075,385.075,0.0,,,,0.6041030967993248,6.439924240112305,11.047554016113281,17.702102661132812
coin-heaven-retention,r1,40,0.18450000000000003,0.0,0.0,1.0,9.225,9.225,0.0,2.025,400.0,400.0,0.0,,,,0.58475,5.648016929626465,10.977554321289062,19.026756286621094
coin-heaven-retention,r2,40,0.40549999999999997,0.0,0.0,1.0,20.275,20.275,0.0,3.775,390.3,390.3,0.0,,,,0.4461311811427107,6.053566932678223,11.52799129486084,17.416715621948242
coin-heaven-retention,r3,40,0.35300000000000004,0.0,0.0,1.0,17.65,17.65,0.0,5.525,394.15,394.15,0.0,,,,0.006469618165672967,8.365392684936523,12.199699878692627,16.5560245513916
coin-heaven-retention,r4,40,0.835,0.0,0.0,1.0,41.75,41.75,0.0,17.225,305.225,305.225,0.0,,,,0.03988860676550086,5.636453628540039,10.254478454589846,13.954401016235352
coin-heaven-retention,r5,40,0.40800000000000003,0.0,0.0,1.0,20.4,20.4,0.0,1.05,386.825,386.825,0.0,,,,0.2090092419052543,6.219625473022461,11.565399169921875,14.554262161254883
