treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,40,0.1472222222222222,1.325,0.0,0.35,0.9,371.075,371.075,280.0566037735849,0.35707067304453277,66,984,1561,0.6303651505445227,0.04228058936579116,4,0.1,0.03503334905342586,4152,2141,3715,2132,1030,1673,0,0.36839246749877885,2.022266387939453
candidate,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.275,124.275,2.4855,40.23335345001006,0,0,0,,,0,0.0,0.0012070006035003018,1296,1158,1278,1239,0,0,0,0.41043758392333984,1.2710094451904297
candidate,r1,loot-crate,40,0.2185,10.925,0.0,0.0,0.95,385.025,385.025,35.24256292906178,2.837478085838582,569,1429,932,1.5332618025751072,0.6105150214592274,2,0.05,0.01363547821570028,4418,2596,4317,2629,393,1048,0,0.5521416664123533,2.836942672729492
candidate,r2,classic,40,0.12777777777777777,1.15,0.0,0.475,0.975,393.05,393.05,341.7826086956522,0.2925836407581733,53,845,2057,0.4107924161400097,0.025765678172095283,1,0.025,0.019081541788576517,2800,3435,2861,3429,1118,2079,0,0.3101468086242674,2.972841262817383
candidate,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.8,124.8,2.496,40.06410256410256,0,0,2,0.0,0.0,0,0.0,0.0006009615384615385,1303,1155,1296,1236,0,2,0,0.34828186035156233,1.3661384582519531
candidate,r2,loot-crate,40,0.10200000000000001,5.1,0.0,0.05,0.9,369.175,369.175,72.38725490196079,1.3814586578181078,307,770,1006,0.7654075546719682,0.305168986083499,4,0.1,0.03094738267759193,3275,3242,3323,3443,418,1066,0,0.39482116699218744,1.5380382537841797
candidate,r3,classic,40,0.15833333333333333,1.425,0.0,0.45,1.0,400.0,400.0,280.70175438596493,0.35625,69,919,1955,0.47007672634271097,0.03529411764705882,0,0.0,0.0271875,3339,2923,3199,2882,1429,2228,0,0.3740072250366209,5.015850067138672
candidate,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.575,124.575,2.4915,40.13646397752358,0,0,3,0.0,0.0,0,0.0,0.0006020469596628537,1292,1163,1274,1247,4,3,0,0.4816055297851558,2.2389888763427734
candidate,r3,loot-crate,40,0.223,11.15,0.0,0.025,0.8,350.2,350.2,31.408071748878925,3.183894917190177,619,1526,1185,1.2877637130801687,0.5223628691983122,8,0.2,0.07131639063392348,3120,2487,3042,2599,870,1890,0,0.4566311836242671,4.25410270690918
candidate,r4,classic,40,0.2111111111111111,1.9,0.0,0.3,0.9,373.375,373.375,196.51315789473685,0.5088717777033813,107,1446,1782,0.8114478114478114,0.06004489337822671,4,0.1,0.0680950786742551,2855,3258,2652,3221,674,2275,0,0.495350360870361,2.1381378173828125
