treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,40,0.10277777777777777,0.925,0.0,0.575,0.85,351.15,351.15,379.6216216216216,0.26342019080165174,52,758,1774,0.42728297632469,0.029312288613303268,6,0.15,0.016161184678912147,2930,2921,2924,2978,417,1876,0,0.41803121566772433,1.4078617095947266
candidate,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.85,124.85,2.497,40.04805766920305,0,0,3,0.0,0.0,0,0.0,0.001001201441730076,1298,1166,1277,1245,5,3,0,0.4156827926635742,1.3458728790283203
candidate,r1,loot-crate,40,0.2455,12.275,0.0,0.05,0.625,296.175,296.175,24.128309572301426,4.144509158436735,692,1714,1093,1.5681610247026532,0.6331198536139067,15,0.375,0.04304887313243859,2606,2280,2730,2177,807,1247,0,0.36801099777221674,2.089977264404297
candidate,r2,classic,40,0.19166666666666665,1.725,0.0,0.25,0.75,334.3,334.3,193.79710144927537,0.5160035895901884,87,1289,1744,0.739105504587156,0.04988532110091743,10,0.25,0.0545169009871373,2353,2779,2338,2783,1056,2063,0,0.3544569015502927,2.006053924560547
candidate,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.275,124.275,2.4855,40.23335345001006,0,0,0,,,0,0.0,0.0,1293,1158,1275,1239,6,0,0,0.3365993499755859,0.9248256683349609
candidate,r2,loot-crate,40,0.221,11.05,0.0,0.025,0.75,334.675,334.675,30.287330316742082,3.3017106147755286,572,1423,1572,0.9052162849872774,0.3638676844783715,10,0.25,0.05236423395831777,3167,2434,3118,2269,400,1999,0,0.36193132400512695,1.6179084777832031
candidate,r3,classic,40,0.22777777777777777,2.05,0.0,0.25,0.825,359.9,359.9,175.5609756097561,0.5696026674076132,96,1467,1991,0.736815670517328,0.048216976393771975,7,0.175,0.035565434843011945,2679,3257,2667,3145,451,2197,0,0.4291892051696777,2.445220947265625
candidate,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.225,124.225,2.4845,40.249547192594086,0,0,0,,,0,0.0,0.0004024954719259408,1293,1158,1275,1237,6,0,0,0.36785602569580006,1.432180404663086
candidate,r3,loot-crate,40,0.17550000000000002,8.775,0.0,0.05,0.625,280.625,280.625,31.98005698005698,3.1269487750556793,465,1167,975,1.196923076923077,0.47692307692307695,15,0.375,0.035634743875278395,2758,2092,2847,2035,368,1125,0,0.47022104263305636,1.3308525085449219
candidate,r4,classic,40,0.22777777777777777,2.05,0.0,0.3,0.925,382.55,382.55,186.609756097561,0.5358776630505816,99,1485,1944,0.7638888888888888,0.05092592592592592,3,0.075,0.05038557051365834,3300,2938,3232,2961,615,2256,0,0.2966761589050286,1.386880874633789
candidate,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.15,124.15,2.483,40.27386226339106,0,0,5,0.0,0.0,0,0.0,0.0,1290,1151,1273,1240,7,5,0,0.2739667892456053,1.1219978332519531
candidate,r4,loot-crate,40,0.2725,13.625,0.0,0.0,0.875,361.2,361.2,26.510091743119265,3.7721483942414173,672,1658,1771,0.9361942405420667,0.3794466403162055,5,0.125,0.0730204872646733,3131,2619,3211,2336,1048,2103,0,0.40937662124633767,5.552053451538086
candidate,r5,classic,40,0.10277777777777777,0.925,0.0,0.575,0.975,391.55,391.55,423.2972972972973,0.23624058230111097,55,871,1794,0.4855072463768116,0.030657748049052396,1,0.025,0.039713957348997575,3045,3335,2913,3231,1216,1922,0,0.4195332527160641,1.4379024505615234
candidate,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.225,124.225,2.4845,40.249547192594086,0,0,0,,,0,0.0,0.0,1293,1156,1275,1237,8,0,0,0.3036975860595703,1.1029243469238281
candidate,r5,loot-crate,40,0.132,6.6,0.0,0.075,0.85,354.875,354.875,53.76893939393939,1.8598097921803451,351,887,1215,0.7300411522633745,0.28888888888888886,6,0.15,0.033744276153575205,3623,2466,3512,2318,874,1402,0,0.3353118896484374,1.5802383422851562
control,r1,classic,40,0.0,0.0,0.0,1.0,0.975,390.375,390.375,,0.0,1,8,5,1.6,0.2,1,0.025,0.00019212295869356388,5199,2599,5197,2604,11,5,0,0.22823810577392464,2.138853073120117
control,r1,coin-heaven,40,0.7929999999999999,39.65,0.525,0.0,0.95,242.125,242.125,6.10655737704918,16.375838926174495,0,0,63,0.0,0.0,2,0.05,0.0036138358286009293,2086,2719,1986,2803,27,64,0,0.3734111785888672,1.337289810180664
control,r1,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,2,1,2.0,0.0,0,0.0,0.0,5594,2400,5600,2402,3,1,0,0.3215670585632318,1.4472007751464844
control,r2,classic,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.0,3802,4197,3800,4201,0,0,0,0.27616024017333957,0.9620189666748047
control,r2,coin-heaven,40,0.6195,30.975,0.225,0.025,1.0,339.75,339.75,10.968523002421307,9.116997792494482,0,0,16,0.0,0.0,0,0.0,0.0008094186902133922,4500,2221,4571,2269,8,21,0,0.4520416259765625,1.5978813171386719
control,r2,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.0,4003,3998,3999,4000,0,0,0,0.3355026245117185,1.210927963256836
control,r3,classic,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.0,400,7602,400,7598,0,0,0,0.3086328506469721,0.9829998016357422
control,r3,coin-heaven,40,0.579,28.95,0.2,0.025,0.975,337.15,337.15,11.64594127806563,8.58668248554056,0,0,46,0.0,0.0,1,0.025,0.002521133026842652,4320,2342,4315,2403,44,62,0,0.43302774429321284,2.608060836791992
control,r3,loot-crate,40,0.0,0.0,0.0,1.0,1.0,400.0,400.0,,0.0,0,0,0,,,0,0.0,0.0,0,8006,0,7994,0,0,0,0.3679037094116211,1.3427734375
