schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,total_state_visits,evaluation_decisions,evaluation_unseen_decisions,mean_visits_per_state,singleton_state_fraction,evaluation_unseen_state_rate,cell,model,scenario,world_seed,agent_seed,suite,collection_fraction
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,3,3,9,3,49,19,,0,2,400,0.005,True,step_limit,6bdbe2606e58525426d639d0ce44c14416295abbcb358cb0ada58b9d067c1078,28,149,33,149,21,20,0,2.5669336318969727,3.4565210342407218,6.76417350769043,,,,,,,,,,,,,,,,A,r1,classic,324001,424001,classic-primary,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,4,2,,0,2,400,0.005,True,step_limit,80eebbb2d5c43cfce2868f40fe56d323d948d07f133cd7185613a0982a2d553a,2,197,2,194,3,2,0,0.9448528289794922,1.1942148208618162,1.8954277038574219,,,,,,,,,,,,,,,,A,r1,classic,324002,424002,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,1,14,5,,0,6,400,0.015,True,step_limit,90739b9eace5d547a8c6d29f2509eb07971fbeff3147717932d4a3fd1aa6f13d,4,189,4,187,7,9,0,1.603245735168457,2.0596861839294434,5.31768798828125,,,,,,,,,,,,,,,,A,r1,classic,324003,424003,classic-primary,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,4,2,,0,0,400,0.0,True,step_limit,ea67472f9737dcd552fe9b5278fc4e51d82f56ce4410998c97c2ec2539421786,2,195,2,194,5,2,0,1.0440349578857422,1.443946361541747,7.615566253662109,,,,,,,,,,,,,,,,A,r1,classic,324004,424004,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,6,6,9,6,83,37,,0,12,400,0.03,True,step_limit,4fe4f52c85aad8d195431a40f3e75733b414f4e14d71839397c584e30e138095,58,64,47,53,135,43,0,2.302408218383789,5.514049530029296,8.900165557861328,,,,,,,,,,,,,,,,A,r1,classic,324005,424005,classic-primary,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,379,379,6,6,9,6,100,49,,1,15,379,0.0395778364116095,False,killed,112a7f9bc6978099c0f6330c6e92220e17d5d87e972a9f355235a5455bcf900a,73,75,64,56,58,53,0,1.5473365783691406,4.006457328796385,7.323503494262695,,,,,,,,,,,,,,,,A,r1,classic,324006,424006,classic-primary,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,36,19,,0,7,400,0.0175,True,step_limit,8e2c2acd38268d3490ec72e1126309f710cb5d94ec270c30a46510485057da3b,27,20,29,24,278,22,0,3.814816474914551,4.547166824340819,9.001970291137695,,,,,,,,,,,,,,,,A,r1,classic,324007,424007,classic-primary,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,2,5,3,,0,2,400,0.005,True,step_limit,7cc90c96798c08fd94b37d4022822be4f49e98345a7e0f2b01a1cbf6048a71aa,7,191,6,189,3,4,0,1.031041145324707,1.3668060302734373,6.650209426879883,,,,,,,,,,,,,,,,A,r1,classic,324008,424008,classic-primary,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,70,70,2,2,9,4,28,10,,1,2,70,0.02857142857142857,False,killed,b5409f738345a82d80abcd700d12dfd5be3d426d998d4e54994c3f714e9a69d8,5,10,15,12,17,11,0,0.7033348083496094,2.037835121154785,3.047943115234375,,,,,,,,,,,,,,,,A,r1,classic,324009,424009,classic-primary,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,203,203,5,5,9,5,54,25,,1,14,203,0.06896551724137931,False,killed,9bcf0aefa1da2d145f8c280658831818a3fd000f7997c1bf9c54d3c5a9e10321,38,43,43,27,23,29,0,1.4262199401855469,3.4218549728393532,4.829168319702148,,,,,,,,,,,,,,,,A,r1,classic,324010,424010,classic-primary,0.5555555555555556
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,21,10,,0,5,400,0.0125,True,step_limit,21c6c9627927ef35ea2f5bd2484ddddb921af8aeca311c23039543bb43f86583,10,171,10,175,20,14,0,2.172708511352539,2.8342843055725084,7.462978363037109,,,,,,,,,,,,,,,,A,r1,classic,324011,424011,classic-primary,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,11,5,,0,0,400,0.0,True,step_limit,e56bd8b685f0f4e98851283714a8121a0fb0e8a1f964920d2bebe04a3c902a32,6,185,6,186,12,5,0,1.7877817153930664,2.3110389709472656,4.244804382324219,,,,,,,,,,,,,,,,A,r1,classic,324012,424012,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,1,1,9,3,18,6,,0,3,400,0.0075,True,step_limit,2ba4bb0ebc30a9fb71a2274e91660225ec431b54deb68e609fac11b5fb8a663e,9,11,9,5,360,6,0,1.5701055526733398,1.9783735275268548,3.8776397705078125,,,,,,,,,,,,,,,,A,r1,classic,324013,424013,classic-primary,0.1111111111111111
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,7,7,9,7,62,28,,0,13,400,0.0325,True,step_limit,77022ed64423adce03864911ca4db2a7f5f4a71f359b2b543558bd6946a1b2a6,34,126,36,135,31,38,0,2.517819404602051,4.993486404418944,17.95792579650879,,,,,,,,,,,,,,,,A,r1,classic,324014,424014,classic-primary,0.7777777777777778
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,3,29,15,,0,6,400,0.015,True,step_limit,e5550bf9358d81fa40272e9656fe38daa0076b6f7f2a78b26ea31decb7c6aa28,22,25,22,18,296,17,0,1.5914440155029297,2.088248729705809,4.272222518920898,,,,,,,,,,,,,,,,A,r1,classic,324015,424015,classic-primary,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,6,6,9,6,102,53,,0,16,400,0.04,True,step_limit,d9b4ad9a983585282231637e147ca50e1f4d44f6a2a447044ac40d02ca503936,83,72,70,65,46,64,0,1.8137693405151367,4.497933387756347,6.324291229248047,,,,,,,,,,,,,,,,A,r1,classic,324016,424016,classic-primary,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,0,0,9,0,5,2,,0,1,400,0.0025,True,step_limit,6189ed76ed510728c995e30abad1413e7917327851c6de9b2bf452b54830c1b1,1,195,3,194,5,2,0,1.2488365173339844,1.5075087547302244,2.2449493408203125,,,,,,,,,,,,,,,,A,r1,classic,324017,424017,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,4,4,9,4,60,26,,0,4,400,0.01,True,step_limit,11c6e1774103e82ef19698b0c860f46401e7f4888de9962d367bbbb0f49586ff,38,25,46,33,230,28,0,4.084587097167969,5.288696289062499,18.96190643310547,,,,,,,,,,,,,,,,A,r1,classic,324018,424018,classic-primary,0.4444444444444444
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,3,3,9,3,55,36,,0,8,400,0.02,True,step_limit,5440cc63dd5a1cfce252a40b7237519972145af825a7ca28da9be52abcfb37f0,55,113,52,98,41,41,0,2.2394657135009766,3.6171674728393537,7.805109024047852,,,,,,,,,,,,,,,,A,r1,classic,324019,424019,classic-primary,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,90,90,0,0,9,0,23,12,,1,7,90,0.07777777777777778,False,killed,f043d3c574cd935550c1956fc03b878ccdfe83429bf29010efc2a8f698787327,14,19,15,11,16,15,0,1.0830163955688477,2.4364829063415527,3.432035446166992,,,,,,,,,,,,,,,,A,r1,classic,324020,424020,classic-primary,0.0
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,24,10,,0,4,400,0.01,True,step_limit,1c99b0233c1e135f70f0ea0ba3c66bebde72135000b21c83d3161c9dde4a4668,18,11,15,12,332,12,0,3.1136274337768555,3.787386417388916,6.180524826049805,,,,,,,,,,,,,,,,A,r1,classic,324021,424021,classic-primary,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,2,2,9,2,15,5,,0,2,400,0.005,True,step_limit,0eab557562cc42d9ddd3686e110e5bcbcef02c6ff2fd56b095c0e897e9b41f4d,5,187,8,188,6,6,0,2.0459890365600586,2.4539947509765625,6.483554840087891,,,,,,,,,,,,,,,,A,r1,classic,324022,424022,classic-primary,0.2222222222222222
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,169,169,3,3,9,4,43,22,,1,6,169,0.03550295857988166,False,killed,d3da86f02fd125f0d08558da72d690ba14eda82e9cafbdd43e36b4f3828a6dd8,31,35,32,27,20,24,0,1.6131401062011719,3.6034584045410156,5.082607269287109,,,,,,,,,,,,,,,,A,r1,classic,324023,424023,classic-primary,0.3333333333333333
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,6,6,9,7,93,38,,0,22,400,0.055,True,step_limit,fa83ca4b55f22b710e020e19ac87d55e70793ca71fa4bd6b68ef806a12b1cb92,56,55,46,45,150,48,0,2.0890235900878906,5.4970383644103995,8.919000625610352,,,,,,,,,,,,,,,,A,r1,classic,324024,424024,classic-primary,0.6666666666666666
1,1,_run_plan_2f3b12767b_82f3e9c695,evaluation,400,400,4,4,9,4,30,10,,0,6,400,0.015,True,step_limit,f0567d2e69e09616c6eabcba71f41f75c02f26898781fd6a6e6ab4e3edaae51d,10,20,14,14,330,12,0,4.144072532653809,4.773890972137451,7.282257080078125,,,,,,,,,,,,,,,,A,r1,classic,324025,424025,classic-primary,0.4444444444444444
