cell,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
A,r1,classic,40,0.2611111111111111,2.35,0.0,0.25,0.85,366.125,366.125,155.79787234042553,0.6418572891771935,104,1544,796,1.9396984924623115,0.15,0.018709457152611814,1171,4027,1147,3898,3459,943,0,5.514049530029296,18.96190643310547
A,r1,coin-heaven,40,0.1975,9.875,0.0,0.2,1.0,400.0,400.0,40.50632911392405,2.46875,0,0,74,0.0,0.0,0.167625,1795,220,4250,217,9353,165,0,9.662413597106928,12.425661087036133
A,r1,loot-crate,40,0.2555,12.775,0.0,0.075,0.7,316.45,316.45,24.771037181996086,4.036972665507979,593,1412,654,2.159021406727829,0.3,0.07702638647495655,2400,1861,2311,1472,3554,1060,0,5.626726150512695,9.24539566040039
A,r2,classic,40,0.3111111111111111,2.8,0.0,0.15,0.85,356.325,356.325,127.25892857142857,0.7857994808110573,129,1759,1036,1.6978764478764479,0.15,0.0427980074370308,1990,1314,1887,1741,6212,1109,0,4.979562759399413,11.790275573730469
A,r2,coin-heaven,40,0.186,9.3,0.0,0.05,0.975,391.55,391.55,42.10215053763441,2.375175584216575,0,0,56,0.0,0.025,0.027518835397778062,1690,617,1327,651,11303,74,0,6.455361843109131,10.775327682495117
A,r2,loot-crate,40,0.126,6.3,0.0,0.075,0.675,284.975,284.975,45.23412698412698,2.2107202386174225,343,844,436,1.9357798165137614,0.325,0.07246249671023774,2150,842,1957,1226,4625,599,0,4.522550106048584,10.222911834716797
A,r3,classic,40,0.25277777777777777,2.275,0.0,0.25,0.925,375.075,375.075,164.86813186813185,0.6065453575951476,104,1301,1021,1.2742409402546524,0.075,0.11950943144704393,4032,1092,5213,1211,1820,1635,0,4.487514495849609,9.499073028564453
A,r3,coin-heaven,40,0.28500000000000003,14.25,0.0,0.0,0.9,364.55,364.55,25.582456140350878,3.9089288163489235,0,0,66,0.0,0.1,0.7496228226580716,6585,285,3631,2944,1008,129,0,6.333541870117186,10.872840881347656
A,r3,loot-crate,40,0.1045,5.225,0.0,0.1,0.9,362.375,362.375,69.35406698564593,1.4418765091410832,283,715,319,2.2413793103448274,0.1,0.2784408416695412,3088,859,5904,1234,2988,422,0,4.362881183624268,8.510828018188477
A,r4,classic,40,0.36666666666666664,3.3,0.0,0.225,0.925,375.8,375.8,113.87878787878788,0.8781266631186802,151,1893,1517,1.2478576137112722,0.075,0.03725385843533795,2380,3118,2286,3366,2184,1698,0,5.689239501953125,12.70437240600586
A,r4,coin-heaven,40,0.30300000000000005,15.15,0.025,0.025,0.975,387.85,387.85,25.6006600660066,3.9061492845172103,0,0,254,0.0,0.025,0.4053757896093851,838,557,6998,494,6342,285,0,6.477224826812743,11.76905632019043
A,r4,loot-crate,40,0.16699999999999998,8.35,0.0,0.025,0.75,322.8,322.8,38.65868263473054,2.586741016109046,424,1121,552,2.0307971014492754,0.25,0.09921003717472118,2952,2992,2075,3103,968,822,0,3.985667228698727,8.058547973632812
A,r5,classic,40,0.2861111111111111,2.575,0.0,0.15,0.9,376.65,376.65,146.27184466019418,0.6836585689632284,125,1580,839,1.8831942789034566,0.1,0.2435284747112704,2037,1111,5495,1051,4406,966,0,5.367517471313476,11.230230331420898
A,r5,coin-heaven,40,0.1125,5.625,0.0,0.2,1.0,400.0,400.0,71.11111111111111,1.40625,0,0,2,0.0,0.0,0.7291875,710,3961,2966,5634,2727,2,0,11.928808689117425,32.68623352050781
A,r5,loot-crate,40,0.15150000000000002,7.575,0.0,0.1,0.975,390.75,390.75,51.584158415841586,1.9385796545105567,374,946,460,2.0565217391304347,0.025,0.28790786948176583,2757,2470,6462,2154,1189,598,0,5.100929737091064,10.125398635864258
