schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,world_seed,agent_seed,cell,model,scenario,collection_fraction
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,6,6,9,6,69,40,,0,15,400,0.0375,True,step_limit,5d5a9d6fc6005958e113a7b061b64f758e9f0d7761a30dee03a96707111acf05,92,51,104,51,48,54,0,3.113269805908203,6.93840980529785,10.498046875,,,,,,,,,,,,,,,,29100001,39100001,A,r1,classic,0.6666666666666666
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,8,8,9,8,109,53,,0,17,400,0.0425,True,step_limit,510a883ac52f709bc3bdabd0afa057beda106e874cf0312dc8f4e9acbd4c2081,76,61,68,53,76,66,0,3.221869468688965,8.772337436676022,12.47262954711914,,,,,,,,,,,,,,,,29100002,39100002,A,r1,classic,0.8888888888888888
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,2,2,9,3,27,51,,0,126,400,0.315,True,step_limit,cc2e076c4d3b2c2f5036922d220a455c0fd21ae8acda362eebfa3fe788fcc9d1,54,51,49,58,12,176,0,1.5270709991455078,4.155409336090088,6.20269775390625,,,,,,,,,,,,,,,,29100003,39100003,A,r1,classic,0.2222222222222222
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,1,1,9,3,25,6,,0,2,400,0.005,True,step_limit,9bd4925eefae7853fdaf530553bca8fc26dd49195302e039f2e1c29a3408bef4,9,7,3,5,368,8,0,4.256963729858398,4.50892448425293,5.294561386108398,,,,,,,,,,,,,,,,29100004,39100004,A,r1,classic,0.1111111111111111
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,317,317,3,3,9,4,81,43,,1,7,317,0.022082018927444796,False,killed,1c3e2635e7e620ca351c218b4895e4e53758179524cfa65947347563a6784ae5,51,57,41,43,75,50,0,2.221822738647461,6.347322463989258,9.019136428833008,,,,,,,,,,,,,,,,29100005,39100005,A,r1,classic,0.3333333333333333
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,6,6,9,6,88,51,,0,18,400,0.045,True,step_limit,6a6603c3eda01a980f203f6fe520c1d5713d7ba1e9d714ec3f1c03b9c6813a9b,57,69,68,70,69,67,0,3.075718879699707,8.259952068328856,10.365486145019531,,,,,,,,,,,,,,,,29100006,39100006,A,r1,classic,0.6666666666666666
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,7,7,9,7,77,40,,0,16,400,0.04,True,step_limit,a8221e3e7ffc8c0d8821231cd85eace9f208b2e998f8d76f69f9f6fce0927be9,48,101,41,102,58,50,0,3.806471824645996,7.473957538604734,10.634660720825195,,,,,,,,,,,,,,,,29100007,39100007,A,r1,classic,0.7777777777777778
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,3,3,9,3,63,54,,0,6,400,0.015,True,step_limit,1227084f561eb1991e0a6fb412d61f3c97fb4e5b8941193db1b10988e39eb065,53,74,57,67,90,59,0,3.7533044815063477,10.180497169494629,11.905193328857422,,,,,,,,,,,,,,,,29100008,39100008,A,r1,classic,0.3333333333333333
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,0,0,9,0,31,54,,0,3,400,0.0075,True,step_limit,1bb1573d9ed9459507ef3f5a9d1fa70875c48200e8993003e388b271b78e2079,55,77,55,74,82,57,0,3.0908584594726562,6.913471221923827,8.056640625,,,,,,,,,,,,,,,,29100009,39100009,A,r1,classic,0.0
1,1,_run_plan_8c11018f40_82f3e9c695,evaluation,400,400,5,5,9,5,81,54,,0,14,400,0.035,True,step_limit,a79e02c9937ce47ad939a365755436ad9cd54021c2a7ed9fe495ce49b20b373a,64,62,46,73,93,62,0,2.9724836349487305,7.763087749481194,10.088682174682617,,,,,,,,,,,,,,,,29100010,39100010,A,r1,classic,0.5555555555555556
