cell,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms,collected_per_revealed_coin_proxy
A,r1,classic,40,0.44722222222222224,4.025,0.025,0.175,0.9,384.5,384.5,95.527950310559,1.046814044213264,180,2373,1495,1.5872909698996656,0.1,0.07002600780234071,2224,3165,1878,2913,3204,1996,0,10.180497169494629,12.47262954711914,0.8944444444444445
A,r1,coin-heaven,40,0.161,8.05,0.0,0.075,0.975,390.225,390.225,48.475155279503106,2.0629124223204562,0,0,59,0.0,0.025,0.46979306810173616,934,2176,4378,4517,3527,77,0,11.892926692962645,13.085603713989258,
A,r1,loot-crate,40,0.1555,7.775,0.0,0.025,0.675,293.275,293.275,37.72025723472669,2.6510953882874437,416,1016,385,2.638961038961039,0.325,0.1443184724234933,1736,1967,510,1604,5366,548,0,10.045576095581055,11.200666427612305,0.7475961538461539
A,r2,classic,40,0.18333333333333332,1.65,0.0,0.325,0.925,384.225,384.225,232.86363636363637,0.4294358774155768,103,1228,655,1.8748091603053436,0.075,0.36736287331641615,3896,1921,2202,3525,3080,745,0,9.394526481628418,11.526107788085938,0.6407766990291263
A,r2,coin-heaven,40,0.057499999999999996,2.875,0.0,0.2,1.0,400.0,400.0,139.1304347826087,0.71875,0,0,3,0.0,0.0,0.3430625,6429,407,3857,2519,2785,3,0,7.454228401184081,11.762857437133789,
A,r2,loot-crate,40,0.0745,3.725,0.0,0.275,0.825,336.15,336.15,90.24161073825503,1.1081362486984976,239,564,204,2.764705882352941,0.175,0.45597203629332145,1900,1171,3858,3424,2838,255,0,9.273159503936764,10.136127471923828,0.6234309623430963
A,r3,classic,40,0.3861111111111111,3.475,0.0,0.15,0.8,338.65,338.65,97.45323741007195,1.026133175845268,150,2058,1490,1.3812080536912752,0.2,0.018381810128451203,2297,1797,2225,1868,3797,1562,0,9.439361095428467,14.420747756958008,0.9266666666666666
A,r3,coin-heaven,40,0.333,16.65,0.075,0.0,0.9,348.775,348.775,20.94744744744745,4.773851336821733,0,0,115,0.0,0.1,0.5726471220701025,8629,2151,2499,469,1,202,0,12.018704414367672,14.742851257324219,
A,r3,loot-crate,40,0.269,13.45,0.0,0.075,0.65,307.225,307.225,22.84200743494424,4.377898934006022,626,1581,785,2.0140127388535034,0.35,0.18406705183497438,2678,1771,2632,1912,2338,958,0,9.034955501556391,11.753559112548828,0.8594249201277955
A,r4,classic,40,0.4083333333333333,3.675,0.075,0.15,1.0,400.0,400.0,108.84353741496598,0.91875,156,2140,1753,1.2207644038790644,0.0,0.0819375,2345,2851,1875,2994,4082,1853,0,8.917880058288572,12.153863906860352,0.9423076923076923
