cell,replica,stage,gamma,mean_abs_q,max_abs_q,mean_loss,mean_abs_td_error
A,r1,coin-heaven,0.9,26.289384841918945,42.160770416259766,4.555972844048881,4.972516914032767
A,r1,loot-crate,0.9,12.64248275756836,22.57193946838379,1.8807933127688616,2.2444967510158347
A,r1,classic,0.9,14.03812026977539,22.979541778564453,0.4291353955682041,0.6957163933513367
A,r2,coin-heaven,0.9,33.12682342529297,46.334842681884766,4.355700602377384,4.768969329123223
A,r2,loot-crate,0.9,16.36615753173828,28.657686233520508,1.856371174452311,2.2150535558989675
A,r2,classic,0.9,12.29561710357666,18.38548469543457,0.422162675518874,0.6848809850898102
A,r3,coin-heaven,0.9,29.724239349365234,47.222599029541016,4.74259780124831,5.160503768452136
A,r3,loot-crate,0.9,16.632694244384766,28.754697799682617,1.9222701677212948,2.286452953734724
A,r3,classic,0.9,10.604328155517578,16.03647804260254,0.4300480219984781,0.6964931925186945
A,r4,coin-heaven,0.9,25.4868106842041,38.971073150634766,4.6945074735667145,5.112446541979127
A,r4,loot-crate,0.9,15.777079582214355,26.182737350463867,1.9096376265145667,2.2761214503843705
A,r4,classic,0.9,15.38231372833252,29.800539016723633,0.43096114178783795,0.6990480198397875
A,r5,coin-heaven,0.9,18.755023956298828,39.256675720214844,4.467767319485933,4.882193074357338
A,r5,loot-crate,0.9,10.316522598266602,18.71323585510254,1.85950816156755,2.224440608549462
A,r5,classic,0.9,9.622905731201172,17.642560958862305,0.4212076377531584,0.6866778929013713
B,r1,coin-heaven,0.97,86.44786071777344,150.73980712890625,8.018941251495407,8.449665008130866
B,r1,loot-crate,0.97,37.36357879638672,59.651180267333984,5.443180294099396,5.841191626344961
B,r1,classic,0.97,20.283390045166016,27.43012809753418,0.5904497872817976,0.8727901349810401
B,r2,coin-heaven,0.97,76.81480407714844,134.78384399414062,6.721540889574146,7.1444467940636684
B,r2,loot-crate,0.97,37.253868103027344,62.37486267089844,4.948518086981109,5.328562460504469
B,r2,classic,0.97,18.875699996948242,25.562055587768555,0.6477321212378495,0.93361347901796
B,r3,coin-heaven,0.97,85.04412078857422,146.00802612304688,7.923529500658279,8.356766095505954
B,r3,loot-crate,0.97,44.96628189086914,71.54846954345703,4.971635981183962,5.373034415375845
B,r3,classic,0.97,18.543106079101562,25.709707260131836,0.6356385635856815,0.9209744012371565
B,r4,coin-heaven,0.97,87.92464447021484,149.62796020507812,7.989766505005247,8.424230017292388
B,r4,loot-crate,0.97,45.450199127197266,86.13648986816406,4.51313800301536,4.905149848206139
B,r4,classic,0.97,21.810955047607422,33.882991790771484,0.6287059456740987,0.9139319533552936
B,r5,coin-heaven,0.97,75.68431091308594,134.6284637451172,7.4744358272694065,7.907513274236794
B,r5,loot-crate,0.97,42.100059509277344,66.88267517089844,5.093187565195206,5.493765646562602
B,r5,classic,0.97,19.576810836791992,28.433719635009766,0.6513925592850139,0.933567347455088
