treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,40,0.175,1.575,0.0,0.25,0.925,377.05,377.05,239.3968253968254,0.41771648322503646,85,1358,1613,0.8419094854308742,0.05269683818970862,3,0.075,0.019559740087521548,3499,2591,3512,2533,1218,1729,0,1.1382699012756337,7.097005844116211
candidate,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.475,124.475,2.4895,40.168708576019284,0,0,2,0.0,0.0,0,0.0,0.0006025306286402892,1298,1157,1277,1238,7,2,0,1.7013549804687493,19.74177360534668
candidate,r1,loot-crate,40,0.2225,11.125,0.0,0.0,0.7,325.675,325.675,29.274157303370785,3.415982190834421,613,1486,1165,1.2755364806866953,0.5261802575107296,12,0.3,0.031856912566208644,3015,2398,3018,2374,892,1330,0,1.0875463485717771,197.68381118774414
candidate,r2,classic,40,0.016666666666666666,0.15,0.0,0.85,1.0,400.0,400.0,2666.6666666666665,0.0375,7,178,1546,0.11513583441138421,0.004527813712807244,0,0.0,0.0008125,1789,4468,1734,4477,1986,1546,0,1.099121570587157,11.215925216674805
candidate,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.075,124.075,2.4815,40.298206729800526,0,0,0,,,0,0.0,0.00040298206729800525,1295,1158,1266,1241,3,0,0,0.6416320800781248,2.4099349975585938
candidate,r2,loot-crate,40,0.0935,4.675,0.0,0.3,0.875,360.15,360.15,77.03743315508021,1.2980702485075664,257,651,1039,0.6265640038498557,0.24735322425409048,5,0.125,0.019158683881715953,2248,3749,2416,3757,1154,1082,0,0.6199955940246581,15.122175216674805
candidate,r3,classic,40,0.025,0.225,0.0,0.825,1.0,400.0,400.0,1777.7777777777778,0.05625,12,192,471,0.40764331210191085,0.025477707006369428,0,0.0,0.0028125,1779,5776,1774,5844,354,473,0,0.9527921676635741,4.291057586669922
candidate,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.225,124.225,2.4845,40.249547192594086,0,0,0,,,0,0.0,0.0004024954719259408,1293,1158,1275,1237,6,0,0,0.5780577659606932,5.936861038208008
candidate,r3,loot-crate,40,0.11850000000000001,5.925,0.0,0.15,0.95,388.825,388.825,65.62447257383967,1.5238217707194754,353,866,1283,0.6749805144193297,0.2751363990646921,2,0.05,0.040120877001221626,3063,3783,2863,3830,506,1508,0,0.7667183876037574,20.245075225830078
candidate,r4,classic,40,0.01388888888888889,0.125,0.0,0.9,1.0,400.0,400.0,3200.0,0.03125,5,131,1805,0.07257617728531857,0.002770083102493075,0,0.0,0.0003125,1854,3496,1848,3510,3487,1805,0,0.5586862564086905,3.674745559692383
candidate,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.225,124.225,2.4845,40.249547192594086,0,0,0,,,0,0.0,0.001006238679814852,1293,1161,1275,1237,3,0,0,1.546132564544677,10.51187515258789
candidate,r4,loot-crate,40,0.149,7.45,0.0,0.4,0.9,367.025,367.025,49.26510067114094,2.0298344799400585,389,1013,1416,0.7153954802259888,0.2747175141242938,4,0.1,0.019072270281315987,1863,3649,1930,3592,2162,1485,0,0.9765863418579086,6.773948669433594
candidate,r5,classic,40,0.01111111111111111,0.1,0.0,0.95,1.0,400.0,400.0,4000.0,0.025,4,93,422,0.22037914691943128,0.009478672985781991,0,0.0,0.0019375,2565,1070,2522,1107,8314,422,0,0.6964087486267088,52.23417282104492
candidate,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.225,124.225,2.4845,40.249547192594086,0,0,0,,,0,0.0,0.001006238679814852,1293,1158,1278,1237,3,0,0,0.7605552673339844,5.1250457763671875
