treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,classic,152001,0,9,0.0,0,400,0,0.4744410514831519,2.660036087036133,afbb88b795e14328ac46f6d648ddadc024efd9163eb71c1b9f90c6eb379d340e,True,0.17009973526000965,0.7529258728027344,afbb88b795e14328ac46f6d648ddadc024efd9163eb71c1b9f90c6eb379d340e
control,r1,classic,152002,0,9,0.0,0,400,0,0.27298927307128906,2.7420520782470703,ab91ba49d400acbed67ac16a2f656508586e82bf5b8de921ebeaff5fc5b84cb8,True,0.11806488037109371,0.49114227294921875,ab91ba49d400acbed67ac16a2f656508586e82bf5b8de921ebeaff5fc5b84cb8
control,r1,classic,152003,3,9,0.3333333333333333,0,400,0,0.4885792732238756,1.3458728790283203,8a1843778988f9044816efa4209883b59c0014c2110ec8f3d977b87eb0a48f7b,True,0.16822814941406236,0.5462169647216797,8a1843778988f9044816efa4209883b59c0014c2110ec8f3d977b87eb0a48f7b
control,r1,classic,152004,3,9,0.3333333333333333,0,400,0,0.22398233413696278,0.6630420684814453,321323c4125e417f33b95c854e09148929c4671b1b870db04d445e8e3be3a576,True,0.22414922714233396,1.0139942169189453,321323c4125e417f33b95c854e09148929c4671b1b870db04d445e8e3be3a576
control,r1,classic,152005,1,9,0.1111111111111111,0,400,0,0.19390583038330006,1.8701553344726562,bce40943997505a399b9e24a2c361b95782d382f6c82c5fb72216fb9dad84863,True,0.10402202606201165,0.5140304565429688,bce40943997505a399b9e24a2c361b95782d382f6c82c5fb72216fb9dad84863
control,r1,classic,152006,1,9,0.1111111111111111,0,400,0,0.3396272659301752,0.9462833404541016,c7800f3811dfd6c52f2e028faa2bb9bd164da03c17e6cdff077da0a85e649d28,True,0.4335165023803697,11.78598403930664,c7800f3811dfd6c52f2e028faa2bb9bd164da03c17e6cdff077da0a85e649d28
control,r1,classic,152007,2,9,0.2222222222222222,0,400,0,0.3221392631530761,1.1408329010009766,97889e08e96364ea32c2070627129993cd7eaba6d531a471062f8a81b1a88d35,True,0.7310390472412109,3.2320022583007812,97889e08e96364ea32c2070627129993cd7eaba6d531a471062f8a81b1a88d35
control,r1,classic,152008,2,9,0.2222222222222222,0,400,0,0.32198429107666005,2.3376941680908203,73d3ea572f7f9cffa5780a0eaf3af3e6192eb950201cccf8d058ec30ef61ae7d,True,0.17790794372558588,0.4951953887939453,73d3ea572f7f9cffa5780a0eaf3af3e6192eb950201cccf8d058ec30ef61ae7d
control,r1,classic,152009,0,9,0.0,0,400,0,0.23118257522582994,1.1560916900634766,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c,True,0.20204782485961903,1.4030933380126953,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c
control,r1,classic,152010,0,9,0.0,0,400,0,0.1970887184143065,2.2220611572265625,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c,True,0.19519329071044886,1.1019706726074219,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c
control,r1,classic,152011,0,9,0.0,0,400,0,0.17695426940917963,1.5532970428466797,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c,True,0.14973878860473633,0.4749298095703125,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c
control,r1,classic,152012,3,9,0.3333333333333333,0,400,0,0.1757383346557617,0.9489059448242188,12f8584f441b75623d866c4de9bb8ac73f1ba39d08a3d1d583370686c1220d0f,True,0.14612674713134746,0.3712177276611328,12f8584f441b75623d866c4de9bb8ac73f1ba39d08a3d1d583370686c1220d0f
control,r1,classic,152013,0,9,0.0,0,400,0,0.2055048942565903,2.753019332885742,1bab358ba1e441c99c46beb4853fe4b984446a14c9cb093215e27cfe7dd46fe1,True,0.2044439315795895,0.7801055908203125,1bab358ba1e441c99c46beb4853fe4b984446a14c9cb093215e27cfe7dd46fe1
control,r1,classic,152014,1,9,0.1111111111111111,0,400,0,0.16475915908813477,0.40984153747558594,3e314bc724c1ca541187c1d1cec30e4e039a0cb95f8d513d84e2667e3b4b2316,True,0.19886493682861325,0.6940364837646484,3e314bc724c1ca541187c1d1cec30e4e039a0cb95f8d513d84e2667e3b4b2316
control,r1,classic,152015,0,9,0.0,0,400,0,0.19919872283935514,0.5741119384765625,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c,True,0.1592755317687986,1.0387897491455078,caa0b37960d4db0de174947836cd649cb676a45c62e318824ed0956af5df050c
control,r1,classic,152016,0,9,0.0,0,400,0,0.7169008255004881,1.950979232788086,215d73398b3be8f0cc12497000e0acfcf5f6b8074cf492d27bd3393c37871d0c,True,0.2798914909362791,1.373291015625,215d73398b3be8f0cc12497000e0acfcf5f6b8074cf492d27bd3393c37871d0c
