treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,40,0.14166666666666666,1.275,0.0,0.3,1.0,400.0,400.0,313.72549019607845,0.31875,61,889,1530,0.581045751633987,0.03986928104575163,0,0.0,0.0120625,3617,3236,3574,3079,907,1587,0,0.78054666519165,6.228923797607422
candidate,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.175,125.175,2.5035,39.94407829039345,0,0,0,,,0,0.0,0.0013980427401637707,1302,1224,1266,1215,0,0,0,0.9457588195800781,10.437250137329102
candidate,r1,loot-crate,40,0.1165,5.825,0.0,0.125,0.875,355.975,355.975,61.11158798283262,1.6363508673361893,368,884,840,1.0523809523809524,0.4380952380952381,5,0.125,0.032797246997682425,1748,4577,1602,4440,896,976,0,0.6540656089782697,4.318952560424805
candidate,r2,classic,40,0.14166666666666666,1.275,0.0,0.4,1.0,400.0,400.0,313.72549019607845,0.31875,61,889,2023,0.43944636678200694,0.030153237765694514,0,0.0,0.0149375,2784,3453,2741,3355,1620,2047,0,0.6002902984619138,6.867885589599609
candidate,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.475,125.475,2.5095,39.84857541342897,0,0,3,0.0,0.0,0,0.0,0.0007969715082685794,1303,1228,1268,1215,2,3,0,0.64849853515625,2.187967300415039
candidate,r2,loot-crate,40,0.14550000000000002,7.275,0.0,0.125,0.85,349.775,349.775,48.07903780068729,2.0799085126152526,447,1067,1107,0.96386630532972,0.4037940379403794,6,0.15,0.03759559716960904,1617,4354,1517,4463,820,1220,0,0.7551550865173337,5.279064178466797
candidate,r3,classic,40,0.13055555555555556,1.175,0.0,0.45,0.975,391.725,391.725,333.3829787234043,0.29995532580254003,60,789,1654,0.47702539298669894,0.036275695284159616,1,0.025,0.012189673878358542,3390,2878,3483,2935,1301,1682,0,0.26762485504150335,1.981973648071289
candidate,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.225,125.225,2.5045,39.92812936713915,0,0,0,,,0,0.0,0.000798562587342783,1306,1221,1263,1212,7,0,0,0.5953669548034665,1.2750625610351562
candidate,r3,loot-crate,40,0.1935,9.675,0.0,0.05,0.85,352.55,352.55,36.43927648578811,2.744291589845412,548,1349,773,1.7451487710219922,0.7089262613195343,6,0.15,0.014040561622464899,3948,2496,3901,2475,442,840,0,0.329458713531494,1.425027847290039
candidate,r4,classic,40,0.06944444444444445,0.625,0.0,0.65,0.825,344.75,344.75,551.6,0.18129079042784627,44,544,1690,0.32189349112426036,0.02603550295857988,7,0.175,0.011747643219724439,2227,3138,2145,3109,1360,1811,0,0.7842302322387684,2.6998519897460938
candidate,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.525,125.525,2.5105,39.83270264887473,0,0,5,0.0,0.0,0,0.0,0.0007966540529774945,1303,1226,1257,1221,9,5,0,0.5800962448120117,2.1240711212158203
candidate,r4,loot-crate,40,0.18,9.0,0.0,0.3,0.75,321.925,321.925,35.769444444444446,2.795682224120525,517,1243,1355,0.9173431734317343,0.381549815498155,10,0.25,0.017628329579871087,2132,3178,2021,3055,1029,1462,0,0.7314920425415035,2.8400421142578125
candidate,r5,classic,40,0.08333333333333333,0.75,0.0,0.475,0.975,390.875,390.875,521.1666666666666,0.19187719859290053,49,584,1647,0.35458409228901033,0.029751062537947785,1,0.025,0.014518708026862807,2429,3938,2333,3881,1265,1789,0,0.514984130859375,2.9201507568359375
candidate,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.275,125.275,2.5055,39.91219317501497,0,0,0,,,0,0.0,0.0015964877270005988,1315,1219,1267,1210,0,0,0,0.84686279296875,1.9419193267822266
candidate,r5,loot-crate,40,0.11400000000000002,5.7,0.0,0.15,0.825,349.45,349.45,61.30701754385965,1.6311346401488052,376,942,827,1.1390568319226118,0.4546553808948005,7,0.175,0.014665903562741452,1963,4316,1990,4379,390,940,0,0.7421374320983875,2.5959014892578125
control,r1,classic,40,0.09722222222222222,0.875,0.0,0.55,0.95,384.275,384.275,439.1714285714286,0.22770151584151974,50,635,1305,0.48659003831417624,0.038314176245210725,2,0.05,0.011710363671849586,3124,3303,3043,3389,1135,1377,0,0.7169008255004881,4.374980926513672
control,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.175,125.175,2.5035,39.94407829039345,0,0,0,,,0,0.0,0.0013980427401637707,1302,1224,1266,1215,0,0,0,1.1996030807495117,9.054183959960938
control,r1,loot-crate,40,0.1075,5.375,0.0,0.075,0.95,381.75,381.75,71.02325581395348,1.4079895219384413,349,838,491,1.7067209775967414,0.7107942973523421,2,0.05,0.01309757694826457,3790,3352,3778,3341,412,597,0,1.0753989219665523,5.759000778198242
control,r2,classic,40,0.15277777777777776,1.375,0.0,0.35,0.9,366.125,366.125,266.27272727272725,0.37555479685899623,73,850,1485,0.5723905723905723,0.04915824915824916,4,0.1,0.034277910549675654,2388,3585,2436,3858,693,1685,0,0.7632374763488767,3.748178482055664
control,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.45,125.45,2.509,39.856516540454365,0,0,3,0.0,0.0,0,0.0,0.0009964129135113591,1302,1229,1267,1216,0,4,0,1.1708736419677734,4.291057586669922
control,r2,loot-crate,40,0.128,6.4,0.0,0.075,0.8,350.55,350.55,54.7734375,1.8257024675509912,360,863,904,0.9546460176991151,0.39823008849557523,8,0.2,0.031450577663671375,1911,4271,1815,4395,526,1104,0,1.0259151458740234,4.103899002075195
control,r3,classic,40,0.1472222222222222,1.325,0.0,0.45,0.95,382.875,382.875,288.9622641509434,0.34606594841658506,68,837,1762,0.4750283768444949,0.03859250851305335,2,0.05,0.024224616389160954,3202,3012,3275,3003,935,1888,0,0.9292602539062499,4.509925842285156
control,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.225,125.225,2.5045,39.92812936713915,0,0,0,,,0,0.0,0.000798562587342783,1306,1221,1263,1212,7,0,0,1.1099576950073242,5.201816558837891
control,r3,loot-crate,40,0.20750000000000002,10.375,0.0,0.125,0.85,358.375,358.375,34.54216867469879,2.8950122078828042,551,1356,1425,0.9515789473684211,0.38666666666666666,6,0.15,0.05266829438437391,2641,2947,2926,3045,1043,1733,0,0.8799910545349112,7.613897323608398
control,r4,classic,40,0.20833333333333331,1.875,0.0,0.275,0.875,363.475,363.475,193.85333333333332,0.5158539101726392,86,1084,1823,0.5946242457487658,0.047174986286341196,5,0.125,0.02194098631267625,3155,2665,3093,2456,1312,1858,0,0.5108833312988273,2.315044403076172
control,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.325,125.325,2.5065,39.896269698783165,0,0,5,0.0,0.0,0,0.0,0.0007979253939756633,1303,1224,1257,1219,5,5,0,0.3053188323974608,1.9121170043945312
control,r4,loot-crate,40,0.24900000000000003,12.45,0.0,0.0,0.75,339.525,339.525,27.271084337349397,3.6668875635078417,667,1630,1611,1.0117939168218497,0.41402855369335817,10,0.25,0.09609012591119948,2528,2889,2643,2812,695,2014,0,0.7561802864074706,4.1828155517578125
control,r5,classic,40,0.3,2.7,0.025,0.125,0.75,316.45,316.45,117.20370370370371,0.8532153578764418,122,1403,1449,0.9682539682539683,0.0841959972394755,10,0.25,0.03657765839785116,2678,2192,2790,2333,952,1713,0,0.4815578460693359,3.3249855041503906
