treatment,model,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,q_table_artifact_size_bytes
control,r1,1089,798347,733.10101010101,0.05693296602387511,41140
control,r2,1110,796139,717.2423423423423,0.07027027027027027,41787
control,r3,1109,855325,771.2578899909829,0.04869251577998197,42842
control,r4,1079,792078,734.0852641334569,0.06950880444856349,41423
control,r5,1079,787422,729.7701575532901,0.082483781278962,40836
candidate,r1,1081,820536,759.0527289546716,0.05920444033302498,40879
candidate,r2,1075,790435,735.2883720930232,0.0586046511627907,41421
candidate,r3,1096,820182,748.3412408759124,0.055656934306569344,41480
candidate,r4,1089,791852,727.1368227731864,0.05601469237832874,41939
candidate,r5,1093,842211,770.5498627630375,0.06129917657822507,42310
