treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,classic,142001,0,9,0.0,0,400,0,0.18416643142700184,0.7219314575195312,8a64e1c4d72342c329f6fae098a67d9361123650fb9f9718022f900d50384304,True,0.2794981002807612,0.5147457122802734,8a64e1c4d72342c329f6fae098a67d9361123650fb9f9718022f900d50384304
control,r1,classic,142002,0,9,0.0,0,400,0,0.2022385597229001,0.9610652923583984,3babd3a6ee24529f287acbf5f6ac9d775547d9b59d6f0cd911e05936999fe664,True,0.17855167388915974,0.6661415100097656,3babd3a6ee24529f287acbf5f6ac9d775547d9b59d6f0cd911e05936999fe664
control,r1,classic,142003,0,9,0.0,0,400,0,0.21214485168457015,0.5340576171875,bf553b76754ee14a3aaad8a1e5ba90d7ffa140d58c37d8b3d3d11dfdb278fbe7,True,0.29188394546508784,0.6868839263916016,bf553b76754ee14a3aaad8a1e5ba90d7ffa140d58c37d8b3d3d11dfdb278fbe7
control,r1,classic,142004,0,9,0.0,0,400,0,0.3951787948608395,0.5931854248046875,15a762af4c9ff1b14f09590b31ba22928ceccd558e34032a23be082b2bd4db61,True,0.23648738861083943,0.6060600280761719,15a762af4c9ff1b14f09590b31ba22928ceccd558e34032a23be082b2bd4db61
control,r1,classic,142005,0,9,0.0,0,400,0,0.1728534698486328,0.3199577331542969,852597c5dcce2ab0cf19d75f47636c65f327274e819f6aba4f889315d08a2cf4,True,0.1806974411010738,0.5099773406982422,852597c5dcce2ab0cf19d75f47636c65f327274e819f6aba4f889315d08a2cf4
control,r1,classic,142006,0,9,0.0,0,400,0,0.18202066421508692,0.3650188446044922,40fef7d354b2bcfaedb48a7e287d107d400117afbf8a05dd64707609ebbccfb4,True,0.1835346221923822,0.7200241088867188,40fef7d354b2bcfaedb48a7e287d107d400117afbf8a05dd64707609ebbccfb4
control,r1,classic,142007,0,9,0.0,0,400,0,0.18101930618286127,0.8320808410644531,f47b133e9697aff3ca4d544f99b20863b1d82e6eec97ab71dd5ca7a608d429fb,True,0.3641128540039062,0.8881092071533203,f47b133e9697aff3ca4d544f99b20863b1d82e6eec97ab71dd5ca7a608d429fb
control,r1,classic,142008,0,9,0.0,0,400,0,0.2340435981750487,1.1429786682128906,f47b133e9697aff3ca4d544f99b20863b1d82e6eec97ab71dd5ca7a608d429fb,True,0.4683613777160641,1.3000965118408203,f47b133e9697aff3ca4d544f99b20863b1d82e6eec97ab71dd5ca7a608d429fb
control,r1,classic,142009,0,9,0.0,0,400,0,0.23607015609741208,2.4831295013427734,87345ab190689cb4e739fcba097132838f8b6614ea39c02ac791beaf824f6bbc,True,0.2480626106262206,1.4810562133789062,87345ab190689cb4e739fcba097132838f8b6614ea39c02ac791beaf824f6bbc
control,r1,classic,142010,0,9,0.0,0,400,0,0.2471208572387692,0.492095947265625,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478,True,0.27900934219360346,1.596212387084961,6bd9bd24d6ce9f66a59e9f9d2b289ae158d57287692a6cc19f25ce5a844f8478
control,r1,classic,142011,0,9,0.0,0,400,0,0.16939640045165982,0.42510032653808594,aaeec7d25794ec3663025943e41dc74a82d068cef3fabfc167d10437bcb51b10,True,0.3079652786254881,0.8711814880371094,aaeec7d25794ec3663025943e41dc74a82d068cef3fabfc167d10437bcb51b10
control,r1,classic,142012,1,9,0.1111111111111111,0,400,0,0.3887414932250971,0.8139610290527344,16c1f5c99973c9addefd0f73ea9f9aee717a2c1d1b37b8faf2f2b9fae90b3967,True,0.16622543334960932,0.3669261932373047,16c1f5c99973c9addefd0f73ea9f9aee717a2c1d1b37b8faf2f2b9fae90b3967
control,r1,classic,142013,0,9,0.0,0,400,0,0.20068883895873965,4.426002502441406,436a9dd70424d527eac3171618c2ba74c6d65e5b6d68fa22df3d24fb80cb15c1,True,0.21009445190429682,0.4639625549316406,436a9dd70424d527eac3171618c2ba74c6d65e5b6d68fa22df3d24fb80cb15c1
control,r1,classic,142014,0,9,0.0,0,400,0,0.20109415054321278,0.5791187286376953,7d99833b1bb3df3c66de0249c37c0236ad339c9496dae0f41ba1654366aa7033,True,0.24536848068237258,0.6802082061767578,7d99833b1bb3df3c66de0249c37c0236ad339c9496dae0f41ba1654366aa7033
control,r1,classic,142015,0,9,0.0,0,400,0,0.20319223403930636,0.5910396575927734,aaeec7d25794ec3663025943e41dc74a82d068cef3fabfc167d10437bcb51b10,True,0.22833347320556605,0.9469985961914062,aaeec7d25794ec3663025943e41dc74a82d068cef3fabfc167d10437bcb51b10
control,r1,classic,142016,0,9,0.0,0,400,0,0.1810073852539062,0.7061958312988281,f47b133e9697aff3ca4d544f99b20863b1d82e6eec97ab71dd5ca7a608d429fb,True,0.2731919288635252,2.2058486938476562,f47b133e9697aff3ca4d544f99b20863b1d82e6eec97ab71dd5ca7a608d429fb
control,r1,classic,142017,0,9,0.0,0,400,0,0.19489526748657215,0.6880760192871094,e5afc17d2a1bb8534b68b61f433b074c34204533a36f3787578a377267eb09f4,True,0.17313957214355463,0.4429817199707031,e5afc17d2a1bb8534b68b61f433b074c34204533a36f3787578a377267eb09f4
