treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,40,0.07777777777777777,0.7,0.0,0.675,0.95,382.7,382.7,546.7142857142857,0.1829108962633917,33,450,1855,0.24258760107816713,0.01778975741239892,2,0.05,0.0028743140841390124,2940,2861,2887,2827,1911,1882,0,0.6314992904663083,4.370927810668945
candidate,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.675,124.675,2.4935,40.104271104872666,0,0,5,0.0,0.0,0,0.0,0.0008020854220974534,1308,1134,1283,1254,0,8,0,0.5454540252685547,1.3079643249511719
candidate,r1,loot-crate,40,0.1845,9.225,0.0,0.2,1.0,400.0,400.0,43.360433604336045,2.30625,482,1223,1120,1.0919642857142857,0.4303571428571429,0,0.0,0.015,3927,2908,3944,2971,989,1261,0,0.6331801414489743,2.937793731689453
candidate,r2,classic,40,0.175,1.575,0.0,0.425,0.925,375.775,375.775,238.5873015873016,0.4191337901669882,70,928,2059,0.4507042253521127,0.033997085964060224,3,0.075,0.010511609340695895,3377,1747,3351,1957,2487,2112,0,1.7072677612304676,7.35783576965332
candidate,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,125.05,125.05,2.501,39.98400639744102,0,0,5,0.0,0.0,0,0.0,0.001799280287884846,1331,1127,1267,1271,1,5,0,1.2002944946289047,10.629892349243164
candidate,r2,loot-crate,40,0.1685,8.425,0.0,0.225,0.875,359.075,359.075,42.62017804154303,2.3463064819327437,470,1155,1234,0.9359805510534847,0.38087520259319285,5,0.125,0.028475945136809858,2735,2943,2739,3116,1479,1351,0,0.7490277290344228,2.5131702423095703
candidate,r3,classic,40,0.16944444444444445,1.525,0.0,0.25,0.95,389.25,389.25,255.24590163934425,0.3917790622992935,75,1180,1979,0.5962607377463366,0.037897928246589184,2,0.05,0.015478484264611432,3092,3015,3098,3258,1081,2026,0,0.6124377250671386,2.611875534057617
candidate,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.65,124.65,2.493,40.11231448054553,0,0,0,,,0,0.0,0.00020056157240272763,1325,1120,1274,1262,5,0,0,0.49765110015869124,2.708911895751953
candidate,r3,loot-crate,40,0.198,9.9,0.0,0.075,0.875,363.025,363.025,36.66919191919192,2.727084911507472,585,1430,1544,0.9261658031088082,0.3788860103626943,5,0.125,0.03546587700571586,3574,2239,3527,2207,1195,1779,0,0.5286097526550286,6.464958190917969
candidate,r4,classic,40,0.09166666666666666,0.825,0.0,0.475,0.875,354.275,354.275,429.42424242424244,0.23286994566367936,52,733,1561,0.4695707879564382,0.033311979500320305,5,0.125,0.05356008750264625,2650,3030,2512,3030,882,2067,0,1.0111570358276367,5.328893661499023
candidate,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.825,124.825,2.4965,40.05607850991388,0,0,4,0.0,0.0,0,0.0,0.0,1312,1132,1273,1263,9,4,0,0.8977413177490233,2.460956573486328
candidate,r4,loot-crate,40,0.08499999999999999,4.25,0.0,0.25,0.525,239.7,239.7,56.4,1.7730496453900708,327,793,841,0.9429250891795482,0.38882282996432815,19,0.475,0.04536921151439299,1325,2768,1146,2712,727,910,0,1.7824888229370115,8.057832717895508
candidate,r5,classic,40,0.15833333333333333,1.425,0.0,0.25,0.95,384.9,384.9,270.10526315789474,0.37022603273577553,79,1161,1600,0.725625,0.049375,2,0.05,0.03897116134060795,3451,2858,3792,2776,758,1761,0,0.7203340530395504,3.900766372680664
candidate,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.05,124.05,2.481,40.30632809351068,0,0,0,,,0,0.0,0.0006045949214026602,1308,1124,1272,1251,7,0,0,0.7926821708679199,8.151054382324219
candidate,r5,loot-crate,40,0.1805,9.025,0.0,0.1,0.75,331.15,331.15,36.692520775623265,2.725351049373396,553,1343,1159,1.1587575496117342,0.4771354616048318,10,0.25,0.043635814585535254,2654,2880,2568,2721,949,1474,0,1.0819435119628906,10.70094108581543
control,r1,classic,40,0.01388888888888889,0.125,0.0,0.875,1.0,400.0,400.0,3200.0,0.03125,5,131,1355,0.09667896678966789,0.0036900369003690036,0,0.0,0.0,2844,3072,2842,3053,2834,1355,0,0.4304766654968256,4.426002502441406
control,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.875,124.875,2.4975,40.04004004004004,0,0,5,0.0,0.0,0,0.0,0.0002002002002002002,1311,1135,1286,1255,3,5,0,0.7375240325927732,2.402067184448242
control,r1,loot-crate,40,0.10500000000000001,5.25,0.0,0.425,0.95,389.9,389.9,74.26666666666667,1.3464991023339319,286,701,845,0.829585798816568,0.3384615384615385,2,0.05,0.00807899461400359,2472,4321,2404,4312,1198,889,0,0.892937183380127,7.969856262207031
control,r2,classic,40,0.016666666666666666,0.15,0.0,0.85,1.0,400.0,400.0,2666.6666666666665,0.0375,6,128,1761,0.07268597387847814,0.0034071550255536627,0,0.0,0.0003125,1858,3344,1877,3345,3811,1765,0,0.678145885467529,2.1719932556152344
control,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.925,124.925,2.4985,40.024014408645186,0,0,5,0.0,0.0,0,0.0,0.0012007204322593557,1315,1130,1271,1273,2,6,0,0.6379127502441406,2.176046371459961
control,r2,loot-crate,40,0.047,2.35,0.0,0.325,0.95,382.225,382.225,162.64893617021278,0.614821113218654,136,337,961,0.3506763787721124,0.14151925078043703,2,0.05,0.003793577081561907,3771,2223,3829,2246,2231,989,0,0.5748510360717767,2.1970272064208984
control,r3,classic,40,0.01944444444444444,0.175,0.0,0.825,1.0,400.0,400.0,2285.714285714286,0.04375,7,113,1530,0.0738562091503268,0.004575163398692811,0,0.0,0.0,3721,1541,3712,1543,3953,1530,0,0.5588531494140625,2.3088455200195312
control,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.75,124.75,2.495,40.08016032064128,0,0,0,,,0,0.0,0.0008016032064128256,1319,1128,1272,1271,0,0,0,0.7450580596923825,1.9767284393310547
control,r3,loot-crate,40,0.0245,1.225,0.0,0.55,1.0,400.0,400.0,326.53061224489795,0.30625,79,195,841,0.2318668252080856,0.093935790725327,0,0.0,0.0015,3552,3130,3540,3115,1810,853,0,0.8735418319702144,3.5810470581054688
control,r4,classic,40,0.03333333333333333,0.3,0.0,0.775,1.0,400.0,400.0,1333.3333333333333,0.075,13,207,1523,0.13591595535128037,0.008535784635587657,0,0.0,0.001125,4501,1746,4515,1795,1919,1524,0,0.8034706115722654,3.6859512329101562
control,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.375,124.375,2.4875,40.20100502512563,0,0,4,0.0,0.0,0,0.0,0.0004020100502512563,1301,1138,1267,1258,7,4,0,1.642298698425291,3.701925277709961
control,r4,loot-crate,40,0.038,1.9,0.0,0.475,0.95,382.975,382.975,201.56578947368422,0.4961159344604739,147,357,893,0.3997760358342665,0.16461366181410975,2,0.05,0.005875057118610875,3109,3541,3079,3609,1058,923,0,0.7104396820068357,2.1190643310546875
control,r5,classic,40,0.15277777777777776,1.375,0.0,0.375,0.95,382.85,382.85,278.43636363636364,0.3591484915763354,63,904,1752,0.5159817351598174,0.03595890410958904,2,0.05,0.06183884027687084,2439,2796,2406,2856,2279,2538,0,0.7081508636474609,4.097938537597656
control,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,124.325,124.325,2.4865,40.217172732756886,0,0,0,,,0,0.0,0.0,1307,1131,1279,1251,5,0,0,0.6777763366699213,1.7101764678955078
control,r5,loot-crate,40,0.288,14.4,0.0,0.0,0.7,319.475,319.475,22.18576388888889,4.507394944831364,788,1939,1108,1.75,0.7111913357400722,12,0.3,0.04538696298614915,2063,3420,1847,3360,745,1344,0,0.6789326667785643,1.9860267639160156
