treatment,model,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,q_table_artifact_size_bytes
control,r1,1076,848437,788.5102230483271,0.056691449814126396,40640
control,r2,1083,942227,870.0156971375808,0.07479224376731301,40360
control,r3,1079,818475,758.5495829471733,0.06580166821130677,39584
control,r4,1033,876273,848.2797676669893,0.08228460793804453,36523
control,r5,1090,792424,726.994495412844,0.07522935779816514,40887
candidate,r1,1092,846087,774.804945054945,0.07967032967032966,41236
candidate,r2,1066,816930,766.3508442776736,0.055347091932457786,41109
candidate,r3,1087,801415,737.2723091076357,0.051517939282428704,42541
candidate,r4,1095,796628,727.5141552511416,0.0593607305936073,42601
candidate,r5,1099,750620,683.0027297543221,0.0545950864422202,42217
