treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,classic,162001,0,9,0.0,0,400,0,0.15110969543457015,0.4150867462158203,1ec8ef1a245dbca85d05bdc6cacb4877ab3f387adad8ec895d6684c5d372344d,True,0.18798112869262684,0.5350112915039062,1ec8ef1a245dbca85d05bdc6cacb4877ab3f387adad8ec895d6684c5d372344d
control,r1,classic,162002,1,9,0.1111111111111111,0,400,0,0.6411552429199219,1.0709762573242188,f4622922a4070d4c1e0304eb371d4443201131549984b62666287b17ee2f632b,True,0.29498338699340815,0.7960796356201172,f4622922a4070d4c1e0304eb371d4443201131549984b62666287b17ee2f632b
control,r1,classic,162003,1,9,0.1111111111111111,0,400,0,0.6008267402648926,2.9349327087402344,23d79c2fa13b933801217c0c92b56a0abeafe6469518a9ff72b466a114fa2551,True,0.1590251922607422,0.4673004150390625,23d79c2fa13b933801217c0c92b56a0abeafe6469518a9ff72b466a114fa2551
control,r1,classic,162004,0,9,0.0,0,400,0,0.2963185310363768,0.7669925689697266,8436e796dc2a614cd31fd5d1d1f64ec7ee9f95f7b1518042bd4b515788a3c521,True,0.16700029373168934,0.49996376037597656,8436e796dc2a614cd31fd5d1d1f64ec7ee9f95f7b1518042bd4b515788a3c521
control,r1,classic,162005,0,9,0.0,1,84,0,0.14350414276123044,2.1648406982421875,66de244c08dcf885847aa21eef115c6be99de053f34bbec33c7d45c682072fe0,True,0.261998176574707,0.3161430358886719,66de244c08dcf885847aa21eef115c6be99de053f34bbec33c7d45c682072fe0
control,r1,classic,162006,5,9,0.5555555555555556,0,400,1,0.4024386405944809,2.8200149536132812,e0c0a9763ea51a70456cc6687d12149ec223436e1bef9ecd395d2c5eb7db1992,True,0.24819374084472656,0.32901763916015625,e0c0a9763ea51a70456cc6687d12149ec223436e1bef9ecd395d2c5eb7db1992
control,r1,classic,162007,0,9,0.0,0,400,0,0.22948980331420843,0.7941722869873047,ca5646addaee107356baeb6bfa1bd58a3da09381cf199f113c2c5f2f35d796fe,True,0.16813278198242182,0.9248256683349609,ca5646addaee107356baeb6bfa1bd58a3da09381cf199f113c2c5f2f35d796fe
control,r1,classic,162008,0,9,0.0,0,400,0,0.16275644302368084,0.9090900421142578,50f683121965cad356b07f0387f372765ce95da761dd321cd25e9a6c9e4ecad1,True,0.12215375900268548,0.621795654296875,50f683121965cad356b07f0387f372765ce95da761dd321cd25e9a6c9e4ecad1
control,r1,classic,162009,1,9,0.1111111111111111,0,400,0,0.1499772071838379,0.6439685821533203,7a83022c98d383befb7d570ffd5fa57345d095e710d46356ca59afabc59f527f,True,0.12904405593872065,0.31280517578125,7a83022c98d383befb7d570ffd5fa57345d095e710d46356ca59afabc59f527f
control,r1,classic,162010,2,9,0.2222222222222222,0,400,0,0.12398958206176756,0.3757476806640625,eae7fffa6d5e7fbb6d50d799c6895e67c668523c27ca4a3e94d3a15d1ad8de32,True,0.19751787185668915,1.148223876953125,eae7fffa6d5e7fbb6d50d799c6895e67c668523c27ca4a3e94d3a15d1ad8de32
control,r1,classic,162011,0,9,0.0,0,400,0,0.38126707077026234,6.142854690551758,584bb1a48d3ec7f82ee200b2b1fdcbe7e196bef0f19054a415c656e8b69da80f,True,0.3879666328430175,1.0068416595458984,584bb1a48d3ec7f82ee200b2b1fdcbe7e196bef0f19054a415c656e8b69da80f
control,r1,classic,162012,2,9,0.2222222222222222,0,400,0,0.3534078598022458,2.3839473724365234,89489cd9ce997d53cf8285ee87b7944c9c7f874d47f4271a1a7f31c95b09a25e,True,0.16119480133056616,0.42700767517089844,89489cd9ce997d53cf8285ee87b7944c9c7f874d47f4271a1a7f31c95b09a25e
control,r1,classic,162013,4,9,0.4444444444444444,0,400,0,0.2522110939025877,0.9367465972900391,ddb388ca61bdec3cef2918f807fd04b2cb8db87bd33b6d7ed644909a9e2b9297,True,0.23431777954101546,2.2940635681152344,ddb388ca61bdec3cef2918f807fd04b2cb8db87bd33b6d7ed644909a9e2b9297
control,r1,classic,162014,0,9,0.0,1,56,0,0.3399848937988281,0.492095947265625,3bc835707ce3e38da7b582bd48188fe9b3603d32084b7cd4e4229528b32a0964,True,0.2880096435546875,0.5428791046142578,3bc835707ce3e38da7b582bd48188fe9b3603d32084b7cd4e4229528b32a0964
control,r1,classic,162015,3,9,0.3333333333333333,0,400,0,0.4838585853576659,1.2371540069580078,ee7412d4b32970408de1f80d7d2124178f23a68665346305f7e5a99fd68ac38c,True,0.510609149932859,1.5971660614013672,ee7412d4b32970408de1f80d7d2124178f23a68665346305f7e5a99fd68ac38c
control,r1,classic,162016,0,9,0.0,0,400,0,0.27333498001098516,0.8780956268310547,5a9092a5c4e9502ff730f0a412b664363b60ad8ae8888e3d8d01318a45074907,True,0.31925439834594704,3.139972686767578,5a9092a5c4e9502ff730f0a412b664363b60ad8ae8888e3d8d01318a45074907
control,r1,classic,162017,0,9,0.0,0,400,0,0.18696784973144526,0.6761550903320312,1be3a8a7048620947ae2a28f2872fd64d8fc441aca299adc1faad35adff90e04,True,0.22298097610473627,0.8609294891357422,1be3a8a7048620947ae2a28f2872fd64d8fc441aca299adc1faad35adff90e04
control,r1,classic,162018,0,9,0.0,0,400,0,0.13594627380371088,0.49805641174316406,9dc664ad8db46f7c46e6b1b91c163f055942860d2552221140df53a6077bd373,True,0.3126740455627436,1.7552375793457031,9dc664ad8db46f7c46e6b1b91c163f055942860d2552221140df53a6077bd373
control,r1,classic,162019,4,9,0.4444444444444444,0,400,0,0.18405914306640625,0.8118152618408203,eb91bed77a1f44ae694b2760d42fa63bc8b52a7338e887450bb37bafdbe464f8,True,0.1784682273864745,0.67901611328125,eb91bed77a1f44ae694b2760d42fa63bc8b52a7338e887450bb37bafdbe464f8
