treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,40,0.125,1.125,0.0,0.45,0.85,354.025,354.025,314.68888888888887,0.31777416849092577,58,869,1686,0.5154211150652431,0.03440094899169632,6,0.15,0.014476378786808842,3406,2262,3391,2215,1103,1784,0,0.8098602294921867,5.785703659057617
candidate,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,121.55,121.55,2.431,41.13533525298231,0,0,12,0.0,0.0,0,0.0,0.0016454134101192926,1231,1146,1297,1165,10,13,0,0.7027149200439453,13.153076171875
candidate,r1,loot-crate,40,0.14150000000000001,7.075,0.0,0.05,0.625,294.575,294.575,41.63604240282685,2.401765255028431,393,962,1270,0.75748031496063,0.3094488188976378,15,0.375,0.04031231435118391,2034,2655,1954,2712,903,1525,0,0.763154029846191,9.544134140014648
candidate,r2,classic,40,0.08888888888888888,0.8,0.0,0.55,0.975,391.55,391.55,489.4375,0.20431617928744733,51,782,1522,0.5137976346911958,0.03350854139290407,1,0.025,0.017111480015323713,3584,2885,3709,2984,860,1640,0,1.0497689247131348,10.20503044128418
candidate,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,121.35,121.35,2.427,41.203131437989285,0,0,6,0.0,0.0,0,0.0,0.0010300782859497322,1221,1163,1286,1168,8,8,0,0.8869171142578117,3.862142562866211
candidate,r2,loot-crate,40,0.13799999999999998,6.9,0.0,0.05,0.775,328.275,328.275,47.57608695652174,2.10189627598812,424,1038,789,1.3155893536121672,0.5373891001267427,9,0.225,0.020105094813799407,4029,1874,4024,1839,540,825,0,0.8738279342651352,25.825977325439453
candidate,r3,classic,40,0.16111111111111112,1.45,0.0,0.35,0.975,392.4,392.4,270.62068965517244,0.36952089704383284,73,1090,1982,0.549949545913219,0.036831483350151364,1,0.025,0.017775229357798166,2862,3264,2901,3309,1202,2158,0,1.1473536491394043,10.129213333129883
candidate,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,123.05,123.05,2.461,40.633888663145065,0,0,10,0.0,0.0,0,0.0,0.0058919138561560344,1217,1184,1307,1203,1,10,0,0.3986239433288573,5.097866058349609
candidate,r3,loot-crate,40,0.146,7.3,0.0,0.175,0.75,336.85,336.85,46.14383561643836,2.1671367077334125,450,1111,1584,0.7013888888888888,0.2840909090909091,10,0.25,0.056998664093810304,1970,3497,1986,3453,389,2179,0,0.5495190620422361,17.349958419799805
candidate,r4,classic,40,0.12777777777777777,1.15,0.0,0.45,0.875,366.2,366.2,318.4347826086956,0.3140360458765702,59,845,1664,0.5078125,0.03545673076923077,5,0.125,0.02382577826324413,3741,1844,3949,1944,1487,1683,0,0.2911090850830078,2.270936965942383
candidate,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,121.925,121.925,2.4385,41.00881689563256,0,0,7,0.0,0.0,0,0.0,0.0006151322534344885,1226,1171,1286,1175,12,7,0,0.48680305480957,2.9840469360351562
candidate,r4,loot-crate,40,0.174,8.7,0.0,0.025,0.875,359.7,359.7,41.3448275862069,2.4186822351959965,490,1212,747,1.6224899598393574,0.6559571619812584,5,0.125,0.02793994995829858,3185,3288,3323,3170,616,806,0,0.691580772399902,3.963947296142578
candidate,r5,classic,40,0.13333333333333333,1.2,0.0,0.425,0.95,386.075,386.075,321.7291666666667,0.31082043644369617,63,966,1962,0.4923547400611621,0.03211009174311927,2,0.05,0.039500097131386386,2488,3649,2419,3501,1123,2263,0,0.3910541534423828,4.0130615234375
candidate,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,121.95,121.95,2.439,41.00041000410004,0,0,10,0.0,0.0,0,0.0,0.0002050020500205002,1237,1160,1298,1166,6,11,0,0.4240393638610843,2.644062042236328
candidate,r5,loot-crate,40,0.17099999999999999,8.55,0.0,0.05,0.85,348.45,348.45,40.75438596491228,2.4537236332328884,467,1185,1593,0.743879472693032,0.29315756434400503,6,0.15,0.049002726359592484,2726,2606,2431,2647,1670,1858,0,0.8532047271728515,4.904985427856445
control,r1,classic,40,0.125,1.125,0.0,0.45,0.85,354.025,354.025,314.68888888888887,0.31777416849092577,58,869,1686,0.5154211150652431,0.03440094899169632,6,0.15,0.014476378786808842,3406,2262,3391,2215,1103,1784,0,0.8772015571594238,16.7391300201416
control,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,121.55,121.55,2.431,41.13533525298231,0,0,12,0.0,0.0,0,0.0,0.0016454134101192926,1231,1146,1297,1165,10,13,0,2.73817777633667,6.305217742919922
control,r1,loot-crate,40,0.14150000000000001,7.075,0.0,0.05,0.625,294.575,294.575,41.63604240282685,2.401765255028431,393,962,1270,0.75748031496063,0.3094488188976378,15,0.375,0.04031231435118391,2034,2655,1954,2712,903,1525,0,0.9964227676391602,5.914926528930664
control,r2,classic,40,0.08888888888888888,0.8,0.0,0.55,0.975,391.55,391.55,489.4375,0.20431617928744733,51,782,1522,0.5137976346911958,0.03350854139290407,1,0.025,0.017111480015323713,3584,2885,3709,2984,860,1640,0,0.6493687629699704,4.612922668457031
control,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,121.35,121.35,2.427,41.203131437989285,0,0,6,0.0,0.0,0,0.0,0.0010300782859497322,1221,1163,1286,1168,8,8,0,0.63631534576416,4.647254943847656
control,r2,loot-crate,40,0.13799999999999998,6.9,0.0,0.05,0.775,328.275,328.275,47.57608695652174,2.10189627598812,424,1038,789,1.3155893536121672,0.5373891001267427,9,0.225,0.020105094813799407,4029,1874,4024,1839,540,825,0,0.8485317230224607,5.810976028442383
control,r3,classic,40,0.16111111111111112,1.45,0.0,0.35,0.975,392.4,392.4,270.62068965517244,0.36952089704383284,73,1090,1982,0.549949545913219,0.036831483350151364,1,0.025,0.017775229357798166,2862,3264,2901,3309,1202,2158,0,0.667476654052734,5.008935928344727
control,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,123.05,123.05,2.461,40.633888663145065,0,0,10,0.0,0.0,0,0.0,0.0058919138561560344,1217,1184,1307,1203,1,10,0,0.7515192031860346,16.898155212402344
control,r3,loot-crate,40,0.146,7.3,0.0,0.175,0.75,336.85,336.85,46.14383561643836,2.1671367077334125,450,1111,1584,0.7013888888888888,0.2840909090909091,10,0.25,0.056998664093810304,1970,3497,1986,3453,389,2179,0,1.628923416137692,11.063098907470703
control,r4,classic,40,0.12777777777777777,1.15,0.0,0.45,0.875,366.2,366.2,318.4347826086956,0.3140360458765702,59,845,1664,0.5078125,0.03545673076923077,5,0.125,0.02382577826324413,3741,1844,3949,1944,1487,1683,0,0.3752231597900389,8.51297378540039
control,r4,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,121.925,121.925,2.4385,41.00881689563256,0,0,7,0.0,0.0,0,0.0,0.0006151322534344885,1226,1171,1286,1175,12,7,0,0.3273010253906249,1.1758804321289062
control,r4,loot-crate,40,0.174,8.7,0.0,0.025,0.875,359.7,359.7,41.3448275862069,2.4186822351959965,490,1212,747,1.6224899598393574,0.6559571619812584,5,0.125,0.02793994995829858,3185,3288,3323,3170,616,806,0,0.4443049430847158,2.579212188720703
control,r5,classic,40,0.13333333333333333,1.2,0.0,0.425,0.95,386.075,386.075,321.7291666666667,0.31082043644369617,63,966,1962,0.4923547400611621,0.03211009174311927,2,0.05,0.039500097131386386,2488,3649,2419,3501,1123,2263,0,0.33118724822998047,2.0761489868164062
control,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,121.95,121.95,2.439,41.00041000410004,0,0,10,0.0,0.0,0,0.0,0.0002050020500205002,1237,1160,1298,1166,6,11,0,0.4639625549316406,3.255128860473633
control,r5,loot-crate,40,0.17099999999999999,8.55,0.0,0.05,0.85,348.45,348.45,40.75438596491228,2.4537236332328884,467,1185,1593,0.743879472693032,0.29315756434400503,6,0.15,0.049002726359592484,2726,2606,2431,2647,1670,1858,0,2.3608803749084464,78.88269424438477
