treatment,model,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,q_table_artifact_size_bytes
control,r1,1083,719538,664.393351800554,0.0664819944598338,40766
control,r2,1083,756069,698.1246537396122,0.061865189289012,40843
control,r3,1102,727743,660.3838475499092,0.06442831215970962,42399
control,r4,1090,731806,671.3816513761468,0.05229357798165138,41397
control,r5,1073,733177,683.2963653308481,0.05871388630009319,41039
candidate,r1,1083,719538,664.393351800554,0.0664819944598338,40935
candidate,r2,1083,756069,698.1246537396122,0.061865189289012,41015
candidate,r3,1102,727743,660.3838475499092,0.06442831215970962,42578
candidate,r4,1090,731806,671.3816513761468,0.05229357798165138,41562
candidate,r5,1073,733177,683.2963653308481,0.05871388630009319,41203
