treatment,model,scenario,world_seed,coins_collected,initially_available_coins,collection_fraction,self_kills,evaluation_decisions,evaluation_unseen_decisions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match,repeat_decision_time_p95_ms,repeat_decision_time_max_ms,repeat_action_sequence_sha256
control,r1,classic,172001,4,9,0.4444444444444444,0,400,0,0.31927824020385737,1.172780990600586,c0de1441fd78cd3dbba4bae63859be298c80ca23e3bd68b84c37ea1bf0f91e65,True,0.7311940193176267,1.6338825225830078,c0de1441fd78cd3dbba4bae63859be298c80ca23e3bd68b84c37ea1bf0f91e65
control,r1,classic,172002,0,9,0.0,0,400,0,0.32782554626464844,0.8442401885986328,f19b9f0fc460806fd016798379ad1cf622f69539986bf185b5bba7c8fd62dbc9,True,0.585949420928955,2.706289291381836,f19b9f0fc460806fd016798379ad1cf622f69539986bf185b5bba7c8fd62dbc9
control,r1,classic,172003,2,9,0.2222222222222222,0,400,2,0.5349397659301757,1.4719963073730469,ace197e356b7eb4eee41ad798b6cc5eccc93523ba80c5ce56cb5347e628d3457,True,1.1937141418457022,3.2129287719726562,ace197e356b7eb4eee41ad798b6cc5eccc93523ba80c5ce56cb5347e628d3457
control,r1,classic,172004,1,9,0.1111111111111111,0,400,0,0.5110740661621084,1.6939640045166016,87cd37e1a08f4816fc72cd32f3f4f755cb00bcfa04637f1c270433d9edf38f29,True,0.7903695106506337,2.732992172241211,87cd37e1a08f4816fc72cd32f3f4f755cb00bcfa04637f1c270433d9edf38f29
control,r1,classic,172005,3,9,0.3333333333333333,0,400,0,0.3733515739440916,1.6100406646728516,aa4c1ee84790b99a415c3e0643a72b0a2d2e8fc3fdf8a02b24dbeb7d2e27d60a,True,0.8348107337951659,3.220081329345703,aa4c1ee84790b99a415c3e0643a72b0a2d2e8fc3fdf8a02b24dbeb7d2e27d60a
control,r1,classic,172006,5,9,0.5555555555555556,0,400,0,0.2869009971618645,0.7228851318359375,499eeb32d12e996f29ae51489185102e0578a8b35e40827a4cb95095a1b738a3,True,0.4909634590148925,2.9120445251464844,499eeb32d12e996f29ae51489185102e0578a8b35e40827a4cb95095a1b738a3
control,r1,classic,172007,1,9,0.1111111111111111,0,400,0,1.0791063308715818,2.2039413452148438,bb8e1618a192462fb75be97498aca615512f6c264bcc2c54baee7b0a142a3115,True,0.796949863433836,1.978158950805664,bb8e1618a192462fb75be97498aca615512f6c264bcc2c54baee7b0a142a3115
control,r1,classic,172008,0,9,0.0,0,400,0,0.3723859786987301,0.6189346313476562,abb6213b855a1cf39de6b6bf19cfc8b5471dfe733437c10832b35cdc2c00dd27,True,0.5254149436950682,2.0799636840820312,abb6213b855a1cf39de6b6bf19cfc8b5471dfe733437c10832b35cdc2c00dd27
control,r1,classic,172009,0,9,0.0,0,400,0,0.25802850723266596,0.48279762268066406,2ecb1a9554d36a9d16e7b9e771c8ed39ab319da769f7146ad85a8ce5f29bb496,True,0.42591094970703114,1.255035400390625,2ecb1a9554d36a9d16e7b9e771c8ed39ab319da769f7146ad85a8ce5f29bb496
control,r1,classic,172010,2,9,0.2222222222222222,0,400,0,0.5977511405944818,1.293182373046875,13053fb85b522ed24dde1203e013d3975905f1abc88cbab487c78a0c6b9909f1,True,0.6677508354187006,2.402067184448242,13053fb85b522ed24dde1203e013d3975905f1abc88cbab487c78a0c6b9909f1
control,r1,classic,172011,5,9,0.5555555555555556,0,400,1,0.49122571945190424,0.8749961853027344,67a78485bcf2d2495088d86a4ec04f7d4c15477d7a6ef12091acc5af8962a4c6,True,0.5588769912719711,2.010822296142578,67a78485bcf2d2495088d86a4ec04f7d4c15477d7a6ef12091acc5af8962a4c6
control,r1,classic,172012,0,9,0.0,0,400,0,0.6690263748168943,1.567840576171875,0dda2932c0fef8a406d242d43c44b362b8f42a3d8849e62cad2f220553efa11f,True,0.4612565040588377,1.0619163513183594,0dda2932c0fef8a406d242d43c44b362b8f42a3d8849e62cad2f220553efa11f
control,r1,classic,172013,1,9,0.1111111111111111,0,400,0,0.6439685821533203,3.1728744506835938,1db1dc8a5bfdeafc8c51537805b0961454b8ea94e07a3ed3da6cf028393dc7aa,True,0.5346059799194331,1.506805419921875,1db1dc8a5bfdeafc8c51537805b0961454b8ea94e07a3ed3da6cf028393dc7aa
control,r1,classic,172014,1,9,0.1111111111111111,1,222,0,0.7012128829956051,1.7359256744384766,337b8b61c71764654ef97ae068eb36f544fb384b60b8e14d2c4ae600192a66e7,True,0.7749199867248524,1.489877700805664,337b8b61c71764654ef97ae068eb36f544fb384b60b8e14d2c4ae600192a66e7
control,r1,classic,172015,1,9,0.1111111111111111,0,400,0,0.6921410560607908,1.8281936645507812,b984768e3138cb01b252a1ed17acc7a5af300e65a4b756a058cd9273bb7a076b,True,0.7992386817932127,3.8399696350097656,b984768e3138cb01b252a1ed17acc7a5af300e65a4b756a058cd9273bb7a076b
control,r1,classic,172016,0,9,0.0,0,400,0,0.31094551086425776,0.6051063537597656,278228172c5299b52daf160d2e1eedcf580e28d308101a313027774230614307,True,0.7361888885498045,2.346038818359375,278228172c5299b52daf160d2e1eedcf580e28d308101a313027774230614307
control,r1,classic,172017,2,9,0.2222222222222222,0,400,0,0.5171537399291974,1.1358261108398438,e49f21ffa2e4f92038bcd997c7eeccf0a65eac2872bd2145410a0ad28868c15b,True,0.8335351943969722,1.8529891967773438,e49f21ffa2e4f92038bcd997c7eeccf0a65eac2872bd2145410a0ad28868c15b
control,r1,classic,172018,3,9,0.3333333333333333,0,400,0,0.35610198974609364,0.865936279296875,13ade5d79f321602050884e1104afb538cb401a88a575187e75e299111de972a,True,0.6062150001525878,2.0041465759277344,13ade5d79f321602050884e1104afb538cb401a88a575187e75e299111de972a
control,r1,classic,172019,1,9,0.1111111111111111,0,400,0,0.3672122955322265,1.2049674987792969,b129fd1ef7971cdbfe3168530425fc7f1e16c22c53e467d01fe3873100dce816,True,0.5825519561767563,1.3082027435302734,b129fd1ef7971cdbfe3168530425fc7f1e16c22c53e467d01fe3873100dce816
control,r1,classic,172020,0,9,0.0,0,400,0,0.36650896072387623,1.138925552368164,5be64b36fc308a9b7b0c621c22963712f4dbe262073192033ddb5832944e1d6f,True,0.7919669151306145,3.448963165283203,5be64b36fc308a9b7b0c621c22963712f4dbe262073192033ddb5832944e1d6f
control,r1,classic,172021,5,9,0.5555555555555556,0,400,0,0.6471872329711911,1.6980171203613281,260ded6ddee5374ecf4c778d2d5958fc9a455fbae392c882d61498f810a36a50,True,0.42598247528076155,2.288818359375,260ded6ddee5374ecf4c778d2d5958fc9a455fbae392c882d61498f810a36a50
control,r1,classic,172022,3,9,0.3333333333333333,0,400,0,0.38514137268066395,1.4238357543945312,69355fc3bf4f5300779fe843ede5af6d6dda56d8787da515a3a0919cf44b7ae6,True,0.7971763610839843,2.84576416015625,69355fc3bf4f5300779fe843ede5af6d6dda56d8787da515a3a0919cf44b7ae6
control,r1,classic,172023,2,9,0.2222222222222222,0,400,0,0.40538311004638644,1.2469291687011719,96c1f32b6cea9ce88fed7ddadbf09ee70e6eab5e3c7be6f629957879a6511217,True,0.5442261695861815,1.97601318359375,96c1f32b6cea9ce88fed7ddadbf09ee70e6eab5e3c7be6f629957879a6511217
control,r1,classic,172024,2,9,0.2222222222222222,1,149,1,0.460672378540039,0.7841587066650391,1f9fde7d4e90ea98deb57b1d52ba3a087f37bc61359ecd93f5ccb19432974146,True,0.4842758178710936,0.9832382202148438,1f9fde7d4e90ea98deb57b1d52ba3a087f37bc61359ecd93f5ccb19432974146
control,r1,classic,172025,3,9,0.3333333333333333,0,400,1,0.9154319763183564,2.930879592895508,00b35a5879d12d4afc6c2223f5968dfb06fff661e917ce5d0e643402a3fbb112,True,0.8505105972290035,2.710103988647461,00b35a5879d12d4afc6c2223f5968dfb06fff661e917ce5d0e643402a3fbb112
control,r1,classic,172026,1,9,0.1111111111111111,0,400,0,0.6212234497070311,2.307891845703125,2e5ad87bb30b6a872fe7f5ff8ac11a78095556b1486c117736a11d81bbe80179,True,0.6665229797363278,2.599000930786133,2e5ad87bb30b6a872fe7f5ff8ac11a78095556b1486c117736a11d81bbe80179
control,r1,classic,172027,1,9,0.1111111111111111,0,400,0,0.6342411041259766,3.693103790283203,d05af8307254351755201c52974efa7dc94487be10a1a56448b966c6d3ef133a,True,0.6674170494079584,2.034902572631836,d05af8307254351755201c52974efa7dc94487be10a1a56448b966c6d3ef133a
control,r1,classic,172028,7,9,0.7777777777777778,0,400,0,0.900125503540039,2.798795700073242,e8a0742cba20e98abd95db880263224538264f8564299dbf1ee60b0cd2f4574f,True,0.841593742370605,2.6481151580810547,e8a0742cba20e98abd95db880263224538264f8564299dbf1ee60b0cd2f4574f
control,r1,classic,172029,1,9,0.1111111111111111,0,400,0,0.421023368835449,1.0759830474853516,2de541e11e4dd5dfa930ce6cc2baa46bde5c27810dc995423f7644fb1cc0123b,True,0.6189942359924316,1.641988754272461,2de541e11e4dd5dfa930ce6cc2baa46bde5c27810dc995423f7644fb1cc0123b
control,r1,classic,172030,1,9,0.1111111111111111,0,400,0,0.6140828132629393,1.750946044921875,9008162a2fcb1baf6e2f7d54a1aa9cc06d9385eafc738a09fba8b216aeb13e22,True,0.4974007606506345,1.4119148254394531,9008162a2fcb1baf6e2f7d54a1aa9cc06d9385eafc738a09fba8b216aeb13e22
control,r1,classic,172031,0,9,0.0,0,400,0,0.8257031440734854,2.7151107788085938,d419b7373b692c10fc554cbee2dda345533173b537457aa958e7b567e045a6a7,True,0.7273316383361813,4.41288948059082,d419b7373b692c10fc554cbee2dda345533173b537457aa958e7b567e045a6a7
control,r1,classic,172032,0,9,0.0,0,400,0,0.5862593650817862,1.226186752319336,dc3377a0c90213f95f9bdcab13ad3948a59ff0c306d18e44457d7e21d57c292e,True,0.34576654434204096,0.9679794311523438,dc3377a0c90213f95f9bdcab13ad3948a59ff0c306d18e44457d7e21d57c292e
control,r1,classic,172033,3,9,0.3333333333333333,0,400,0,0.7192611694335935,1.917123794555664,ba41f555003a6c9fad9987b09a502b547c64a418b3b374e60966a507ca2b247a,True,0.34786462783813477,1.3806819915771484,ba41f555003a6c9fad9987b09a502b547c64a418b3b374e60966a507ca2b247a
control,r1,classic,172034,3,9,0.3333333333333333,0,400,0,0.43927431106567266,0.9369850158691406,90670bafb37b95255e010850d5110973f9857a7a6a96c42e98bc9a1b42646604,True,0.331830978393553,1.0209083557128906,90670bafb37b95255e010850d5110973f9857a7a6a96c42e98bc9a1b42646604
control,r1,classic,172035,3,9,0.3333333333333333,0,400,0,0.6511807441711424,2.3849010467529297,7e81f579ca8d98d6e2228ce8f88a0ca0d89c7983a50cbeaedc80b0101e3d0093,True,0.7685542106628412,1.795053482055664,7e81f579ca8d98d6e2228ce8f88a0ca0d89c7983a50cbeaedc80b0101e3d0093
