treatment,model,scenario,episodes,mean_collection_fraction,mean_coins,full_clear_rate,zero_coin_rate,survival_rate,mean_survival_steps,mean_episode_steps,steps_per_coin,coins_per_100_survival_steps,coins_found,crates_destroyed,bombs_dropped,crates_per_bomb,coins_found_per_bomb,self_kills,self_kill_rate,invalid_action_rate,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_p95_ms,decision_time_max_ms
candidate,r1,classic,40,0.11944444444444444,1.075,0.0,0.45,0.95,391.325,391.325,364.0232558139535,0.2747077237590238,55,808,2019,0.4001981178801387,0.027241208519068846,2,0.05,0.02862071168466109,2914,3145,2903,2973,1631,2087,0,0.9897708892822258,4.887104034423828
candidate,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,122.725,122.725,2.4545,40.74149521287431,0,0,0,,,0,0.0,0.0012222448563862294,1273,1092,1315,1226,3,0,0,0.36859512329101546,2.0978450775146484
candidate,r1,loot-crate,40,0.191,9.55,0.0,0.075,0.75,346.3,346.3,36.261780104712045,2.7577245163153337,562,1368,1674,0.8172043010752689,0.33572281959378736,10,0.25,0.04526422177302917,2427,3173,2456,3128,853,1815,0,1.0133028030395503,8.209228515625
candidate,r2,classic,40,0.11666666666666665,1.05,0.0,0.375,0.95,382.5,382.5,364.2857142857143,0.27450980392156865,47,710,2010,0.35323383084577115,0.023383084577114428,2,0.05,0.023856209150326796,2967,2598,2888,2841,1933,2073,0,1.4438748359680116,10.48588752746582
candidate,r2,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,122.625,122.625,2.4525,40.774719673802245,0,0,9,0.0,0.0,0,0.0,0.0006116207951070336,1261,1087,1304,1231,10,12,0,0.5397319793701167,2.3212432861328125
candidate,r2,loot-crate,40,0.22749999999999998,11.375,0.0,0.05,0.95,385.325,385.325,33.87472527472527,2.952053461363784,610,1551,1630,0.9515337423312883,0.37423312883435583,2,0.05,0.022643223253098033,2789,3598,2677,3600,978,1771,0,1.1902809143066397,6.737232208251953
candidate,r3,classic,40,0.14444444444444443,1.3,0.0,0.275,0.95,383.775,383.775,295.21153846153845,0.3387401472216794,78,1045,1589,0.65764631843927,0.04908747640025173,2,0.05,0.010031919744642043,3569,2850,3571,2829,857,1675,0,0.8406996726989739,4.253864288330078
candidate,r3,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,123.05,123.05,2.461,40.633888663145065,0,0,6,0.0,0.0,0,0.0,0.0,1273,1093,1321,1223,6,6,0,1.1445283889770508,12.178897857666016
candidate,r3,loot-crate,40,0.15350000000000003,7.675,0.0,0.075,0.925,372.8,372.8,48.57328990228013,2.058744635193133,447,1097,765,1.4339869281045752,0.5843137254901961,3,0.075,0.01535675965665236,4502,2307,4539,2283,446,835,0,1.2499928474426274,6.244182586669922
candidate,r4,classic,40,0.16944444444444445,1.525,0.0,0.375,0.875,355.55,355.55,233.14754098360655,0.4289129517648713,72,1100,1739,0.6325474410580794,0.041403105232892465,5,0.125,0.030445788215440868,2954,2792,2753,2729,1123,1871,0,1.0199546813964844,4.965066909790039
candidate,r4,coin-heaven,40,0.9765,48.825,0.975,0.0,0.975,119.875,119.875,2.4551971326164876,40.72992700729927,0,0,6,0.0,0.0,1,0.025,0.0006256517205422315,1231,1081,1269,1207,1,6,0,1.0295391082763667,2.2809505462646484
candidate,r4,loot-crate,40,0.173,8.65,0.0,0.05,0.8,334.75,334.75,38.69942196531792,2.5840179238237493,505,1218,1784,0.6827354260089686,0.2830717488789238,8,0.2,0.08416728902165796,2469,2678,2448,2920,664,2211,0,1.0389447212219236,5.922079086303711
candidate,r5,classic,40,0.19444444444444445,1.75,0.0,0.225,0.9,367.075,367.075,209.75714285714287,0.4767418102567595,89,1292,1574,0.820838627700127,0.056543837357052096,4,0.1,0.011169379554586937,3307,2628,3335,2663,1078,1672,0,1.0069608688354477,14.856815338134766
candidate,r5,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,122.75,122.75,2.455,40.73319755600814,0,0,0,,,0,0.0,0.001629327902240326,1268,1098,1316,1228,0,0,0,0.7645606994628903,2.485036849975586
candidate,r5,loot-crate,40,0.16,8.0,0.0,0.025,0.775,322.2,322.2,40.275,2.4829298572315333,456,1107,1167,0.9485861182519281,0.390745501285347,9,0.225,0.06478895096213531,3286,1932,3557,2001,625,1487,0,1.195979118347168,5.40614128112793
control,r1,classic,40,0.21666666666666665,1.95,0.0,0.225,0.95,389.275,389.275,199.62820512820514,0.5009312182904117,97,1449,1904,0.7610294117647058,0.050945378151260504,2,0.05,0.04309292916318798,3512,2323,3531,2578,1313,2314,0,1.0791063308715818,5.381107330322266
control,r1,coin-heaven,40,1.0,50.0,1.0,0.0,1.0,122.725,122.725,2.4545,40.74149521287431,0,0,0,,,0,0.0,0.0012222448563862294,1273,1092,1315,1226,3,0,0,1.3197422027587882,5.240917205810547
control,r1,loot-crate,40,0.217,10.85,0.0,0.05,0.8,345.45,345.45,31.838709677419356,3.1408308004052685,619,1497,1264,1.1843354430379747,0.4897151898734177,8,0.2,0.05521783181357649,4092,1670,3927,1642,732,1755,0,0.8971929550170896,10.437965393066406
