treatment,model,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,q_table_artifact_size_bytes
control,r1,1098,724623,659.948087431694,0.061930783242258654,41732
control,r2,1083,717613,662.6158818097877,0.060941828254847646,41780
control,r3,1112,758106,681.75,0.06115107913669065,43053
control,r4,1067,731964,686.0018744142455,0.05998125585754452,40537
control,r5,1080,743381,688.3157407407407,0.06666666666666667,41393
candidate,r1,1101,735120,667.6839237057221,0.07629427792915532,41103
candidate,r2,1101,730986,663.9291553133515,0.06902815622161672,42130
candidate,r3,1070,717304,670.377570093458,0.058878504672897194,40325
candidate,r4,1085,718337,662.0617511520737,0.06175115207373272,41395
candidate,r5,1099,774488,704.7206551410374,0.056414922656960874,42450
