arm,replica,episodes,producing_source,archive_path,sha256,size_bytes
control,r1,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-control/artifacts/r1/classic-peaceful/checkpoint.pt,125b8e1511648b87d53fee060b50f9425c9ffb7e62c5c244170a7d5addaffb02,3436215
control,r2,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-control/artifacts/r2/classic-peaceful/checkpoint.pt,5a08c2a67dcdcbd95ecbb9a9b641952ada7f02eca145803eeb385def7d32f3f6,3436215
control,r3,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-control/artifacts/r3/classic-peaceful/checkpoint.pt,a3725ed1751919ebcd87d76eee08cb4b6e8347498985b7613cd7a3c693402858,3436215
control,r4,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-control/artifacts/r4/classic-peaceful/checkpoint.pt,33e06761765a4752e085effa76eb7a490a3eb1ad533ae744b765ee123f675420,3436215
control,r5,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-control/artifacts/r5/classic-peaceful/checkpoint.pt,10f507a211caa9b5da3e8f7b8b7d02ec653541b29898e95b550e2cb0dcd8844a,3436215
double,r1,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-double/artifacts/r1/classic-peaceful/checkpoint.pt,57cef5a5f83942b19e3d4eeacd12ef3d38db106ba5a786572674a38843209897,3436215
double,r2,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-double/artifacts/r2/classic-peaceful/checkpoint.pt,1613ec5dfd382ee52680fc8f99b61b9be7b925edad3a27005279195ce251353a,3436215
double,r3,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-double/artifacts/r3/classic-peaceful/checkpoint.pt,3f15d441bdcbbe7b381996adf234d241c1b2cb0072a1624f87c83fae5b4d5098,3436215
double,r4,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-double/artifacts/r4/classic-peaceful/checkpoint.pt,2e1ae4a874aa719ccc97d81700c5a2ba4d34aefe5605b65a6beaf9227b2ad4f1,3436215
double,r5,10000,6f014485a3026cc3707fa2cc3a379880dd0b74bd,campaign/plans/issue150-double/artifacts/r5/classic-peaceful/checkpoint.pt,6274e5f431ffb65728dd6a3ad0bcc4c80c5ee501285005d5e1fd208452f996cb,3436215
