arm,contrast,mean,lower,upper
control,classic-peaceful/elimination,0.06,-0.13,0.245
control,classic-peaceful/first_place,0.065,-0.085,0.215
control,classic-peaceful/score_margin,0.71,-1.075,2.49
control,classic-retention/collection,-0.04277777777777778,-0.16166666666666668,0.08556944444444424
control,classic-retention/survival,0.165,0.055,0.295
control,classic-retention/self_kill,-0.165,-0.295,-0.055
control,classic-retention/crates_destroyed,-5.955000000000001,-18.545125000000002,7.627624999999998
control,coin-heaven-retention/collection,0.2146,0.014685000000000004,0.4275
control,coin-heaven-retention/survival,0.07,0.0,0.165
control,coin-heaven-retention/self_kill,-0.07,-0.165,0.0
control,loot-crate-retention/collection,0.11199999999999999,-0.00640499999999999,0.21389999999999998
control,loot-crate-retention/survival,0.2,0.055,0.35
control,loot-crate-retention/self_kill,-0.2,-0.35,-0.055
control,loot-crate-retention/crates_destroyed,15.849999999999998,1.854062499999999,27.765062499999996
double,classic-peaceful/elimination,0.06,-0.1,0.21
double,classic-peaceful/first_place,0.04,-0.085,0.175
double,classic-peaceful/score_margin,0.78,-0.55,2.13
double,classic-retention/collection,-0.06666666666666667,-0.16722222222222224,0.03555555555555555
double,classic-retention/survival,0.17,0.06,0.3
double,classic-retention/self_kill,-0.17,-0.3,-0.06
double,classic-retention/crates_destroyed,-7.825,-18.9525625,3.6655624999999916
double,coin-heaven-retention/collection,0.09570000000000001,-0.17240750000000002,0.37880499999999995
double,coin-heaven-retention/survival,0.075,0.0,0.175
double,coin-heaven-retention/self_kill,-0.075,-0.175,0.0
double,loot-crate-retention/collection,-0.0209,-0.10170749999999999,0.05100249999999998
double,loot-crate-retention/survival,0.22,0.085,0.37
double,loot-crate-retention/self_kill,-0.22,-0.37,-0.085
double,loot-crate-retention/crates_destroyed,-1.5700000000000005,-11.0853125,6.935062499999999
