schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,opponents_eliminated,opponent_count,score_margin,first_place,tied_first,arm,replica,suite,world_seed,agent_seed,artifact_sha256
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,5,5,9,7,98,42,,0,89,400,0.2225,True,step_limit,3507b4e50c97c7d3eaed0a2af8f402b7c2fe55f7db3df32c4a3a5cebdab78b91,141,36,65,45,67,46,0,3.072023391723633,6.939804553985596,9.757757186889648,,,,,,,,,,,,,,,,0,1,5.0,1,0,reference,frozen,classic-peaceful-primary,1501101,2501101,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,6,6,9,6,64,39,,0,111,400,0.2775,True,step_limit,0fa158d4c4bcee25fa50a95bb1a2524c68f67682be9c94f7ab7126408c42f677,166,47,43,47,56,41,0,2.7315616607666016,6.831943988800046,9.415864944458008,,,,,,,,,,,,,,,,0,1,6.0,1,0,reference,frozen,classic-peaceful-primary,1501102,2501102,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,3,3,9,5,81,31,,0,3,400,0.0075,True,step_limit,75bd3395419bdb703496387473586aa183a6d1f34a216316b301d130c0da749c,38,107,47,120,55,33,0,2.0809173583984375,4.677450656890866,8.332014083862305,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-primary,1501103,2501103,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,0,0,9,0,14,57,,0,26,400,0.065,True,step_limit,aa5b94aab2d7bc0630067d836da7e9b013ddc988c289df167b397423a7feab3c,56,56,56,58,91,83,0,1.969456672668457,3.448820114135742,4.136085510253906,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1501104,2501104,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,323,6,6,9,7,73,25,,1,12,323,0.03715170278637771,False,killed,eaf4ef879a4da0f7edeeb755a3bda652fd82f17640db072d1d9199640e5b1702,110,22,100,29,34,28,0,3.1261444091796875,4.714012145996093,9.66501235961914,,,,,,,,,,,,,,,,0,1,6.0,1,0,reference,frozen,classic-peaceful-primary,1501105,2501105,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,11,6,9,6,94,54,,0,10,400,0.025,True,step_limit,f5dbb8b73b94d6cc1ba1a9a4839789b1fc439bee0b6a552507eb9441f8761185,75,59,67,65,79,55,0,3.05938720703125,7.72316455841064,11.838912963867188,,,,,,,,,,,,,,,,1,1,11.0,1,0,reference,frozen,classic-peaceful-primary,1501106,2501106,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,8,3,9,3,60,53,,0,4,400,0.01,True,step_limit,13659fe8f24df73128bb1183deaa213730e7a6c619369eb6c34660b84c70cf90,76,56,70,68,75,55,0,3.069639205932617,8.702456951141357,11.761665344238281,,,,,,,,,,,,,,,,1,1,8.0,1,0,reference,frozen,classic-peaceful-primary,1501107,2501107,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,5,5,9,6,74,38,,0,6,400,0.015,True,step_limit,d26dccf944df37d50661464930212c2befeef9d4478a2ab399398bec3be61f6b,109,32,112,47,59,41,0,2.599477767944336,6.823086738586408,9.514808654785156,,,,,,,,,,,,,,,,0,1,5.0,1,0,reference,frozen,classic-peaceful-primary,1501108,2501108,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,8,3,9,3,75,27,,0,2,400,0.005,True,step_limit,b8b0792f183d793f5ee759d116b58cb90e3ca5facd6f4799b6d75a9437702f88,22,27,35,36,252,28,0,2.3206472396850586,3.8305282592773424,8.412361145019531,,,,,,,,,,,,,,,,1,1,8.0,1,0,reference,frozen,classic-peaceful-primary,1501109,2501109,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,7,2,9,2,46,22,,0,4,400,0.01,True,step_limit,265ad356892439c5a839a09cd876dc268d2d16e100cbb334722ca97e04d8f61c,26,139,22,150,41,22,0,4.018425941467285,4.470431804656982,7.529973983764648,,,,,,,,,,,,,,,,1,1,7.0,1,0,reference,frozen,classic-peaceful-primary,1501110,2501110,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,0,0,9,0,12,5,,0,365,400,0.9125,True,step_limit,366a91dc6920e009f13a4abdebee071ead25b57183df66e3d5ad0d4e645cc7d8,371,4,7,3,10,5,0,2.559542655944824,2.9561519622802734,3.2753944396972656,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1501111,2501111,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,1,1,9,1,18,54,,0,2,400,0.005,True,step_limit,959b8519648af95057062d44ba23eec7727d94c748265fb3e178106b34e2bb31,79,56,78,54,79,54,0,2.772808074951172,6.7115068435668945,8.091211318969727,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-primary,1501112,2501112,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,4,4,9,4,71,55,,0,7,400,0.0175,True,step_limit,ab6cfb21ac86a46af4ac02ab8629936674f878cd7413f05b0069c44916bfdb8f,60,59,70,58,91,62,0,3.334522247314453,7.6122522354125906,9.61756706237793,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-primary,1501113,2501113,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,171,2,2,9,3,75,24,,1,3,171,0.017543859649122806,False,killed,57cfd3536b1bae5ad6c423683170ba7ce6de1cf6dc80ece6adbab3dddb650dd4,23,21,35,29,36,27,0,2.336740493774414,7.283210754394531,10.355472564697266,,,,,,,,,,,,,,,,0,1,2.0,1,0,reference,frozen,classic-peaceful-primary,1501114,2501114,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_1afaade584_ffb304816a,evaluation,400,400,7,7,9,7,82,51,,0,6,400,0.015,True,step_limit,118f2aa5caaa63b0fccf9139b364e6b3d55133713d51dbae0c4b6fe7686e6ce7,79,65,69,56,79,52,0,3.26693058013916,8.896625041961666,11.398077011108398,,,,,,,,,,,,,,,,0,1,7.0,1,0,reference,frozen,classic-peaceful-primary,1501115,2501115,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
