arm,gate,passed
control,elimination_absolute,False
control,elimination_improvement,False
control,first_place_absolute,True
control,first_place_improvement,False
control,score_margin_absolute,True
control,score_margin_improvement,False
control,self_kill_absolute,True
control,classic-peaceful/invalid_actions,True
control,classic-retention/collection,False
control,classic-retention/survival,True
control,classic-retention/self_kill,True
control,classic-retention/crates,False
control,classic-retention/invalid_actions,True
control,coin-heaven-retention/collection,True
control,coin-heaven-retention/survival,True
control,coin-heaven-retention/self_kill,True
control,coin-heaven-retention/invalid_actions,True
control,loot-crate-retention/collection,True
control,loot-crate-retention/survival,True
control,loot-crate-retention/self_kill,True
control,loot-crate-retention/crates,True
control,loot-crate-retention/invalid_actions,True
control,runtime,True
double,elimination_absolute,False
double,elimination_improvement,False
double,first_place_absolute,True
double,first_place_improvement,False
double,score_margin_absolute,True
double,score_margin_improvement,False
double,self_kill_absolute,True
double,classic-peaceful/invalid_actions,True
double,classic-retention/collection,False
double,classic-retention/survival,True
double,classic-retention/self_kill,True
double,classic-retention/crates,False
double,classic-retention/invalid_actions,True
double,coin-heaven-retention/collection,False
double,coin-heaven-retention/survival,True
double,coin-heaven-retention/self_kill,True
double,coin-heaven-retention/invalid_actions,True
double,loot-crate-retention/collection,False
double,loot-crate-retention/survival,True
double,loot-crate-retention/self_kill,True
double,loot-crate-retention/crates,False
double,loot-crate-retention/invalid_actions,True
double,runtime,True
double,double_minus_control_elimination,False
