arm,suite,replica,episodes,collection,elimination,self_kill,survival,score,coins_collected,crates_destroyed,bombs_dropped,survival_steps,episode_steps,opponents_eliminated,score_margin,first_place,tied_first,invalid_action_rate,decision_median_ms,decision_p95_ms,decision_max_ms
control,classic-peaceful,r1,40,0.3083333333333333,0.15,0.0,1.0,3.525,2.775,43.125,35.9,400.0,400.0,0.15,3.525,0.925,0.075,0.0,3.15701961517334,8.073842525482178,13.581037521362305
control,classic-peaceful,r2,40,0.28888888888888886,0.075,0.025,0.975,2.975,2.6,38.1,43.875,396.225,400.0,0.075,2.975,0.8,0.2,0.0,2.2764205932617188,6.799793243408201,13.344526290893555
control,classic-peaceful,r3,40,0.4305555555555555,0.375,0.05,0.95,5.75,3.875,51.925,40.2,391.0,395.725,0.375,5.75,0.8,0.2,0.0,2.514958381652832,7.468557357788084,15.175104141235352
control,classic-peaceful,r4,40,0.42777777777777776,0.125,0.125,0.875,4.475,3.85,57.45,30.75,383.1,394.875,0.125,4.425,0.95,0.05,6.525711302531976e-05,3.4265518188476562,7.185852527618405,18.416166305541992
control,classic-peaceful,r5,40,0.5444444444444445,0.45,0.05,0.95,7.15,4.9,71.75,40.625,388.475,397.475,0.45,7.125,0.975,0.025,0.00012870841109466504,3.3609867095947266,8.277225494384762,13.01121711730957
control,classic-retention,r1,40,0.28055555555555556,0.0,0.0,1.0,2.525,2.525,32.9,30.325,400.0,400.0,0.0,,,,0.0,2.701997756958008,6.855607032775877,11.256217956542969
control,classic-retention,r2,40,0.24722222222222223,0.0,0.0,1.0,2.225,2.225,30.75,53.85,400.0,400.0,0.0,,,,0.0,2.0208358764648438,4.8346757888793945,9.881258010864258
control,classic-retention,r3,40,0.38055555555555554,0.0,0.025,0.975,3.425,3.425,50.1,32.075,393.525,393.525,0.0,,,,0.0,3.136157989501953,6.249666213989258,11.014699935913086
control,classic-retention,r4,40,0.24444444444444446,0.0,0.0,1.0,2.2,2.2,34.825,41.6,400.0,400.0,0.0,,,,0.0,2.384185791015625,6.056547164916992,11.076688766479492
control,classic-retention,r5,40,0.49444444444444446,0.0,0.025,0.975,4.45,4.45,61.5,29.8,392.8,392.8,0.0,,,,0.0,3.6667585372924805,8.720719814300537,12.859582901000977
control,coin-heaven-retention,r1,40,0.7805000000000001,0.0,0.0,1.0,39.025,39.025,0.0,10.975,280.45,280.45,0.0,,,,0.0,7.032155990600586,12.08503246307373,15.877008438110352
control,coin-heaven-retention,r2,40,0.908,0.0,0.025,0.975,45.4,45.4,0.0,15.75,207.175,207.175,0.0,,,,0.0,4.927396774291992,11.486387252807617,14.116048812866211
control,coin-heaven-retention,r3,40,0.43600000000000005,0.0,0.0,1.0,21.8,21.8,0.0,5.925,374.3,374.3,0.0,,,,0.0,5.719542503356934,8.08134078979492,13.346672058105469
control,coin-heaven-retention,r4,40,0.4715000000000001,0.0,0.0,1.0,23.575,23.575,0.0,11.125,361.325,361.325,0.0,,,,0.0,5.7468414306640625,11.579751968383789,15.95449447631836
control,coin-heaven-retention,r5,40,0.3945,0.0,0.0,1.0,19.725,19.725,0.0,7.275,394.625,394.625,0.0,,,,0.0,5.97381591796875,11.348247528076172,16.957521438598633
control,loot-crate-retention,r1,40,0.418,0.0,0.0,1.0,20.9,20.9,56.65,30.55,400.0,400.0,0.0,,,,0.0,3.0412673950195312,8.45029354095459,12.366294860839844
control,loot-crate-retention,r2,40,0.43949999999999995,0.0,0.125,0.875,21.975,21.975,58.275,36.3,369.275,369.275,0.0,,,,0.0,2.4766921997070312,6.148934364318848,11.365890502929688
control,loot-crate-retention,r3,40,0.367,0.0,0.0,1.0,18.35,18.35,51.85,28.425,400.0,400.0,0.0,,,,0.0,2.916097640991211,6.7293047904968235,12.443304061889648
control,loot-crate-retention,r4,40,0.164,0.0,0.025,0.975,8.2,8.2,26.15,10.025,393.3,393.3,0.0,,,,0.0,1.9114017486572266,5.721282958984374,11.056900024414062
control,loot-crate-retention,r5,40,0.364,0.0,0.1,0.9,18.2,18.2,49.9,24.175,382.475,382.475,0.0,,,,0.0,3.1104087829589844,7.49657154083251,11.813163757324219
double,classic-peaceful,r1,40,0.38055555555555554,0.225,0.0,1.0,4.55,3.425,53.975,35.1,400.0,400.0,0.225,4.55,0.875,0.125,0.0,3.1845569610595703,7.538700103759764,12.425422668457031
double,classic-peaceful,r2,40,0.425,0.275,0.05,0.95,5.2,3.825,56.2,28.65,388.325,394.45,0.275,5.15,0.825,0.175,6.437906392841049e-05,2.7751922607421875,7.882595062255858,13.66281509399414
double,classic-peaceful,r3,40,0.41944444444444445,0.275,0.05,0.95,5.15,3.775,56.875,33.7,388.75,400.0,0.275,5.15,0.9,0.1,0.0,3.1206607818603516,9.18889045715332,12.380599975585938
double,classic-peaceful,r4,40,0.3833333333333333,0.2,0.05,0.95,4.45,3.45,51.125,29.9,393.65,400.0,0.2,4.45,0.875,0.125,0.00012701638511367967,3.2889842987060547,7.502079010009766,12.705564498901367
double,classic-peaceful,r5,40,0.42777777777777776,0.2,0.075,0.925,4.85,3.85,59.825,33.725,389.475,396.225,0.2,4.85,0.85,0.15,0.00012837794466910585,3.1592845916748047,8.491110801696776,19.238948822021484
double,classic-retention,r1,40,0.3472222222222222,0.0,0.025,0.975,3.125,3.125,42.15,25.9,390.875,390.875,0.0,,,,0.0,3.275156021118164,7.532167434692382,16.51763916015625
double,classic-retention,r2,40,0.29166666666666663,0.0,0.0,1.0,2.625,2.625,38.575,27.25,400.0,400.0,0.0,,,,0.0,2.918720245361328,8.22210311889648,13.059854507446289
double,classic-retention,r3,40,0.23055555555555557,0.0,0.0,1.0,2.075,2.075,29.975,19.925,400.0,400.0,0.0,,,,0.0,3.2564401626586914,7.238495349884031,12.150287628173828
double,classic-retention,r4,40,0.25833333333333336,0.0,0.0,1.0,2.325,2.325,35.225,18.65,400.0,400.0,0.0,,,,0.0,2.7889013290405273,5.884957313537597,11.138677597045898
double,classic-retention,r5,40,0.4,0.0,0.0,1.0,3.6,3.6,54.8,34.3,400.0,400.0,0.0,,,,0.0,2.8249025344848633,6.4282774925231925,13.410568237304688
double,coin-heaven-retention,r1,40,0.10800000000000001,0.0,0.0,1.0,5.4,5.4,0.0,1.05,400.0,400.0,0.0,,,,0.0,5.252599716186523,10.249614715576172,17.327547073364258
double,coin-heaven-retention,r2,40,0.9285,0.0,0.0,1.0,46.425,46.425,0.0,13.175,240.85,240.85,0.0,,,,0.0,5.252957344055176,11.08059883117676,13.614654541015625
double,coin-heaven-retention,r3,40,0.679,0.0,0.0,1.0,33.95,33.95,0.0,32.95,363.75,363.75,0.0,,,,0.0,5.034804344177246,9.60867404937744,14.021158218383789
double,coin-heaven-retention,r4,40,0.22400000000000003,0.0,0.0,1.0,11.2,11.2,0.0,3.4,400.0,400.0,0.0,,,,0.0,5.308389663696289,7.036221027374268,13.622522354125977
double,coin-heaven-retention,r5,40,0.45649999999999996,0.0,0.0,1.0,22.825,22.825,0.0,3.2,393.875,393.875,0.0,,,,0.0,7.053136825561523,11.775374412536621,19.603729248046875
double,loot-crate-retention,r1,40,0.18850000000000003,0.0,0.025,0.975,9.425,9.425,27.75,12.3,393.475,393.475,0.0,,,,0.0,2.413511276245117,5.443739891052243,10.082244873046875
double,loot-crate-retention,r2,40,0.23600000000000004,0.0,0.0,1.0,11.8,11.8,32.775,16.675,400.0,400.0,0.0,,,,0.0,2.5739669799804688,5.7332634925842285,12.199640274047852
