arm,suite,episodes,collection,elimination,self_kill,survival,score,coins_collected,crates_destroyed,bombs_dropped,survival_steps,episode_steps,opponents_eliminated,score_margin,first_place,tied_first,invalid_action_rate,decision_median_ms,decision_p95_ms,decision_max_ms
control,classic-peaceful,200,0.4,0.235,0.05,0.95,4.775,3.6,52.47,38.27,391.76,397.615,0.235,4.76,0.89,0.11,3.828874821319175e-05,2.9445886611938477,7.502424716949462,18.416166305541992
reference,classic-peaceful,40,0.35277777777777775,0.175,0.2,0.8,4.05,3.175,51.225,32.875,346.725,400.0,0.175,4.05,0.825,0.175,0.11731199077078376,2.549409866333008,6.592082977294914,11.867284774780273
control,classic-retention,200,0.32944444444444443,0.0,0.01,0.99,2.965,2.965,42.015,37.53,397.265,397.265,0.0,,,,0.0,2.7086734771728516,7.154321670532225,12.859582901000977
reference,classic-retention,40,0.37222222222222223,0.0,0.175,0.825,3.35,3.35,53.3,36.225,349.275,349.275,0.0,,,,0.04058406699592012,2.6602745056152344,6.753087043762207,11.74306869506836
control,coin-heaven-retention,200,0.5981000000000001,0.0,0.005,0.995,29.905,29.905,0.0,10.21,323.575,323.575,0.0,,,,0.0,6.035327911376953,11.52689456939697,16.957521438598633
reference,coin-heaven-retention,40,0.3835,0.0,0.075,0.925,19.175,19.175,0.0,5.3,364.125,364.125,0.0,,,,0.6306213525575008,5.831241607666016,10.083723068237303,14.27912712097168
control,loot-crate-retention,200,0.3505,0.0,0.05,0.95,17.525,17.525,48.565,25.895,389.01,389.01,0.0,,,,0.0,2.639293670654297,7.1729898452758745,12.443304061889648
reference,loot-crate-retention,40,0.23850000000000002,0.0,0.25,0.75,11.925,11.925,36.35,14.45,327.925,327.925,0.0,,,,0.2817717465883967,2.4530887603759766,6.019163131713867,10.844945907592773
double,classic-peaceful,200,0.40722222222222215,0.235,0.045,0.955,4.84,3.665,55.6,32.215,392.04,398.135,0.235,4.83,0.865,0.135,6.376900316294256e-05,3.113269805908203,8.172821998596188,19.238948822021484
double,classic-retention,200,0.3055555555555556,0.0,0.005,0.995,2.75,2.75,40.145,25.205,398.175,398.175,0.0,,,,0.0,3.0210018157958984,7.282638549804689,16.51763916015625
double,coin-heaven-retention,200,0.4792,0.0,0.0,1.0,23.96,23.96,0.0,10.755,359.695,359.695,0.0,,,,0.0,5.598306655883789,10.931777954101559,19.603729248046875
double,loot-crate-retention,200,0.21760000000000004,0.0,0.03,0.97,10.88,10.88,31.145,13.865,391.805,391.805,0.0,,,,0.0,2.3949146270751953,5.753278732299805,13.189554214477539
