arm,gate,passed
control,elimination_absolute,false
control,elimination_improvement,false
control,first_place_absolute,true
control,first_place_improvement,false
control,score_margin_absolute,true
control,score_margin_improvement,false
control,self_kill_absolute,false
control,classic-peaceful/invalid_actions,false
control,classic-retention/collection,false
control,classic-retention/survival,true
control,classic-retention/self_kill,true
control,classic-retention/crates,false
control,classic-retention/invalid_actions,false
control,coin-heaven-retention/collection,false
control,coin-heaven-retention/survival,true
control,coin-heaven-retention/self_kill,true
control,coin-heaven-retention/invalid_actions,false
control,loot-crate-retention/collection,false
control,loot-crate-retention/survival,false
control,loot-crate-retention/self_kill,false
control,loot-crate-retention/crates,false
control,loot-crate-retention/invalid_actions,false
control,runtime,true
masked,elimination_absolute,false
masked,elimination_improvement,false
masked,first_place_absolute,true
masked,first_place_improvement,false
masked,score_margin_absolute,true
masked,score_margin_improvement,false
masked,self_kill_absolute,true
masked,classic-peaceful/invalid_actions,true
masked,classic-retention/collection,false
masked,classic-retention/survival,true
masked,classic-retention/self_kill,true
masked,classic-retention/crates,false
masked,classic-retention/invalid_actions,true
masked,coin-heaven-retention/collection,false
masked,coin-heaven-retention/survival,true
masked,coin-heaven-retention/self_kill,true
masked,coin-heaven-retention/invalid_actions,true
masked,loot-crate-retention/collection,false
masked,loot-crate-retention/survival,true
masked,loot-crate-retention/self_kill,true
masked,loot-crate-retention/crates,false
masked,loot-crate-retention/invalid_actions,true
masked,runtime,true
masked-minus-control,elimination_benefit,false
