arm,suite,replica,episodes,collection,elimination,self_kill,survival,score,coins_collected,crates_destroyed,bombs_dropped,survival_steps,episode_steps,opponents_eliminated,score_margin,first_place,tied_first,invalid_action_rate,decision_median_ms,decision_p95_ms,decision_max_ms
control,classic-peaceful,aggregate,200,0.3222222222222222,0.18,0.105,0.895,3.8,2.9,43.99,31.96,371.28,398.15,0.18,3.785,0.845,0.155,0.088383430295195,2.8568506240844727,7.0686936378479,13.109922409057617
control,classic-peaceful,r1,40,0.35277777777777775,0.15,0.2,0.8,3.925,3.175,44.325,27.75,347.65,400.0,0.15,3.925,0.85,0.15,0.10434344887099094,3.0606985092163086,6.859719753265381,13.109922409057617
control,classic-peaceful,r2,40,0.4,0.275,0.075,0.925,4.975,3.6,52.075,43.675,379.875,393.05,0.275,4.975,0.95,0.05,0.06594274432379071,2.7441978454589844,6.68959617614746,11.131525039672852
control,classic-peaceful,r3,40,0.24722222222222223,0.125,0.15,0.85,2.85,2.225,36.35,26.875,355.625,400.0,0.125,2.85,0.9,0.1,0.03240773286467487,3.1266212463378906,7.252883911132811,10.582685470581055
control,classic-peaceful,r4,40,0.3583333333333333,0.25,0.075,0.925,4.475,3.225,49.3,27.95,382.1,397.7,0.25,4.425,0.775,0.225,0.18751635697461397,2.854585647583008,7.276999950408933,12.680530548095703
control,classic-peaceful,r5,40,0.25277777777777777,0.1,0.025,0.975,2.775,2.275,37.9,33.55,391.15,400.0,0.1,2.75,0.75,0.25,0.05004473986961524,2.701997756958008,6.9991350173950195,12.686014175415039
reference,classic-peaceful,frozen,40,0.3416666666666667,0.2,0.35,0.65,4.075,3.075,47.75,30.925,309.4,395.0,0.2,4.075,0.85,0.15,0.05914673561732385,2.5777816772460938,6.47813081741333,12.400150299072266
control,classic-retention,aggregate,200,0.24222222222222223,0.0,0.025,0.975,2.18,2.18,34.945,34.44,393.335,393.335,0.0,,,,0.1296477557298486,2.5124549865722656,6.092476844787597,14.123916625976562
control,classic-retention,r1,40,0.22777777777777777,0.0,0.0,1.0,2.05,2.05,34.175,37.95,400.0,400.0,0.0,,,,0.296625,1.8306970596313477,6.054246425628661,11.08551025390625
control,classic-retention,r2,40,0.2861111111111111,0.0,0.0,1.0,2.575,2.575,35.525,28.4,400.0,400.0,0.0,,,,0.0069375,2.7233362197875977,5.755460262298583,12.05587387084961
control,classic-retention,r3,40,0.24444444444444446,0.0,0.05,0.95,2.2,2.2,36.1,37.3,386.475,386.475,0.0,,,,0.04909761304094702,2.605915069580078,7.840228080749511,14.123916625976562
control,classic-retention,r4,40,0.2166666666666667,0.0,0.05,0.95,1.95,1.95,33.875,17.95,384.15,384.15,0.0,,,,0.229142262137186,2.8820037841796875,5.984365940093994,9.836912155151367
control,classic-retention,r5,40,0.23611111111111108,0.0,0.025,0.975,2.125,2.125,35.05,50.6,396.05,396.05,0.0,,,,0.06703699027900517,2.1440982818603516,4.91533279418945,11.452674865722656
reference,classic-retention,frozen,40,0.3111111111111111,0.0,0.225,0.775,2.8,2.8,43.8,28.9,330.475,330.475,0.0,,,,0.12315606324230274,2.5675296783447266,6.402754783630371,12.508392333984375
control,coin-heaven-retention,aggregate,200,0.3746,0.0,0.0,1.0,18.73,18.73,0.0,2.475,376.835,376.835,0.0,,,,0.3174068226146722,6.181240081787109,11.562585830688477,19.637584686279297
control,coin-heaven-retention,r1,40,0.4245,0.0,0.0,1.0,21.225,21.225,0.0,2.775,380.75,380.75,0.0,,,,0.5964543663821406,6.301283836364746,11.422073841094967,19.6225643157959
control,coin-heaven-retention,r2,40,0.176,0.0,0.0,1.0,8.8,8.8,0.0,0.2,400.0,400.0,0.0,,,,0.4764375,5.300402641296387,11.003088951110838,15.777349472045898
control,coin-heaven-retention,r3,40,0.35350000000000004,0.0,0.0,1.0,17.675,17.675,0.0,1.625,400.0,400.0,0.0,,,,0.1540625,6.325721740722656,11.792898178100586,19.637584686279297
control,coin-heaven-retention,r4,40,0.125,0.0,0.0,1.0,6.25,6.25,0.0,0.225,400.0,400.0,0.0,,,,0.2914375,6.179928779602051,11.497795581817623,18.889904022216797
control,coin-heaven-retention,r5,40,0.794,0.0,0.0,1.0,39.7,39.7,0.0,7.55,303.425,303.425,0.0,,,,0.007168163467084123,6.408214569091797,11.670780181884764,19.25039291381836
reference,coin-heaven-retention,frozen,40,0.40199999999999997,0.0,0.025,0.975,20.1,20.1,0.0,5.2,386.725,386.725,0.0,,,,0.6390199754347404,6.307840347290039,11.464262008666992,18.78809928894043
control,loot-crate-retention,aggregate,200,0.19250000000000003,0.0,0.175,0.825,9.625,9.625,29.025,15.63,349.65,349.65,0.0,,,,0.258958958958959,2.011418342590332,4.86341714859009,11.967182159423828
control,loot-crate-retention,r1,40,0.3055,0.0,0.35,0.65,15.275,15.275,43.15,20.375,310.3,310.3,0.0,,,,0.3559458588462778,1.5944242477416992,5.571722984313962,11.934995651245117
control,loot-crate-retention,r2,40,0.19449999999999998,0.0,0.1,0.9,9.725,9.725,30.1,13.65,368.825,368.825,0.0,,,,0.11658645699179827,1.9409656524658203,4.569101333618164,9.915351867675781
control,loot-crate-retention,r3,40,0.154,0.0,0.075,0.925,7.7,7.7,23.0,11.5,376.225,376.225,0.0,,,,0.07163266662236693,2.230405807495117,5.443716049194334,10.951757431030273
control,loot-crate-retention,r4,40,0.10650000000000001,0.0,0.1,0.9,5.325,5.325,17.975,12.9,363.8,363.8,0.0,,,,0.4354040681693238,2.0761489868164062,4.551517963409424,9.841442108154297
control,loot-crate-retention,r5,40,0.20199999999999996,0.0,0.25,0.75,10.1,10.1,30.9,19.725,329.1,329.1,0.0,,,,0.3461713764813127,2.02023983001709,4.746258258819578,11.967182159423828
reference,loot-crate-retention,frozen,40,0.2205,0.0,0.275,0.725,11.025,11.025,33.6,14.85,322.625,322.625,0.0,,,,0.15234405269275475,1.9598007202148438,5.052042007446282,10.840177536010742
masked,classic-peaceful,aggregate,200,0.38,0.21,0.035,0.965,4.47,3.42,51.87,29.765,393.025,395.445,0.21,4.465,0.855,0.145,3.816551109980281e-05,3.102540969848633,7.404232025146486,14.268875122070312
masked,classic-peaceful,r1,40,0.48611111111111105,0.45,0.05,0.95,6.625,4.375,66.525,43.45,387.65,387.675,0.45,6.625,0.9,0.1,6.449116471043467e-05,2.8166770935058594,7.669329643249512,14.268875122070312
masked,classic-peaceful,r2,40,0.5055555555555555,0.35,0.0,1.0,6.3,4.55,63.975,35.1,400.0,400.0,0.35,6.3,0.95,0.05,0.0,3.199338912963867,7.452976703643799,14.028549194335938
masked,classic-peaceful,r3,40,0.2833333333333333,0.1,0.05,0.95,3.05,2.55,41.05,23.575,388.05,400.0,0.1,3.05,0.825,0.175,6.442468754026543e-05,3.224611282348633,6.915283203124999,11.955022811889648
masked,classic-peaceful,r4,40,0.225,0.025,0.025,0.975,2.15,2.025,33.6,17.475,395.45,395.45,0.025,2.125,0.775,0.225,0.0,3.8172006607055664,7.641434669494628,12.633085250854492
masked,classic-peaceful,r5,40,0.4,0.125,0.05,0.95,4.225,3.6,54.2,29.225,393.975,394.1,0.125,4.225,0.825,0.175,6.345580303318739e-05,2.884387969970703,7.056140899658198,12.880802154541016
masked,classic-retention,aggregate,200,0.23,0.0,0.005,0.995,2.07,2.07,32.705,23.525,398.31,398.31,0.0,,,,0.0,2.531290054321289,6.835663318634031,12.797355651855469
masked,classic-retention,r1,40,0.27222222222222225,0.0,0.025,0.975,2.45,2.45,36.675,25.9,391.55,391.55,0.0,,,,0.0,2.3888349533081055,5.963325500488281,10.985851287841797
masked,classic-retention,r2,40,0.24166666666666664,0.0,0.0,1.0,2.175,2.175,36.075,20.9,400.0,400.0,0.0,,,,0.0,2.7577877044677734,8.00812244415283,12.115478515625
masked,classic-retention,r3,40,0.3194444444444445,0.0,0.0,1.0,2.875,2.875,44.2,31.85,400.0,400.0,0.0,,,,0.0,3.0846595764160156,8.358025550842285,12.797355651855469
masked,classic-retention,r4,40,0.11666666666666665,0.0,0.0,1.0,1.05,1.05,20.125,24.475,400.0,400.0,0.0,,,,0.0,2.0983219146728516,4.955780506134033,9.726285934448242
masked,classic-retention,r5,40,0.2,0.0,0.0,1.0,1.8,1.8,26.45,14.5,400.0,400.0,0.0,,,,0.0,2.5064945220947266,5.513238906860351,10.111093521118164
