suite,artifact,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
classic-peaceful,reference,4.2,1,0.35555555555555557,3.2,53.4,0.2,1,400,0,0,37.2
classic-peaceful,stepwise-r1,1.8,0.8,0.19999999999999998,1.8,17,0,0.8,338.6,0.2,0,16.2
classic-peaceful,episode_mixture-r1,2.4,1,0.26666666666666666,2.4,30.4,0,1,400,0,0,52.8
classic-peaceful,stepwise-r2,3,1,0.2222222222222222,2,28.2,0.2,0.8,353.2,0.2,0,38.6
classic-peaceful,episode_mixture-r2,5.4,1,0.4888888888888889,4.4,60,0.2,0.8,353.2,0.2,0,47.6
classic-peaceful,stepwise-r3,2.6,0.6,0.17777777777777776,1.6,27.6,0.2,1,400,0,0,28.6
classic-peaceful,episode_mixture-r3,5.8,1,0.4222222222222222,3.8,56.6,0.4,0.6,279.8,0.4,0,35.2
coin-heaven,reference,44,0,0.88,44,0,0,1,195.4,0,0,6.6
coin-heaven,stepwise-r1,10.8,0,0.216,10.8,0,0,1,400,0,0,1.6
coin-heaven,episode_mixture-r1,23.6,0,0.47200000000000003,23.6,0,0,0.6,199.4,0.4,0,3.6
coin-heaven,stepwise-r2,18.6,0,0.372,18.6,0,0,0.8,338.4,0.2,0,4
coin-heaven,episode_mixture-r2,33.2,0,0.664,33.2,0,0,1,289.2,0,0,4.2
coin-heaven,stepwise-r3,7.4,0,0.14800000000000002,7.4,0,0,1,400,0,0,0.6
coin-heaven,episode_mixture-r3,50,0,1.0,50,0,0,1,155.4,0,0,14.2
loot-crate,reference,6.6,0,0.132,6.6,26.8,0,0.4,218.8,0.6,0,12
loot-crate,stepwise-r1,7,0,0.14,7,23.2,0,0.4,185.2,0.6,0,8.4
loot-crate,episode_mixture-r1,7.2,0,0.14400000000000002,7.2,28,0,0.4,227,0.6,0,10.8
loot-crate,stepwise-r2,6.6,0,0.132,6.6,24.4,0,0.4,199.4,0.6,0,11.4
loot-crate,episode_mixture-r2,6.8,0,0.136,6.8,24.4,0,0.8,329.2,0.2,0,19.8
loot-crate,stepwise-r3,2.4,0,0.048,2.4,15.8,0,0.8,330.2,0.2,0,6.2
loot-crate,episode_mixture-r3,8,0,0.16,8,29.4,0,0.4,212.8,0.6,0,11.8
classic-empty,reference,3.6,0,0.39999999999999997,3.6,57,0,1,400,0,0,42.4
classic-empty,stepwise-r1,1.4,0,0.15555555555555556,1.4,24.2,0,1,400,0,0,9.4
classic-empty,episode_mixture-r1,2.4,0,0.26666666666666666,2.4,35.4,0,0.6,306,0.4,0,15
classic-empty,stepwise-r2,0.6,0,0.06666666666666667,0.6,19.2,0,0.8,325.4,0.2,0,36.4
classic-empty,episode_mixture-r2,4.2,0,0.4666666666666667,4.2,59.6,0,1,400,0,0,50.8
classic-empty,stepwise-r3,0.6,0,0.06666666666666667,0.6,18,0,0.8,325.4,0.2,0,27.4
classic-empty,episode_mixture-r3,2.2,0,0.24444444444444444,2.2,48.2,0,0.6,264.2,0.4,0,35.6
