artifact,suite,world_seed,repeat,agent_seed,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions,actions_sha256
reference,classic-peaceful,5973401,0,6973401,0,0,0.0,0,0,0,1,400,0,0,0,2c98cb549ba8c5312c532da67cc4c60bc3db7a0c376a72eae4e60c24ad94208d
reference,classic-peaceful,5973402,0,6973402,4,1,0.4444444444444444,4,42,0,0,110,1,0,15,f3d85cd3ddc7f5186de29110722b118d0b659aff4eb4835c357fa0a3bfd8b2d2
reference,classic-peaceful,5973403,0,6973403,4,1,0.4444444444444444,4,69,0,0,267,1,0,34,2b2c82404b4c14f1fd101893c05ed73f81202e39cecaac556291ad69b231bc19
reference,classic-peaceful,5973404,0,6973404,14,1,1.0,9,105,1,1,400,0,0,53,67d4c6a2662d9fba9792bf6155b48f4f8f7a83055f0123b8d5f4da9065e2a7f8
reference,classic-peaceful,5973405,0,6973405,0,0,0.0,0,7,0,1,400,0,0,3,31ee4c2b27e65ca9031d5ff371957c1e8cf54939397895dfc8a7dc9bee9dfb48
reference,classic-peaceful,5973406,0,6973406,0,0,0.0,0,0,0,1,400,0,0,0,2c98cb549ba8c5312c532da67cc4c60bc3db7a0c376a72eae4e60c24ad94208d
reference,classic-peaceful,5973407,0,6973407,5,1,0.5555555555555556,5,69,0,0,295,1,0,39,3be1436c54db8732b4365e867df50bc4a87b8b796a5a40f50c036ec9e61f7625
reference,classic-peaceful,5973408,0,6973408,1,1,0.1111111111111111,1,13,0,0,29,1,0,4,623ded93bb921b6ea4a48631a9787c93fcd0eb0cc0cd5ddb8f4019f8f3c2fbc5
reference,classic-peaceful,5973409,0,6973409,1,1,0.1111111111111111,1,25,0,0,106,1,0,15,4a656e83d403a776e19c76bee474e7f8f034a457a458fa847b7b3ed9de160aba
reference,classic-peaceful,5973410,0,6973410,6,1,0.6666666666666666,6,87,0,1,400,0,0,52,5aa2963053ac5e522b29afe5d1c73853acb554bfcfc9fc45d7afe9fe8bc2fc91
reference,classic-peaceful,5973411,0,6973411,4,1,0.4444444444444444,4,70,0,1,400,0,0,52,b0fe5c12787b3aac8d8dc7c972730f699267f47847a83c7962e0c4e1b40d286f
reference,classic-peaceful,5973412,0,6973412,0,0,0.0,0,7,0,1,400,0,0,3,e4619cca2ac43c89cf9fbf09d4d46aa8156d53bed08e15f98ed7e96fb858c775
