suite,contrast,metric,mean_difference,descriptive_95_lower,descriptive_95_upper
classic-peaceful,treatment-minus-control,score,-0.4,-4.666666666666667,3.2
classic-peaceful,treatment-minus-control,strict_win,-0.2,-0.6,0.13333333333333333
classic-peaceful,treatment-minus-control,collection_fraction,0.029629629629629634,-0.28888888888888886,0.2814814814814815
classic-peaceful,treatment-minus-control,coins,0.26666666666666666,-2.6,2.533333333333333
classic-peaceful,treatment-minus-control,crates,-1.8666666666666667,-38.53333333333333,29.333333333333332
classic-peaceful,treatment-minus-control,eliminations,-0.13333333333333333,-0.5333333333333333,0.26666666666666666
classic-peaceful,treatment-minus-control,survived,0,-0.6,0.4666666666666667
classic-peaceful,treatment-minus-control,survival_steps,8.866666666666667,-148.4,145.2
classic-peaceful,treatment-minus-control,self_kills,0,-0.5333333333333333,0.6
classic-peaceful,treatment-minus-control,invalid_actions,-0.06666666666666667,-0.26666666666666666,0
classic-peaceful,treatment-minus-control,bomb_actions,4.066666666666666,-17.2,25
classic-peaceful,treatment-minus-reference,score,0.4,-3.066666666666667,4.533333333333333
classic-peaceful,treatment-minus-reference,strict_win,-0.2,-0.6666666666666666,0.3333333333333333
classic-peaceful,treatment-minus-reference,collection_fraction,-0.02962962962962964,-0.3407407407407408,0.28888888888888886
classic-peaceful,treatment-minus-reference,coins,-0.26666666666666666,-3.066666666666667,2.6
classic-peaceful,treatment-minus-reference,crates,5.933333333333334,-25.6,36.93333333333333
classic-peaceful,treatment-minus-reference,eliminations,0.13333333333333333,0,0.4
classic-peaceful,treatment-minus-reference,survived,0.13333333333333333,-0.26666666666666666,0.6
classic-peaceful,treatment-minus-reference,survival_steps,55.86666666666667,-103,197.8
classic-peaceful,treatment-minus-reference,self_kills,-0.13333333333333333,-0.6,0.26666666666666666
classic-peaceful,treatment-minus-reference,invalid_actions,0,0,0
classic-peaceful,treatment-minus-reference,bomb_actions,4.4,-22.2,30.8
coin-heaven,treatment-minus-control,score,3.4,-18.733333333333334,28.6
coin-heaven,treatment-minus-control,strict_win,0,0,0
coin-heaven,treatment-minus-control,collection_fraction,0.06799999999999999,-0.3746666666666667,0.572
coin-heaven,treatment-minus-control,coins,3.4,-18.733333333333334,28.6
coin-heaven,treatment-minus-control,crates,0,0,0
coin-heaven,treatment-minus-control,eliminations,0,0,0
coin-heaven,treatment-minus-control,survived,0,0,0
coin-heaven,treatment-minus-control,survival_steps,-45.2,-230.2,101.6
coin-heaven,treatment-minus-control,self_kills,0,0,0
coin-heaven,treatment-minus-control,invalid_actions,0,0,0
coin-heaven,treatment-minus-control,bomb_actions,-0.4,-9.333333333333334,8.4
coin-heaven,treatment-minus-reference,score,12.6,-4.133333333333334,38.2
coin-heaven,treatment-minus-reference,strict_win,0,0,0
coin-heaven,treatment-minus-reference,collection_fraction,0.252,-0.08266666666666668,0.764
coin-heaven,treatment-minus-reference,coins,12.6,-4.133333333333334,38.2
coin-heaven,treatment-minus-reference,crates,0,0,0
coin-heaven,treatment-minus-reference,eliminations,0,0,0
coin-heaven,treatment-minus-reference,survived,0.2,0,0.6
coin-heaven,treatment-minus-reference,survival_steps,-4.8,-158.66666666666666,147.2
coin-heaven,treatment-minus-reference,self_kills,-0.2,-0.6,0
coin-heaven,treatment-minus-reference,invalid_actions,0,0,0
coin-heaven,treatment-minus-reference,bomb_actions,3.6666666666666665,-0.4666666666666667,10.6
loot-crate,treatment-minus-control,score,-2.6,-11.266666666666667,4.266666666666667
loot-crate,treatment-minus-control,strict_win,0,0,0
loot-crate,treatment-minus-control,collection_fraction,-0.052000000000000005,-0.22533333333333333,0.08533333333333333
loot-crate,treatment-minus-control,coins,-2.6,-11.266666666666667,4.266666666666667
loot-crate,treatment-minus-control,crates,-2.533333333333333,-23.266666666666666,16.4
loot-crate,treatment-minus-control,eliminations,0,0,0
loot-crate,treatment-minus-control,survived,0,-0.5333333333333333,0.6
loot-crate,treatment-minus-control,survival_steps,-11.2,-197.26666666666668,174.8
loot-crate,treatment-minus-control,self_kills,0,-0.6,0.5333333333333333
loot-crate,treatment-minus-control,invalid_actions,0,0,0
loot-crate,treatment-minus-control,bomb_actions,-1.6,-11.533333333333333,5.333333333333333
loot-crate,treatment-minus-reference,score,-7.066666666666666,-17,4.266666666666667
loot-crate,treatment-minus-reference,strict_win,0,0,0
loot-crate,treatment-minus-reference,collection_fraction,-0.14133333333333334,-0.33999999999999997,0.08533333333333334
loot-crate,treatment-minus-reference,coins,-7.066666666666666,-17,4.266666666666667
loot-crate,treatment-minus-reference,crates,-13.733333333333333,-38,13.2
loot-crate,treatment-minus-reference,eliminations,0,0,0
loot-crate,treatment-minus-reference,survived,0,-0.5333333333333333,0.4666666666666667
loot-crate,treatment-minus-reference,survival_steps,-4.466666666666667,-167.8,125.6
loot-crate,treatment-minus-reference,self_kills,0,-0.4666666666666667,0.5333333333333333
loot-crate,treatment-minus-reference,invalid_actions,0,0,0
loot-crate,treatment-minus-reference,bomb_actions,-5.266666666666667,-13,2.8666666666666667
classic-empty,treatment-minus-control,score,0.26666666666666666,-1.5333333333333334,1.6
classic-empty,treatment-minus-control,strict_win,0,0,0
classic-empty,treatment-minus-control,collection_fraction,0.029629629629629634,-0.17037037037037037,0.17777777777777778
classic-empty,treatment-minus-control,coins,0.26666666666666666,-1.5333333333333334,1.6
classic-empty,treatment-minus-control,crates,9.133333333333333,-19.4,26.866666666666667
classic-empty,treatment-minus-control,eliminations,0,0,0
classic-empty,treatment-minus-control,survived,-0.06666666666666667,-0.4,0.2
classic-empty,treatment-minus-control,survival_steps,-24.266666666666666,-151.6,75.8
classic-empty,treatment-minus-control,self_kills,0.06666666666666667,-0.2,0.4
classic-empty,treatment-minus-control,invalid_actions,0,0,0
classic-empty,treatment-minus-control,bomb_actions,4.2,-19.4,25.866666666666667
classic-empty,treatment-minus-reference,score,-0.8,-4.4,2.8666666666666667
classic-empty,treatment-minus-reference,strict_win,0,0,0
classic-empty,treatment-minus-reference,collection_fraction,-0.08888888888888886,-0.4888888888888889,0.31851851851851853
classic-empty,treatment-minus-reference,coins,-0.8,-4.4,2.8666666666666667
classic-empty,treatment-minus-reference,crates,-6.933333333333334,-55.6,43.93333333333333
classic-empty,treatment-minus-reference,eliminations,0,0,0
classic-empty,treatment-minus-reference,survived,-0.2,-0.6,0
classic-empty,treatment-minus-reference,survival_steps,-71.06666666666666,-213.2,0
classic-empty,treatment-minus-reference,self_kills,0.2,0,0.6
classic-empty,treatment-minus-reference,invalid_actions,0,0,0
classic-empty,treatment-minus-reference,bomb_actions,2.8666666666666667,-20.4,25.6
