stage,job,world_seed,agent_seed,repeat,behavior_epsilon,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
training,control-r1,1931301001,3931301,,1.0,0,0,0.0,0,2,0,0,7,1,0,1
training,control-r1,1931301002,3931301,,0.0,1,1,0.1111111111111111,1,37,0,0,149,1,0,20
training,control-r1,1931301003,3931301,,0.0,1,1,0.1111111111111111,1,39,0,0,95,1,0,13
training,control-r1,1931301004,3931301,,0.0,12,1,0.7777777777777778,7,90,1,1,400,0,0,52
training,control-r1,1931301005,3931301,,0.0,8,1,0.8888888888888888,8,97,0,1,400,0,0,52
training,control-r1,1931301006,3931301,,0.0,6,1,0.1111111111111111,1,14,1,0,103,1,0,6
training,control-r1,1931301007,3931301,,1.0,0,0,0.0,0,10,0,0,39,1,0,4
training,control-r1,1931301008,3931301,,0.0,7,1,0.2222222222222222,2,47,1,0,153,1,0,17
training,control-r1,1931301009,3931301,,0.0,11,1,0.6666666666666666,6,78,1,1,400,0,0,43
training,control-r1,1931301010,3931301,,0.0,1,1,0.1111111111111111,1,17,0,0,85,1,0,11
training,control-r1,1931301011,3931301,,0.0,11,1,0.6666666666666666,6,75,1,1,400,0,0,44
training,control-r1,1931301012,3931301,,0.0,4,1,0.4444444444444444,4,72,0,1,400,0,0,49
training,control-r1,1931301013,3931301,,0.0,12,1,0.7777777777777778,7,82,1,1,400,0,0,52
training,control-r1,1931301014,3931301,,0.0,11,1,0.6666666666666666,6,92,1,1,400,0,0,53
training,control-r1,1931301015,3931301,,1.0,0,0,0.0,0,5,0,0,21,1,0,2
training,control-r1,1931301016,3931301,,0.0,4,1,0.4444444444444444,4,72,0,1,400,0,0,31
training,control-r1,1931301017,3931301,,0.0,11,1,0.6666666666666666,6,70,1,1,400,0,0,47
training,control-r1,1931301018,3931301,,0.0,4,1,0.4444444444444444,4,46,0,0,181,1,0,24
training,control-r1,1931301019,3931301,,0.0,6,1,0.6666666666666666,6,84,0,1,400,0,0,50
training,control-r1,1931301020,3931301,,1.0,0,0,0.0,0,1,0,0,6,1,0,1
training,control-r1,1931301021,3931301,,0.0,5,1,0.5555555555555556,5,44,0,1,400,0,0,19
training,control-r1,1931301022,3931301,,0.0,12,1,0.7777777777777778,7,95,1,1,400,0,0,43
training,control-r1,1931301023,3931301,,0.0,4,1,0.4444444444444444,4,63,0,1,400,0,0,29
training,control-r1,1931301024,3931301,,1.0,0,0,0.0,0,4,0,0,5,1,0,1
training,control-r1,1931301025,3931301,,0.0,12,1,0.7777777777777778,7,102,1,1,400,0,0,52
training,control-r1,1931301026,3931301,,0.0,0,0,0.0,0,12,0,1,400,0,0,5
training,control-r1,1931301027,3931301,,0.0,3,1,0.3333333333333333,3,25,0,0,81,1,0,10
