suite,artifact,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
classic-peaceful,reference,3,0.8,0.3333333333333333,3,39,0,0.6,285.6,0.4,0,28.2
classic-peaceful,control-r1,4,1,0.3333333333333333,3,54.6,0.2,0.6,286.8,0.4,0,27.8
classic-peaceful,treatment-r1,3.6,0.6,0.28888888888888886,2.6,44.4,0.2,1,400,0,0,40.2
classic-peaceful,control-r2,4.8,0.8,0.3111111111111111,2.8,49.2,0.4,0.6,311,0.4,0.2,34.6
classic-peaceful,treatment-r2,2.2,0.6,0.24444444444444444,2.2,37.4,0,0.6,250,0.4,0,27.2
classic-peaceful,control-r3,2.6,0.6,0.17777777777777776,1.6,36.6,0.2,1,400,0,0,23.2
classic-peaceful,treatment-r3,4.4,0.6,0.37777777777777777,3.4,53,0.2,0.6,374.4,0.4,0,30.4
coin-heaven,reference,10.2,0,0.20400000000000001,10.2,0,0,0.8,326.4,0.2,0,0.8
coin-heaven,control-r1,19.2,0,0.384,19.2,0,0,1,400,0,0,10.8
coin-heaven,treatment-r1,50,0,1.0,50,0,0,1,164.8,0,0,12
coin-heaven,control-r2,27,0,0.54,27,0,0,1,300.4,0,0,3.8
coin-heaven,treatment-r2,11.4,0,0.228,11.4,0,0,1,400,0,0,0.4
coin-heaven,control-r3,12,0,0.24,12,0,0,1,400,0,0,0
coin-heaven,treatment-r3,7,0,0.13999999999999999,7,0,0,1,400,0,0,1
loot-crate,reference,15.2,0,0.304,15.2,40.2,0,0.6,282.4,0.4,0,15.2
loot-crate,control-r1,15.4,0,0.308,15.4,42.2,0,0.6,312.6,0.4,0,17
loot-crate,treatment-r1,6.6,0,0.132,6.6,23.4,0,0.4,181.4,0.6,0,8.8
loot-crate,control-r2,15,0,0.3,15,37.8,0,0.4,222,0.6,0,15.2
loot-crate,treatment-r2,14.2,0,0.284,14.2,41.8,0,0.6,328.8,0.4,0,14.6
loot-crate,control-r3,1.8,0,0.036,1.8,7,0,0.8,332.8,0.2,0,2.4
loot-crate,treatment-r3,3.6,0,0.07200000000000001,3.6,14.2,0,0.8,323.6,0.2,0,6.4
classic-empty,reference,4.2,0,0.4666666666666666,4.2,59,0,1,400,0,0,32.2
classic-empty,control-r1,2,0,0.2222222222222222,2,30.8,0,0.8,335.4,0.2,0,32.2
classic-empty,treatment-r1,1.8,0,0.19999999999999998,1.8,27.2,0,0.6,262.6,0.4,0,27
classic-empty,control-r2,4,0,0.4444444444444444,4,51.4,0,0.8,324.2,0.2,0,36
classic-empty,treatment-r2,5.4,0,0.6,5.4,76.2,0,1,400,0,0,47.4
classic-empty,control-r3,3.4,0,0.37777777777777777,3.4,46.6,0,1,400,0,0,24.4
classic-empty,treatment-r3,3,0,0.3333333333333333,3,52.8,0,0.8,324.2,0.2,0,30.8
