suite,arm,replicas,primary_episodes,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
classic-peaceful,reference,1,5,3,0.8,0.3333333333333333,3,39,0,0.6,285.6,0.4,0,28.2
classic-peaceful,control,3,15,3.8,0.8,0.2740740740740741,2.466666666666667,46.800000000000004,0.26666666666666666,0.7333333333333333,332.6,0.26666666666666666,0.06666666666666667,28.533333333333335
classic-peaceful,treatment,3,15,3.4000000000000004,0.6,0.3037037037037037,2.7333333333333334,44.93333333333333,0.13333333333333333,0.7333333333333333,341.46666666666664,0.26666666666666666,0,32.6
coin-heaven,reference,1,5,10.2,0,0.20400000000000001,10.2,0,0,0.8,326.4,0.2,0,0.8
coin-heaven,control,3,15,19.4,0,0.388,19.4,0,0,1,366.8,0,0,4.866666666666667
coin-heaven,treatment,3,15,22.8,0,0.456,22.8,0,0,1,321.6,0,0,4.466666666666667
loot-crate,reference,1,5,15.2,0,0.304,15.2,40.2,0,0.6,282.4,0.4,0,15.2
loot-crate,control,3,15,10.733333333333334,0,0.21466666666666667,10.733333333333334,29.0,0,0.6,289.1333333333333,0.4,0,11.533333333333333
loot-crate,treatment,3,15,8.133333333333333,0,0.16266666666666665,8.133333333333333,26.466666666666665,0,0.6,277.93333333333334,0.4,0,9.933333333333334
classic-empty,reference,1,5,4.2,0,0.4666666666666666,4.2,59,0,1,400,0,0,32.2
classic-empty,control,3,15,3.1333333333333333,0,0.34814814814814815,3.1333333333333333,42.93333333333334,0,0.8666666666666667,353.2,0.13333333333333333,0,30.866666666666667
classic-empty,treatment,3,15,3.4000000000000004,0,0.37777777777777777,3.4000000000000004,52.06666666666666,0,0.8,328.93333333333334,0.2,0,35.06666666666666
