arm,contrast,mean,lower,upper
control,classic-peaceful/elimination,-0.09,-0.26,0.06
control,classic-peaceful/first_place,-0.14,-0.31,0.02
control,classic-peaceful/score_margin,-1.64,-2.98,-0.29
control,classic-retention/collection,-0.11444444444444446,-0.23555555555555557,-0.007777777777777779
control,classic-retention/survival,0.28,0.1,0.49
control,classic-retention/self_kill,-0.28,-0.49,-0.1
control,classic-retention/crates_destroyed,-6.8400000000000025,-19.270250000000004,5.435624999999989
control,coin-heaven-retention/collection,-0.0926,-0.30500999999999995,0.12639999999999996
control,coin-heaven-retention/survival,0.1,0.0,0.25
control,coin-heaven-retention/self_kill,-0.1,-0.25,0.0
control,loot-crate-retention/collection,-0.19060000000000002,-0.30461,-0.08300000000000002
control,loot-crate-retention/survival,0.43,0.21,0.65
control,loot-crate-retention/self_kill,-0.43,-0.65,-0.21
control,loot-crate-retention/crates_destroyed,-20.825000000000003,-32.910000000000004,-9.299875000000002
neutral,classic-peaceful/elimination,-0.09,-0.26,0.06
neutral,classic-peaceful/first_place,-0.14,-0.31,0.02
neutral,classic-peaceful/score_margin,-1.64,-2.98,-0.29
neutral,classic-retention/collection,-0.11444444444444446,-0.23555555555555557,-0.007777777777777779
neutral,classic-retention/survival,0.28,0.1,0.49
neutral,classic-retention/self_kill,-0.28,-0.49,-0.1
neutral,classic-retention/crates_destroyed,-6.8400000000000025,-19.270250000000004,5.435624999999989
neutral,coin-heaven-retention/collection,-0.0926,-0.30500999999999995,0.12639999999999996
neutral,coin-heaven-retention/survival,0.1,0.0,0.25
neutral,coin-heaven-retention/self_kill,-0.1,-0.25,0.0
neutral,loot-crate-retention/collection,-0.19060000000000002,-0.30461,-0.08300000000000002
neutral,loot-crate-retention/survival,0.43,0.21,0.65
neutral,loot-crate-retention/self_kill,-0.43,-0.65,-0.21
neutral,loot-crate-retention/crates_destroyed,-20.825000000000003,-32.910000000000004,-9.299875000000002
