schema_version,round,agent,mode,episode_steps,survival_steps,score,coins_collected,initially_available_coins,coins_found,crates_destroyed,bombs_dropped,useful_bombs,self_kills,invalid_actions,attempted_actions,invalid_action_rate,survived,termination_reason,executed_action_sequence_sha256,action_up,action_right,action_down,action_left,action_wait,action_bomb,action_unknown,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,shaped_reward,epsilon,q_table_size,total_state_visits,mean_visits_per_state,singleton_state_fraction,evaluation_decisions,evaluation_unseen_decisions,evaluation_unseen_state_rate,replay_size,update_count,mean_loss,mean_abs_td_error,target_synchronizations,episode_target_synchronizations,opponents_eliminated,opponent_count,score_margin,first_place,tied_first,arm,replica,suite,world_seed,agent_seed,artifact_sha256
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,4,4,9,4,67,55,,0,7,400,0.0175,True,step_limit,25f35656ecead0d25393bee02c75d0c62d0b149e6f9048f4229fbb47a4f9efd7,55,62,68,59,95,61,0,5.382776260375977,11.629474163055416,18.746137619018555,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-primary,1631101,2631101,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,5,5,9,6,65,36,,0,2,400,0.005,True,step_limit,865d5d4997c290ecd06702946ed5fad5098ccf63bbdfe4badfdcc6ec650bb70b,116,35,106,46,61,36,0,5.121827125549316,9.36560630798338,15.647172927856445,,,,,,,,,,,,,,,,0,1,5.0,1,0,reference,frozen,classic-peaceful-primary,1631102,2631102,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,1,1,9,1,35,55,,0,1,400,0.0025,True,step_limit,77f5686fa071f7a8e67525d9ae26e14e0d776b6ae9e68b4371b56d459a48d9d4,63,60,62,59,101,55,0,5.36656379699707,12.434637546539294,14.227867126464844,,,,,,,,,,,,,,,,0,1,1.0,1,0,reference,frozen,classic-peaceful-primary,1631103,2631103,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,5,5,9,6,86,53,,0,6,400,0.015,True,step_limit,9d583f3ec8d8c8ef813000f911fd713d3831bb939bf8d4890b5c92ed1cc5872a,70,61,64,67,79,59,0,6.039142608642578,15.001845359802234,19.51456069946289,,,,,,,,,,,,,,,,0,1,5.0,1,0,reference,frozen,classic-peaceful-primary,1631104,2631104,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,0,0,9,0,0,0,,0,0,400,0.0,True,step_limit,868af88dd5c07040cd7792f609ea0a2881a121ba06feea67a096e0e58f5aa111,0,0,1,0,399,0,0,0.9952783584594727,1.1855483055114737,2.0003318786621094,,,,,,,,,,,,,,,,0,1,0.0,0,1,reference,frozen,classic-peaceful-primary,1631105,2631105,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,11,6,9,6,69,40,,0,4,400,0.01,True,step_limit,1ec0613bbfcb2cd6266f0a7304a3ff337f240ccf931e409a7981b58af2f39650,44,47,57,41,168,43,0,3.899216651916504,11.403250694274902,16.270875930786133,,,,,,,,,,,,,,,,1,1,11.0,1,0,reference,frozen,classic-peaceful-primary,1631106,2631106,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,3,3,9,3,32,16,,0,3,400,0.0075,True,step_limit,fc79ac766cf69af9e3b06ce1585aead874ab566bdc8eef58acba71cd97cb2ed2,22,21,21,17,302,17,0,4.3659210205078125,5.825352668762206,12.218713760375977,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-primary,1631107,2631107,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,400,6,6,9,6,99,53,,0,6,400,0.015,True,step_limit,119c32f039da61c43c433f9ca16e001782eab28b6e5df2da64893c0fdbc39fb5,66,56,76,54,90,58,0,5.335330963134766,13.638937473297112,18.427133560180664,,,,,,,,,,,,,,,,0,1,6.0,1,0,reference,frozen,classic-peaceful-primary,1631108,2631108,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,159,4,4,9,4,39,21,,1,3,159,0.018867924528301886,False,killed,9e77cba3c230b7527d091352d96245b3da068bfefe0f266c201adfaff9a6044e,36,22,22,23,33,23,0,3.5440921783447266,10.541629791259764,12.915849685668945,,,,,,,,,,,,,,,,0,1,4.0,1,0,reference,frozen,classic-peaceful-primary,1631109,2631109,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
1,1,_run_plan_ce0782dcea_ffb304816a,evaluation,400,135,3,3,9,4,56,18,,1,2,135,0.014814814814814815,False,killed,b96789fa95f8ac91b2c511316f7c690ab81beec971aad1c3548d5fabd51f5904,17,14,29,20,35,20,0,2.9692649841308594,8.362650871276854,13.872861862182617,,,,,,,,,,,,,,,,0,1,3.0,1,0,reference,frozen,classic-peaceful-primary,1631110,2631110,c0b6081acf5a733258005d46b9430f3ef50e403470a3bb5428661729f9aeedf7
