arm,gate,passed
control,elimination_absolute,False
control,elimination_improvement,False
control,first_place_absolute,True
control,first_place_improvement,False
control,score_margin_absolute,True
control,score_margin_improvement,False
control,self_kill_absolute,True
control,classic-peaceful/invalid_actions,True
control,classic-retention/collection,False
control,classic-retention/survival,True
control,classic-retention/self_kill,True
control,classic-retention/crates,False
control,classic-retention/invalid_actions,True
control,coin-heaven-retention/collection,False
control,coin-heaven-retention/survival,True
control,coin-heaven-retention/self_kill,True
control,coin-heaven-retention/invalid_actions,True
control,loot-crate-retention/collection,False
control,loot-crate-retention/survival,True
control,loot-crate-retention/self_kill,True
control,loot-crate-retention/crates,False
control,loot-crate-retention/invalid_actions,True
control,runtime,False
neutral,elimination_absolute,False
neutral,elimination_improvement,False
neutral,first_place_absolute,True
neutral,first_place_improvement,False
neutral,score_margin_absolute,True
neutral,score_margin_improvement,False
neutral,self_kill_absolute,True
neutral,classic-peaceful/invalid_actions,True
neutral,classic-retention/collection,False
neutral,classic-retention/survival,True
neutral,classic-retention/self_kill,True
neutral,classic-retention/crates,False
neutral,classic-retention/invalid_actions,True
neutral,coin-heaven-retention/collection,False
neutral,coin-heaven-retention/survival,True
neutral,coin-heaven-retention/self_kill,True
neutral,coin-heaven-retention/invalid_actions,True
neutral,loot-crate-retention/collection,False
neutral,loot-crate-retention/survival,True
neutral,loot-crate-retention/self_kill,True
neutral,loot-crate-retention/crates,False
neutral,loot-crate-retention/invalid_actions,True
neutral,runtime,True
neutral,treatment_benefit,False
all,deterministic_repeats,False
all,original_campaign_wall,False
