arm,suite,replica,episodes,collection,elimination,self_kill,survival,score,coins_collected,crates_destroyed,bombs_dropped,survival_steps,episode_steps,opponents_eliminated,score_margin,first_place,tied_first,invalid_action_rate,decision_median_ms,decision_p95_ms,decision_max_ms
control,classic-peaceful,r1,20,0.2944444444444444,0.15,0.1,0.9,3.4,2.65,39.45,25.6,373.0,373.05,0.15,3.4,0.85,0.15,0.00013404825737265417,5.025625228881836,13.814747333526608,29.070615768432617
control,classic-peaceful,r2,20,0.23888888888888885,0.1,0.0,1.0,2.65,2.15,36.65,25.65,400.0,400.0,0.1,2.65,0.8,0.2,0.0,5.257964134216309,13.387727737426758,27.951717376708984
control,classic-peaceful,r3,20,0.23888888888888885,0.05,0.0,1.0,2.4,2.15,37.85,33.15,400.0,400.0,0.05,2.4,0.75,0.25,0.0,5.116105079650879,11.927425861358639,27.6336669921875
control,classic-peaceful,r4,20,0.25,0.1,0.1,0.9,2.75,2.25,38.65,28.7,377.55,388.9,0.1,2.75,0.75,0.25,0.0,5.55109977722168,14.229059219360352,23.88739585876465
control,classic-peaceful,r5,20,0.17777777777777778,0.15,0.0,1.0,2.35,1.6,29.0,12.9,400.0,400.0,0.15,2.35,0.65,0.35,0.0,6.617903709411621,13.106215000152583,27.95243263244629
control,classic-retention,r1,20,0.12222222222222223,0.0,0.0,1.0,1.1,1.1,19.45,9.2,400.0,400.0,0.0,,,,0.0,5.243062973022461,12.035334110259999,25.092601776123047
control,classic-retention,r2,20,0.16111111111111115,0.0,0.05,0.95,1.45,1.45,33.75,18.9,384.6,384.6,0.0,,,,0.0,6.157875061035156,16.296827793121334,26.480436325073242
control,classic-retention,r3,20,0.18888888888888888,0.0,0.0,1.0,1.7,1.7,30.15,15.45,400.0,400.0,0.0,,,,0.0,4.957914352416992,11.657929420471177,25.56324005126953
control,classic-retention,r4,20,0.18333333333333335,0.0,0.05,0.95,1.65,1.65,37.8,30.5,382.8,382.8,0.0,,,,0.0,5.520462989807129,16.85410737991333,29.541730880737305
control,classic-retention,r5,20,0.13333333333333336,0.0,0.0,1.0,1.2,1.2,23.75,13.35,400.0,400.0,0.0,,,,0.0,5.529522895812988,12.059068679809565,23.71668815612793
control,coin-heaven-retention,r1,20,0.29100000000000004,0.0,0.0,1.0,14.55,14.55,0.0,4.8,400.0,400.0,0.0,,,,0.0,10.539889335632324,19.534075260162343,31.302928924560547
control,coin-heaven-retention,r2,20,0.41,0.0,0.0,1.0,20.5,20.5,0.0,5.65,400.0,400.0,0.0,,,,0.0,11.092424392700195,23.09278249740598,35.84933280944824
control,coin-heaven-retention,r3,20,0.066,0.0,0.0,1.0,3.3,3.3,0.0,0.2,400.0,400.0,0.0,,,,0.0,8.756160736083984,13.990914821624756,27.431011199951172
control,coin-heaven-retention,r4,20,0.5360000000000001,0.0,0.0,1.0,26.8,26.8,0.0,8.95,377.85,377.85,0.0,,,,0.0,8.994579315185547,20.030117034912106,34.655094146728516
control,coin-heaven-retention,r5,20,0.5640000000000001,0.0,0.0,1.0,28.2,28.2,0.0,4.8,375.45,375.45,0.0,,,,0.0,9.785175323486328,18.062162399291992,34.38162803649902
control,loot-crate-retention,r1,20,0.134,0.0,0.05,0.95,6.7,6.7,21.9,9.55,383.6,383.6,0.0,,,,0.0,3.4672021865844727,11.907041072845459,19.143342971801758
control,loot-crate-retention,r2,20,0.096,0.0,0.0,1.0,4.8,4.8,16.95,9.3,400.0,400.0,0.0,,,,0.0,4.445433616638184,9.17754173278808,20.99895477294922
control,loot-crate-retention,r3,20,0.07400000000000002,0.0,0.0,1.0,3.7,3.7,12.4,5.15,400.0,400.0,0.0,,,,0.0,3.452777862548828,8.02476406097412,15.129804611206055
control,loot-crate-retention,r4,20,0.08299999999999999,0.0,0.05,0.95,4.15,4.15,14.8,9.1,385.35,385.35,0.0,,,,0.0,3.7012100219726562,7.227587699890137,19.29759979248047
control,loot-crate-retention,r5,20,0.045000000000000005,0.0,0.0,1.0,2.25,2.25,10.5,6.6,400.0,400.0,0.0,,,,0.0,3.4923553466796875,6.706607341766356,12.718439102172852
neutral,classic-peaceful,r1,20,0.2944444444444444,0.15,0.1,0.9,3.4,2.65,39.45,25.6,373.0,373.05,0.15,3.4,0.85,0.15,0.00013404825737265417,5.132317543029785,14.059805870056152,27.832508087158203
neutral,classic-peaceful,r2,20,0.23888888888888885,0.1,0.0,1.0,2.65,2.15,36.65,25.65,400.0,400.0,0.1,2.65,0.8,0.2,0.0,5.224466323852539,13.573515415191645,27.24170684814453
neutral,classic-peaceful,r3,20,0.23888888888888885,0.05,0.0,1.0,2.4,2.15,37.85,33.15,400.0,400.0,0.05,2.4,0.75,0.25,0.0,5.101323127746582,12.313473224639877,26.375293731689453
neutral,classic-peaceful,r4,20,0.25,0.1,0.1,0.9,2.75,2.25,38.65,28.7,377.55,388.9,0.1,2.75,0.75,0.25,0.0,5.5446624755859375,14.308691024780273,25.027990341186523
neutral,classic-peaceful,r5,20,0.17777777777777778,0.15,0.0,1.0,2.35,1.6,29.0,12.9,400.0,400.0,0.15,2.35,0.65,0.35,0.0,6.697535514831543,13.205587863922116,28.420448303222656
neutral,classic-retention,r1,20,0.12222222222222223,0.0,0.0,1.0,1.1,1.1,19.45,9.2,400.0,400.0,0.0,,,,0.0,5.217313766479492,12.417757511138902,25.323152542114258
neutral,classic-retention,r2,20,0.16111111111111115,0.0,0.05,0.95,1.45,1.45,33.75,18.9,384.6,384.6,0.0,,,,0.0,6.156206130981445,17.01176166534424,26.55959129333496
neutral,classic-retention,r3,20,0.18888888888888888,0.0,0.0,1.0,1.7,1.7,30.15,15.45,400.0,400.0,0.0,,,,0.0,4.891633987426758,12.021672725677478,25.959491729736328
neutral,classic-retention,r4,20,0.18333333333333335,0.0,0.05,0.95,1.65,1.65,37.8,30.5,382.8,382.8,0.0,,,,0.0,5.5512189865112305,17.046093940734863,29.319286346435547
neutral,classic-retention,r5,20,0.13333333333333336,0.0,0.0,1.0,1.2,1.2,23.75,13.35,400.0,400.0,0.0,,,,0.0,5.479216575622559,12.903165817260735,23.956298828125
neutral,coin-heaven-retention,r1,20,0.29100000000000004,0.0,0.0,1.0,14.55,14.55,0.0,4.8,400.0,400.0,0.0,,,,0.0,10.526418685913086,20.220863819122272,31.621217727661133
neutral,coin-heaven-retention,r2,20,0.41,0.0,0.0,1.0,20.5,20.5,0.0,5.65,400.0,400.0,0.0,,,,0.0,11.259675025939941,24.73441362380981,35.173654556274414
neutral,coin-heaven-retention,r3,20,0.066,0.0,0.0,1.0,3.3,3.3,0.0,0.2,400.0,400.0,0.0,,,,0.0,8.785486221313477,14.121091365814205,32.330989837646484
neutral,coin-heaven-retention,r4,20,0.5360000000000001,0.0,0.0,1.0,26.8,26.8,0.0,8.95,377.85,377.85,0.0,,,,0.0,9.041547775268555,20.783281326293938,31.900644302368164
neutral,coin-heaven-retention,r5,20,0.5640000000000001,0.0,0.0,1.0,28.2,28.2,0.0,4.8,375.45,375.45,0.0,,,,0.0,10.208368301391602,18.092060089111328,33.32829475402832
neutral,loot-crate-retention,r1,20,0.134,0.0,0.05,0.95,6.7,6.7,21.9,9.55,383.6,383.6,0.0,,,,0.0,3.4650564193725586,12.231767177581787,19.67310905456543
neutral,loot-crate-retention,r2,20,0.096,0.0,0.0,1.0,4.8,4.8,16.95,9.3,400.0,400.0,0.0,,,,0.0,4.453778266906738,9.09358263015747,22.770166397094727
neutral,loot-crate-retention,r3,20,0.07400000000000002,0.0,0.0,1.0,3.7,3.7,12.4,5.15,400.0,400.0,0.0,,,,0.0,3.3725500106811523,8.26402902603149,15.527486801147461
neutral,loot-crate-retention,r4,20,0.08299999999999999,0.0,0.05,0.95,4.15,4.15,14.8,9.1,385.35,385.35,0.0,,,,0.0,3.632783889770508,7.451534271240233,18.522024154663086
neutral,loot-crate-retention,r5,20,0.045000000000000005,0.0,0.0,1.0,2.25,2.25,10.5,6.6,400.0,400.0,0.0,,,,0.0,3.456592559814453,7.219135761260985,12.934684753417969
