arm,suite,episodes,collection,elimination,self_kill,survival,score,coins_collected,crates_destroyed,bombs_dropped,survival_steps,episode_steps,opponents_eliminated,score_margin,first_place,tied_first,invalid_action_rate,decision_median_ms,decision_p95_ms,decision_max_ms
control,classic-peaceful,100,0.23999999999999996,0.11,0.04,0.96,2.71,2.16,36.32,25.2,390.11,392.39,0.11,2.71,0.76,0.24,2.5633795596113916e-05,5.4607391357421875,13.563275337219238,29.070615768432617
reference,classic-peaceful,20,0.37222222222222223,0.2,0.15,0.85,4.35,3.35,47.2,34.25,358.45,383.75,0.2,4.35,0.9,0.1,0.010880178546519738,4.282712936401367,11.144590377807614,28.43928337097168
control,classic-retention,100,0.15777777777777777,0.0,0.02,0.98,1.42,1.42,28.98,17.48,393.48,393.48,0.0,,,,0.0,5.368590354919434,14.151954650878908,29.541730880737305
reference,classic-retention,20,0.27222222222222225,0.0,0.3,0.7,2.45,2.45,39.8,23.95,314.45,314.45,0.0,,,,0.10033391636190174,4.009246826171875,11.91020011901855,27.0383358001709
control,coin-heaven-retention,100,0.3734,0.0,0.0,1.0,18.67,18.67,0.0,4.88,390.66,390.66,0.0,,,,0.0,9.54127311706543,19.5692777633667,35.84933280944824
reference,coin-heaven-retention,20,0.466,0.0,0.1,0.9,23.3,23.3,0.0,5.15,344.3,344.3,0.0,,,,0.3767063607319198,10.049819946289062,20.52140235900879,34.46650505065918
control,loot-crate-retention,100,0.08639999999999999,0.0,0.02,0.98,4.32,4.32,15.31,7.94,393.79,393.79,0.0,,,,0.0,3.635883331298828,8.905935287475586,20.99895477294922
reference,loot-crate-retention,20,0.277,0.0,0.45,0.55,13.85,13.85,40.15,16.0,285.15,285.15,0.0,,,,0.20585656671927055,4.070758819580078,10.375547409057617,23.542404174804688
neutral,classic-peaceful,100,0.23999999999999996,0.11,0.04,0.96,2.71,2.16,36.32,25.2,390.11,392.39,0.11,2.71,0.76,0.24,2.5633795596113916e-05,5.450963973999023,13.69476318359375,28.420448303222656
neutral,classic-retention,100,0.15777777777777777,0.0,0.02,0.98,1.42,1.42,28.98,17.48,393.48,393.48,0.0,,,,0.0,5.349874496459961,14.446628093719484,29.319286346435547
neutral,coin-heaven-retention,100,0.3734,0.0,0.0,1.0,18.67,18.67,0.0,4.88,390.66,390.66,0.0,,,,0.0,9.800195693969727,20.012855529785156,35.173654556274414
neutral,loot-crate-retention,100,0.08639999999999999,0.0,0.02,0.98,4.32,4.32,15.31,7.94,393.79,393.79,0.0,,,,0.0,3.6067962646484375,8.941197395324707,22.770166397094727
