artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,4.241666666666666,0.8083333333333333,0.3509259259259259,0.21666666666666667,0.7166666666666667,0.2833333333333333,0.016666666666666666,0.4282512036601332,15.760173796000727
control-r1,2.7583333333333333,0.75,0.23703703703703702,0.125,0.875,0.125,0.008333333333333333,0.7293121527689154,16.656431615454988
control-r2,2.025,0.625,0.20185185185185184,0.041666666666666664,0.8166666666666667,0.18333333333333332,0,0.3574356102811318,17.76788615953684
control-r3,1.2083333333333333,0.5416666666666666,0.11574074074074074,0.03333333333333333,0.9083333333333333,0.09166666666666666,0,0.09902482269503546,18.97104565083557
control-r4,3.408333333333333,0.775,0.26296296296296295,0.20833333333333334,0.825,0.175,0.016666666666666666,0.4279500471813931,16.033248574319362
control-r5,1.5666666666666667,0.65,0.16944444444444443,0.008333333333333333,0.8666666666666667,0.13333333333333333,0,0.0125,17.91887838962534
high-r1,2.9916666666666667,0.7333333333333333,0.21666666666666665,0.20833333333333334,0.7666666666666667,0.23333333333333334,0.03333333333333333,1.310269858216618,14.909140484806375
high-r2,1.6083333333333334,0.5416666666666666,0.1324074074074074,0.08333333333333333,0.875,0.125,0.025,0.19908896286265954,17.274312060927027
high-r3,1.025,0.45,0.09537037037037037,0.03333333333333333,0.875,0.125,0,0.05029761904761905,18.599567633185895
high-r4,2.4916666666666667,0.6166666666666667,0.1935185185185185,0.15,0.8083333333333333,0.19166666666666668,0.058333333333333334,0.3283106386367256,16.45109332749126
high-r5,1.525,0.575,0.1509259259259259,0.03333333333333333,0.85,0.15,0,0.04923245614035088,18.020830355905886
low-r1,3.2083333333333335,0.7083333333333334,0.23148148148148148,0.225,0.7583333333333333,0.24166666666666667,0.025,0.554840726463097,15.955351308992912
low-r2,2.7916666666666665,0.6333333333333333,0.2175925925925926,0.16666666666666666,0.8,0.2,0.008333333333333333,0.296736783069958,16.665459882152845
low-r3,1.9166666666666667,0.6583333333333333,0.16666666666666666,0.08333333333333333,0.7833333333333333,0.21666666666666667,0.016666666666666666,0.15257987867975728,17.997764860803873
low-r4,2.716666666666667,0.7166666666666667,0.20462962962962963,0.175,0.8083333333333333,0.19166666666666668,0.008333333333333333,0.3854131945999877,16.330930790454282
low-r5,3.5166666666666666,0.7583333333333333,0.27499999999999997,0.20833333333333334,0.8666666666666667,0.13333333333333333,0.03333333333333333,0.33532509157509155,15.94221371165778
