artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,3.95,0.725,0.3277777777777778,0.2,0.725,0.275,0.025,0.475,14.719919074837472
control-r1,3.75,0.675,0.25,0.3,0.8,0.2,0.025,0.7800908197761223,14.402368411871011
control-r10,2.425,0.7,0.21388888888888888,0.1,0.8,0.2,0,0.12471590909090909,16.967173737946766
control-r2,1.275,0.5,0.14166666666666666,0,0.8,0.2,0,0.0,17.036849436070202
control-r3,4.125,0.8,0.2777777777777778,0.325,0.8,0.2,0.025,0.3125,14.34021327054684
control-r4,3.2,0.675,0.23055555555555554,0.225,0.75,0.25,0.025,0.5356893542757417,14.695392968441803
control-r5,2.2,0.725,0.20277777777777778,0.075,0.75,0.25,0.025,0.4214558703581614,14.402126638581752
control-r6,2.55,0.675,0.19999999999999998,0.15,0.675,0.325,0.025,0.2901350963850964,16.02950914887266
control-r7,3.025,0.7,0.23888888888888887,0.175,0.55,0.45,0.05,0.5855648464946597,14.996934845857567
control-r8,4.25,0.75,0.2916666666666667,0.325,0.55,0.45,0.025,0.8177904083418251,13.779019267295096
control-r9,3.35,0.625,0.23333333333333334,0.25,0.8,0.2,0,0.3934807317601212,15.094762071561455
treatment-r1,3.475,0.725,0.2611111111111111,0.225,0.775,0.225,0.05,0.6382497067161991,14.376630140151464
treatment-r10,3.25,0.725,0.25,0.2,0.9,0.1,0.025,0.25,16.03124500073565
treatment-r2,2.725,0.625,0.17777777777777778,0.225,0.725,0.275,0,0.695369329672491,15.427867436597731
treatment-r3,3.95,0.775,0.2861111111111111,0.275,0.75,0.25,0,0.618137934713036,14.70375763844008
treatment-r4,2.775,0.675,0.2111111111111111,0.175,0.65,0.35,0,0.5949746242191868,15.676469628371413
treatment-r5,2.8,0.6,0.2,0.2,0.675,0.325,0.025,0.34270322167697886,14.889404505747477
treatment-r6,3.05,0.625,0.22777777777777777,0.2,0.725,0.275,0,0.4263525154998261,14.872244584257627
treatment-r7,1.175,0.4,0.10277777777777777,0.05,0.8,0.2,0.025,0.38733066917068837,17.841053950923342
treatment-r8,3.925,0.75,0.2972222222222222,0.25,0.675,0.325,0,0.3983054779682738,13.643306743825752
treatment-r9,2.525,0.7,0.18333333333333332,0.175,0.7,0.3,0,0.6826487289780513,14.630638884532091
