artifact,suite,world_seed,agent_seed,repeat,kill_reward,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions,attack_steps,attempted_actions,decision_time_median_ms,decision_time_p95_ms,decision_time_max_ms,greedy_actions_sha256,executed_action_sequence_sha256
reference,classic-peaceful,5975401,6975401,0,5.0,5,1,0.5555555555555556,5,64,0,1,400,0,0,54,0,400,6.47580623626709,15.017747879028304,26.799917221069336,3730370dd952f352e5d8da0abdf9bdab79077ba33ab182ce87b64b6048876d44,2294a6df5e7d9d790de95556653cfbd10f9c03ede41fd49cca07d03af5b3475b
reference,classic-peaceful,5975402,6975402,0,5.0,11,1,0.6666666666666666,6,72,1,1,400,0,0,52,0,400,5.136609077453613,13.192319869995115,23.85878562927246,1d00154bef6020678ee4a421ff2d0ee35a395039f067825649164d660b993251,80165e8569e740eec670e5abe204f041dd6f357f9c523a50957f5fcf101bdacb
reference,classic-peaceful,5975403,6975403,0,5.0,4,1,0.4444444444444444,4,25,0,1,400,0,0,9,0,400,4.823923110961914,7.349205017089843,14.001607894897461,1611f79b054c575436e1669cb52caeb504f106f08d89183055b5e405ae94254e,8261f4c3758d9e995aaf360bac238a88b1d91682923f0751b4873eb12d27b547
reference,classic-peaceful,5975404,6975404,0,5.0,8,1,0.8888888888888888,8,75,0,1,400,0,0,53,0,400,5.946636199951172,14.239513874053946,21.251201629638672,a0d895d4d07929e2423abaea78a5a323ca9b5e2704a87be2df2d309f790f3f8a,45e0fd2d1f5f0332b3ecdd4f2aa3283484b09880554b72903fdfd2534abf432b
reference,classic-peaceful,5975405,6975405,0,5.0,3,1,0.3333333333333333,3,54,0,1,400,0,0,54,0,400,5.5130720138549805,13.841390609741211,24.336576461791992,e4234b9b0e17267f5af8a87fc29aae309aeeaa44f6d09fd62101db3feac6e595,66f914d8c041bdfabf3893de571a15c7bc67a18ff4cd415be291d83c08cefcc9
reference,classic-peaceful,5975406,6975406,0,5.0,3,1,0.3333333333333333,3,30,0,1,400,0,0,54,0,400,5.94937801361084,13.571214675903317,21.28005027770996,390188e0300da239c9e174dd45edddf96891a24f3e73f3184b24a40a9a37bf9f,169713cd59562ef8d39113eb1129ec3bd3d5a0fb69ccc37fc18ae35b9147cbdd
reference,classic-peaceful,5975407,6975407,0,5.0,5,1,0.5555555555555556,5,47,0,1,400,0,0,56,0,400,5.927324295043945,14.194262027740479,22.324323654174805,d83aa39c48763c0890d71f8f88770fbc7192d9243fbaabb2d35a4d6ba87d0cb6,89f53e808bad8fd8df835bbb74d82ffe8c685418e367b54cf6a8b982bb7633aa
reference,classic-peaceful,5975408,6975408,0,5.0,0,0,0.0,0,15,0,1,400,0,0,54,0,400,4.546999931335449,9.844470024108883,15.156984329223633,e0814e1263103bb0bd05c9968192be2e61c26899ba456a77ee3d01b033a92109,7d1684826a38b8fd5b7c29bf5b95df95af7df751b58152ea4f40a2a90296874e
reference,classic-peaceful,5975409,6975409,0,5.0,7,1,0.7777777777777778,7,66,0,1,400,0,0,50,0,400,5.823373794555664,16.22301340103148,21.844148635864258,751d2a2656c6bd9404866e466dde4c1813d203839cba2d91ba4814e979a40b4d,224ebf625f024ac25c40bbbb3f32db02a2e903257c6ad0c7140f190fa485662d
reference,classic-peaceful,5975410,6975410,0,5.0,8,1,0.3333333333333333,3,38,1,0,137,1,0,19,0,137,3.910064697265625,10.53633689880371,13.661623001098633,335623e27160ee3687ecc589209a9fdf16edf98c7140dc17378178e400266110,384aac85aaf9840a83159867532191943e5f6a1de31acfc0d4e95f3e0e1c1f0b
reference,classic-peaceful,5975411,6975411,0,5.0,3,1,0.3333333333333333,3,40,0,1,400,0,0,56,0,400,5.840778350830078,13.278532028198239,21.305561065673828,e8efc32f36eaed4fb2d982e878e07783fc5b52bc3ff10ac630ab7a59e9e8147b,0de9121612e87d880974f47ff0046e64269ee232c08c5dfe1e525da5311a911d
reference,classic-peaceful,5975412,6975412,0,5.0,11,1,0.6666666666666666,6,97,1,1,400,0,0,55,0,400,4.36091423034668,12.749993801116938,25.470733642578125,696ce1bc82fb197cf7d36e1f2736a6c681df024f60a8f87dc9f4cf7b73fddb40,a7fb7de26e4ad5098487fce772ad1c023a4d63ace11f9cfe27320ea8d58d76db
reference,classic-peaceful,5975413,6975413,0,5.0,12,1,0.7777777777777778,7,75,1,1,400,0,1,53,0,400,5.442976951599121,15.952122211456299,24.765968322753906,ddf3ebb69524e3f0a352f76fa9b63f533ec49689b99a653503028173db28812b,b504ac94e2f14b24e605948f5081b3c790e24a123d10b237bbe72694278bfb38
reference,classic-peaceful,5975414,6975414,0,5.0,9,1,0.4444444444444444,4,47,1,0,134,1,0,18,0,134,3.265380859375,7.7685356140136665,14.151811599731445,f48a66e94fe69cb604224b582859e54175511b5a1e6efd23edf90cb64dbeb756,2d9fc2aab6e7dd91917c35464effb315106398c108d023ff3de98db38f460c9f
reference,classic-peaceful,5975415,6975415,0,5.0,6,1,0.1111111111111111,1,46,1,0,153,1,0,21,0,153,4.056215286254883,10.63661575317383,15.300273895263672,59d22fe4e74299f5ed300b8b754579769865034cb5db0d9bb480aae33ae585ef,dbbdbc27d5df1451b44873ba209adebc9fd1bfb9e83b115e8ea8c1018a78d059
reference,classic-peaceful,5975416,6975416,0,5.0,3,1,0.3333333333333333,3,63,0,0,180,1,0,25,0,180,3.4629106521606445,9.408235549926756,18.422603607177734,f21340052bde5b9ca2e994483ac2bb4049f87bed2bc45fdae5224a8c7955a197,7860a38db8301daf7e99e14cab1455c7ad9a451a88fde032400a217578ed5da0
reference,classic-peaceful,5975417,6975417,0,5.0,2,1,0.2222222222222222,2,38,0,1,400,0,0,18,0,400,8.975625038146973,13.344371318817137,19.164085388183594,daa5f9a3ed5c9354b888928b9dbbdf7ca670d3d7cbe03d33f006111a8da65b32,4af9aa0248f6d5aa1239c2b69f661f2ac3eb90defbb1377d4613a2e44063d262
reference,classic-peaceful,5975418,6975418,0,5.0,4,1,0.4444444444444444,4,69,0,1,400,0,0,53,0,400,6.3735246658325195,16.416120529174794,24.497270584106445,829d13ec66ebfa8fede2b174307445c2e143172c4e0fe001f0d45222da991aea,3f03e1d5929cf510608ecfc404ee0b803b8647c0e0fb92143d0c21eaf45a6849
reference,classic-peaceful,5975419,6975419,0,5.0,0,0,0.0,0,8,0,0,21,1,0,3,0,21,1.3511180877685547,4.028797149658203,4.031658172607422,15d4fb533570d2c933790209ab9cff118db310f912561954b5d4d4aa094177bd,4345e209929a1cd6873c36eb89a0aaa4085a278ca2f79beb738364a71ae70844
reference,classic-peaceful,5975420,6975420,0,5.0,0,0,0.0,0,25,0,1,400,0,0,54,0,400,5.578517913818359,15.565073490142808,18.98193359375,3a5c3d90480ac1d4383bd638502388aaa7d9de024c9a50abcd032e515b7a6fce,61fc12c3bd9bd65b257a9aadbfceb0aeb59dc0b5755dd30f6b8a3a1c19412528
reference,classic-peaceful,5975421,6975421,0,5.0,1,1,0.1111111111111111,1,17,0,0,51,1,0,7,0,51,2.7189254760742188,4.925131797790527,9.045839309692383,7255b6ecf200464bd5f93e741ccc0afc73789ae73ebb57dfb3ff874deb653802,410ccddfc5aafd9ca74d65bc827540f243ef2165759195238ecada01f96759f3
reference,classic-peaceful,5975422,6975422,0,5.0,9,1,0.4444444444444444,4,76,1,1,400,0,0,49,0,400,4.875898361206055,12.978613376617426,19.36936378479004,02fee24981003f712e8539f178c1b5564d5f2339af2386d8bf262f3f23b10d90,9b19ffbaac4ad8df13a2d8567d148cd9fd9079b67f9a3d151c931586965299e4
reference,classic-peaceful,5975423,6975423,0,5.0,5,1,0.5555555555555556,5,82,0,1,400,0,0,52,0,400,5.408525466918945,14.340734481811507,26.635169982910156,642b0d798dd260377734c56880b01264445d6911d94b6c23bd72640593450c9a,e300b6c93fada837f9e903966d142612b8a7cf4ebad092624f874dff9401c770
reference,classic-peaceful,5975424,6975424,0,5.0,2,1,0.2222222222222222,2,23,0,0,63,1,0,9,0,63,2.1054744720458984,6.313896179199219,8.30841064453125,f5b023b614d95914048e5957f9fb060824188a41e9080a576aaf9a6cff5e9ea8,86a785907814b2c4b6d29ff83e2201693d6b7540b704ee05751ebe428fa90787
reference,classic-peaceful,5975425,6975425,0,5.0,2,1,0.2222222222222222,2,59,0,1,400,0,0,54,0,400,5.351662635803223,12.949347496032711,20.257949829101562,89ba47d04897b656c7704d656c3118918b7807a1ff2160c5534637cd1109ad54,d85d7d57059e324b890c0aef49cd9a1873e0485452f0cfe5f56ece925e553ebf
reference,classic-peaceful,5975426,6975426,0,5.0,2,1,0.2222222222222222,2,26,0,1,400,0,0,13,0,400,3.9767026901245117,6.746399402618404,12.564420700073242,89b710f7bb7a93fb1f1d09d86bf5e86700e7a8b5686e6b8170d6f53346e04cae,70ff0e66e637e22b1b41b70b29af40feefe962956f1417a01f69a8223ee31fea
reference,classic-peaceful,5975427,6975427,0,5.0,8,1,0.8888888888888888,8,113,0,1,400,0,0,54,0,400,5.101919174194336,12.724089622497555,26.5653133392334,8f5795728c1870018919c28d0717f6e19e46b1bb2a128d0e22f84732c3a97aac,f59509e36ea5c99332373e7f29e08c030583ea58d6f49bdd9ab1b93995ad2c8d
reference,classic-peaceful,5975428,6975428,0,5.0,4,1,0.4444444444444444,4,47,0,1,400,0,0,52,0,400,4.838824272155762,12.660324573516837,19.214630126953125,59494ddf531159b298cdbb864b6a8acf161ce9c7864a60cdc0c69973f7c99441,0c59a5459bdd395c5e499df64b14562ce0f41edbc554757e013395a80866c026
reference,classic-peaceful,5975429,6975429,0,5.0,1,1,0.1111111111111111,1,13,0,1,400,0,0,5,0,400,3.412604331970215,4.754233360290527,7.676839828491211,9db47ddbdef19529de6751e2849c6c83815791d2e06aa350df62abace3783951,79cfa3e195eae59d247d86b1a2d6b28a613c773daff1ae8211537a000b195915
reference,classic-peaceful,5975430,6975430,0,5.0,2,1,0.2222222222222222,2,38,0,0,128,1,0,17,0,128,3.842949867248535,9.49529409408569,13.498306274414062,87dbad5ad93bec16b57d28cfd0684ac0ffb2cb071d8e748bebe268f9cb1e92d0,43732a740032bdb08898c532b57d7ba39d70b0661708438679b0f6fb550fdd70
reference,classic-peaceful,5975431,6975431,0,5.0,4,1,0.4444444444444444,4,54,0,1,400,0,0,26,0,400,2.9484033584594727,8.78078937530517,20.509004592895508,5ecbf63332d35f605b99e6fdd910a3544d11353aa442a91aaee9c2da5578f8c4,bf8e15f7c507f0ccdc1630d3eef0bcbf96a40fc92c098c1671d0ebfe14afac9d
reference,classic-peaceful,5975432,6975432,0,5.0,10,1,0.5555555555555556,5,77,1,1,400,0,0,53,0,400,5.562782287597656,14.689421653747555,24.87468719482422,435679a30c76ca98359a92bf5513760923ae9446fea335aabd5dd5e42ba8b608,d6257e55236b48a63ddc6a61f28c3ff82b05a587c8a7c62c4151bdc79fa390ea
reference,classic-peaceful,5975433,6975433,0,5.0,3,1,0.3333333333333333,3,58,0,0,207,1,0,28,0,207,4.49681282043457,11.91596984863281,23.13089370727539,35e0a907b0972e39d33d7da346542bf74989d2fd1e3de89251a98ea852179bb1,907a22257831a80df5a3bbba2d9c088a574190db5a0f34586853d5b0748adfc0
reference,classic-peaceful,5975434,6975434,0,5.0,4,1,0.4444444444444444,4,69,0,0,169,1,0,23,0,169,4.507780075073242,11.902284622192381,15.41447639465332,a65324b5fb5935af019db82eb9e39cc986ff9948d4c45c7d885760bb9a394920,268943758fd57bc26d79c34565c1b5bf5271a287fb46d754ceb60a76b1c84159
reference,classic-peaceful,5975435,6975435,0,5.0,12,1,0.7777777777777778,7,85,1,1,400,0,0,52,0,400,4.976153373718262,14.69982862472532,20.55191993713379,efc8c72dcb4e9f07be8088574b0e062a314682707e0177c18d254055370f851d,2552470344fa3cd266100cd8f57892ca4ab5ca32f6b136fc94b33792f7fd95f5
reference,classic-peaceful,5975436,6975436,0,5.0,2,1,0.2222222222222222,2,34,0,0,103,1,0,14,0,103,2.6865005493164062,7.108187675476071,16.132831573486328,3d5208fed2a7a586674ce95e43752661ddf3c98041e660854431c34fbaf5f37a,313ea87becb2550dc7dede20a284b057db98af322576a3515acf702c40ba972a
reference,classic-peaceful,5975437,6975437,0,5.0,5,1,0.5555555555555556,5,72,0,1,400,0,0,52,0,400,6.051540374755859,17.02618598937988,24.08766746520996,707f745ca4fb524faf267630da690c8715fa1e7222ab94cfb79f68606a4c74ec,a95f9471107d7c8d61b3e6fc43b5ab1c26527ccccdc312cb5ad5df69851e7007
reference,classic-peaceful,5975438,6975438,0,5.0,14,1,1.0,9,118,1,1,400,0,0,53,0,400,5.299925804138184,13.766527175903306,24.375200271606445,8253487d3ac7d3e34e7cca3a7f0a653fc82a3767e21863771bfb538d545e0d7e,803b1b26a8f438e6c7eba0708fb137d10d647ee296c31e48c13c4784d132bc96
reference,classic-peaceful,5975439,6975439,0,5.0,6,1,0.6666666666666666,6,86,0,0,214,1,0,29,0,214,4.053354263305664,10.033106803894041,20.82657814025879,817a48fc014f273ca0a894fb6c50085c55c792b392740de3855ae98ebaaf6ba9,e6a5a03b12749d42bfae4b6bcc0d1b34cea9a65d5c74dea059b5038bfa8f9ba4
reference,classic-peaceful,5975440,6975440,0,5.0,1,1,0.1111111111111111,1,39,0,1,400,0,0,18,0,400,4.7103166580200195,7.664215564727781,14.941692352294922,863814c6f86de9492ce9aba0f36035dc55f4bd6f06f700cf46097dd5ba805f43,16b1b6d5778fc7cd1067d4b77bf6954d187358a09d936bfe169a0d0b4e521b13
reference,classic-peaceful,5975401,6975401,1,5.0,5,1,0.5555555555555556,5,64,0,1,400,0,0,54,0,400,6.306886672973633,16.012322902679436,22.92776107788086,3730370dd952f352e5d8da0abdf9bdab79077ba33ab182ce87b64b6048876d44,2294a6df5e7d9d790de95556653cfbd10f9c03ede41fd49cca07d03af5b3475b
reference,classic-peaceful,5975402,6975402,1,5.0,11,1,0.6666666666666666,6,72,1,1,400,0,0,52,0,400,5.38945198059082,12.770032882690419,19.148826599121094,1d00154bef6020678ee4a421ff2d0ee35a395039f067825649164d660b993251,80165e8569e740eec670e5abe204f041dd6f357f9c523a50957f5fcf101bdacb
reference,classic-peaceful,5975403,6975403,1,5.0,4,1,0.4444444444444444,4,25,0,1,400,0,0,9,0,400,4.822969436645508,7.4299693107604945,10.95128059387207,1611f79b054c575436e1669cb52caeb504f106f08d89183055b5e405ae94254e,8261f4c3758d9e995aaf360bac238a88b1d91682923f0751b4873eb12d27b547
reference,classic-peaceful,5975404,6975404,1,5.0,8,1,0.8888888888888888,8,75,0,1,400,0,0,53,0,400,5.940079689025879,13.91000747680664,22.800207138061523,a0d895d4d07929e2423abaea78a5a323ca9b5e2704a87be2df2d309f790f3f8a,45e0fd2d1f5f0332b3ecdd4f2aa3283484b09880554b72903fdfd2534abf432b
