suite,arm,score,strict_win,collection_fraction,coins,crates,eliminations,survived,survival_steps,self_kills,invalid_actions,bomb_actions
classic-peaceful,reference,5.025,0.925,0.41944444444444445,3.775,54.5,0.25,0.7,319,0.3,0.025,36.775
classic-peaceful,control,1.9349999999999998,0.56,0.17055555555555554,1.535,27.11,0.08,0.82,346.18,0.18,0,25.87
classic-peaceful,treatment,2.505,0.675,0.22833333333333333,2.055,32.275,0.09,0.81,347.615,0.19,0.015000000000000001,32.995
coin-heaven,reference,26.8,0,0.536,26.8,0,0,0.875,303.725,0.125,0,3.5
coin-heaven,control,26.8,0,0.536,26.8,0,0,0.875,303.725,0.125,0,3.5
coin-heaven,treatment,26.8,0,0.536,26.8,0,0,0.875,303.725,0.125,0,3.5
loot-crate,reference,8.4,0,0.168,8.4,24.65,0,0.375,193.575,0.625,0,10.725
loot-crate,control,8.4,0,0.168,8.4,24.65,0,0.375,193.575,0.625,0,10.725
loot-crate,treatment,8.4,0,0.168,8.4,24.65,0,0.375,193.575,0.625,0,10.725
classic-empty,reference,2.8,0,0.3111111111111111,2.8,44.7,0,0.775,331.375,0.225,0,31.4
classic-empty,control,2.8,0,0.3111111111111111,2.8,44.7,0,0.775,331.375,0.225,0,31.4
classic-empty,treatment,2.8,0,0.3111111111111111,2.8,44.7,0,0.775,331.375,0.225,0,31.4
