artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions
reference,4.825,0.85,0.3972222222,0.25,0.725,0.275,0.125
control-r1,2.625,0.75,0.2083333333,0.15,0.875,0.125,0.025
treatment-r1,3.725,0.775,0.275,0.25,0.825,0.175,0
control-r2,2.575,0.675,0.2166666667,0.125,0.825,0.175,0
treatment-r2,2.3,0.65,0.2,0.1,0.9,0.1,0
control-r3,2.35,0.65,0.2055555556,0.1,0.9,0.1,0
treatment-r3,3.175,0.75,0.2694444444,0.15,0.85,0.15,0
control-r4,2.3,0.725,0.2,0.1,0.875,0.125,0.025
treatment-r4,2.025,0.675,0.1694444444,0.1,0.9,0.1,0
control-r5,2.15,0.725,0.1833333333,0.1,0.9,0.1,0
treatment-r5,3.5,0.775,0.2777777778,0.2,0.65,0.35,0.025
