artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,4,0.775,0.3333333333333333,0.2,0.725,0.275,0.025,0.26099452554744523,16.930702390804896
control-r1,2.7,0.75,0.24444444444444444,0.1,0.775,0.225,0.025,0.6937742404654169,18.147526753615885
control-r2,3.475,0.825,0.28888888888888886,0.175,0.65,0.35,0.025,0.41288283475783477,17.168969858871368
control-r3,2.125,0.75,0.19444444444444445,0.075,0.825,0.175,0,1.8337693798449612,16.75202360584363
control-r4,3.875,0.8,0.29166666666666663,0.25,0.725,0.275,0,0.5352549767232718,16.245157008475072
control-r5,3.825,0.75,0.3416666666666667,0.15,0.7,0.3,0.025,0.5225870052970748,16.9039973045094
control-r6,1.975,0.725,0.15,0.125,0.675,0.325,0,0.7456981283641351,17.119938076605838
control-r7,3.875,0.75,0.29166666666666663,0.25,0.75,0.25,0.025,0.7919907366181275,16.851936917962735
control-r8,3.175,0.8,0.2833333333333333,0.125,0.65,0.35,0.025,0.29968832206947504,17.47624204911083
mild-r1,2.4,0.675,0.23888888888888887,0.05,0.8,0.2,0.025,0.025252525252525256,17.60523464035964
mild-r2,2.55,0.725,0.26944444444444443,0.025,0.825,0.175,0,0.01875,17.797279995331465
mild-r3,3.9,0.7,0.29444444444444445,0.25,0.7,0.3,0.025,0.7345088026009079,15.398923306613122
mild-r4,2.425,0.675,0.21388888888888888,0.1,0.7,0.3,0,0.9699937248995985,17.83886029860109
mild-r5,3.825,0.825,0.3416666666666667,0.15,0.75,0.25,0.025,0.15,16.43550037081124
mild-r6,4.425,0.8,0.36666666666666664,0.225,0.7,0.3,0.025,0.5510643786288951,16.86561898853391
mild-r7,3.15,0.675,0.225,0.225,0.7,0.3,0.025,0.4476028950625052,17.39555088992125
mild-r8,2.775,0.775,0.26666666666666666,0.075,0.7,0.3,0,0.06875,17.702225165193767
strong-r1,3.875,0.75,0.3333333333333333,0.175,0.675,0.325,0,0.2629385964912281,16.255699924126294
strong-r2,4.4,0.75,0.35,0.25,0.65,0.35,0,0.3422726839496759,16.23721717632201
strong-r3,3.525,0.8,0.3361111111111111,0.1,0.725,0.275,0.025,0.1443731087752827,16.26812357061189
strong-r4,3.325,0.7,0.2861111111111111,0.15,0.675,0.325,0.025,0.37900158963071656,16.85741306924711
strong-r5,3.45,0.75,0.3138888888888889,0.125,0.6,0.4,0.025,0.29731820234869016,16.91198981535993
strong-r6,4.25,0.825,0.375,0.175,0.7,0.3,0.075,0.5508994421590239,15.91598862974393
strong-r7,4.925,0.75,0.4083333333333333,0.25,0.7,0.3,0,0.275,16.59811534019398
strong-r8,4.35,0.775,0.37222222222222223,0.2,0.7,0.3,0,0.1535776749812024,16.32852050270503
