artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions,attack_opportunities_per_100_steps,mean_opponent_distance
reference,4.45,0.8333333333333334,0.36018518518518516,0.24166666666666667,0.7166666666666667,0.2833333333333333,0.016666666666666666,0.6883640060207359,15.33071920458306
control-r1,0.7833333333333333,0.39166666666666666,0.07314814814814814,0.025,0.7833333333333333,0.21666666666666667,0.008333333333333333,0.04863683127572017,17.081322035352915
control-r2,2.158333333333333,0.7,0.1935185185185185,0.08333333333333333,0.7,0.3,0,0.43982177748632045,16.78657012683711
control-r3,0.5166666666666667,0.3333333333333333,0.05740740740740741,0,0.8916666666666667,0.10833333333333334,0,0.005341880341880342,17.538738835770438
control-r4,3.2,0.775,0.2537037037037037,0.18333333333333332,0.5583333333333333,0.44166666666666665,0.016666666666666666,0.44438202392501963,15.348048112681635
control-r5,1.825,0.6416666666666667,0.18888888888888888,0.025,0.775,0.225,0,0.06769662921348314,16.970626722242656
treatment-r1,2.033333333333333,0.7083333333333334,0.1935185185185185,0.058333333333333334,0.8916666666666667,0.10833333333333334,0,0.15096153846153845,17.14574477001244
treatment-r2,2.316666666666667,0.725,0.22037037037037036,0.06666666666666667,0.8166666666666667,0.18333333333333332,0.016666666666666666,0.2896246998197576,16.37112562233461
treatment-r3,4.375,0.9083333333333333,0.36574074074074076,0.21666666666666667,0.7833333333333333,0.21666666666666667,0,0.28278867102396515,16.245413474057223
treatment-r4,2.816666666666667,0.7083333333333334,0.23425925925925925,0.14166666666666666,0.7916666666666666,0.20833333333333334,0.008333333333333333,0.3479060715354731,16.00083886278436
treatment-r5,1.975,0.6916666666666667,0.1685185185185185,0.09166666666666666,0.7333333333333333,0.26666666666666666,0.016666666666666666,0.40631823369379,16.021020153686607
