artifact,score,strict_win,collection_fraction,eliminations,survived,self_kills,invalid_actions
reference,2.975,0.825,0.2888888889,0.075,0.75,0.25,0
control-r1,2.35,0.725,0.1777777778,0.15,0.875,0.125,0
treatment-r1,3.6,0.85,0.3166666667,0.15,0.775,0.225,0.025
control-r2,2.425,0.85,0.2138888889,0.1,0.775,0.225,0
treatment-r2,2.875,0.875,0.2638888889,0.1,0.8,0.2,0
control-r3,2.275,0.725,0.1972222222,0.1,0.825,0.175,0
treatment-r3,3.875,0.85,0.3194444444,0.2,0.7,0.3,0.05
control-r4,1.6,0.65,0.1361111111,0.075,0.8,0.2,0.025
treatment-r4,3.025,0.8,0.2805555556,0.1,0.775,0.225,0
control-r5,2.05,0.775,0.2138888889,0.025,0.725,0.275,0
treatment-r5,3.725,0.9,0.3166666667,0.175,0.75,0.25,0
