replica,scenario,world_seed,agent_seed,collection_fraction,opponents_eliminated,self_kills,score,invalid_actions,decision_time_p95_ms,decision_time_max_ms,action_sequence_sha256,repeat_match
r1,peaceful,186101,286101,0.2222222222222222,0,0,2,2,0.4570126533508299,0.7898807525634766,382edce2e82a8f9ed824e1a2d3db101669acf107873a3c4e5fe1b22c4e803d60,True
r1,peaceful,186102,286102,0.2222222222222222,0,0,2,8,0.8287549018859863,1.0409355163574219,774f46888947763ffd34d5a61dd5202b9129345b9e117c483ba51d7620a3b421,True
r1,peaceful,186103,286103,0.1111111111111111,0,0,1,3,0.44898986816406244,0.5757808685302734,780731bc13d1c57f5ebcf6ff70302b57bd5f382e5d628de6fa40a5dca41008b1,True
r1,peaceful,186104,286104,0.0,0,0,0,1,0.3412246704101562,0.5819797515869141,753ccd3d65a24af1f636e5b1de9e4fc66038a438a642934d6157ac3a78d41e45,True
r1,peaceful,186105,286105,0.1111111111111111,0,0,1,0,0.44460296630859336,0.7038116455078125,39277aaa06d88ef5bee6f4e72332240e3f57f7bef1375b90bacc431194b2e507,True
r1,peaceful,186106,286106,0.1111111111111111,0,0,1,1,0.408172607421875,0.5578994750976562,17705b3bf6379f2828d05e3df6e926b635ee9e4bba7712a718cb574c6c0ad52d,True
r1,peaceful,186107,286107,0.2222222222222222,0,0,2,1,0.5123734474182127,0.7510185241699219,8225b4f3d2a81bc3ec3e46d23b0a15f5d5194bac908c83802c24d94b7bb32664,True
r1,peaceful,186108,286108,0.8888888888888888,1,0,13,3,0.4840135574340818,0.8301734924316406,a27a36d1985cc409d986e50e55a6a5d348ff012bf6916d58899b34a46f55d1b3,False
r1,peaceful,186109,286109,0.0,0,0,0,0,0.4201769828796386,0.7472038269042969,261e9efc03a5097117cc703d1e66318951b62d7811cdcefb9b2c17c596324e14,True
r1,peaceful,186110,286110,0.3333333333333333,0,0,3,6,0.5863666534423827,0.8180141448974609,d979de04e9c93bb7be00f91c72a790ba83f8fc0f79ee7b5a93488cd4029cf372,True
r1,peaceful,186111,286111,0.1111111111111111,0,0,1,39,0.45539140701293923,0.7309913635253906,c2cbf5a17a8c06949bd21b0213c39096df9b8df24b559860b64c0d19451397c5,True
r1,peaceful,186112,286112,0.0,0,0,0,0,0.26707649230957026,0.5931854248046875,45754d19ec7510d6d4c6590a79c2b144b13ebe81bb0421b8370af6f078acedd7,True
r1,peaceful,186113,286113,0.2222222222222222,0,0,2,0,0.6039619445800781,0.9300708770751953,0366057bc5475418faa5b783185136f20768242a09fccfcb9373bc15914e3979,True
r1,peaceful,186114,286114,0.1111111111111111,0,0,1,0,0.2866506576538081,0.4611015319824219,9e6a627faceae67f4d9944bba4854bc4a0438a1d7f0168fbe1da92c9950234a0,True
r1,peaceful,186115,286115,0.0,0,0,0,0,0.48213005065917963,0.6318092346191406,7f929b8cd2913f18a3bcb25c7be883b15e06a2971018fcfc051cba294309ce42,True
r1,peaceful,186116,286116,0.0,0,0,0,0,0.5680203437805175,0.9658336639404297,adce7e0f0b36f46b3ff82614bcdcd8a526f7091f8732ed198fd7ddfe2d655d42,True
r1,peaceful,186117,286117,0.3333333333333333,0,0,3,1,0.6127595901489251,0.98419189453125,6634ead9bae5ed0bfe181ff96823c59e919cceb0ea13bf3f450627dfbc7fec01,True
r1,peaceful,186118,286118,0.3333333333333333,0,0,3,63,0.6801724433898924,0.9069442749023438,6b89498b9ca577e1c5d0cf5d7e4f5fab658d482e2838af6a57d57b7b64e3afac,False
