replica,scenario,episodes,mean_collection_fraction,mean_opponents_eliminated,self_kill_rate,mean_score,invalid_action_rate,decision_time_p95_ms,decision_time_max_ms
r1,classic,20,0.25,0.0,0.0,2.25,2.3,0.5632877349853515,17.055988311767578
r1,coin-heaven,20,1.0,0.0,0.0,50.0,0.05,1.5901565551757808,3.7190914154052734
r1,coincollector,20,0.2333333333333333,0.15,0.35,2.85,6.95,4.713594913482668,21.192073822021484
r1,loot-crate,20,0.352,0.0,0.1,17.6,8.4,2.584576606750488,12.683868408203125
r1,peaceful,20,0.16666666666666666,0.05,0.0,1.75,6.4,0.8287549018859863,1.0409355163574219
r2,classic,20,0.16666666666666666,0.0,0.0,1.5,2.0,0.5052208900451658,0.8399486541748047
r2,coin-heaven,20,1.0,0.0,0.0,50.0,0.05,1.7629146575927734,9.718894958496094
r2,coincollector,20,0.20555555555555555,0.0,0.4,1.85,5.45,3.5593509674072257,12.544870376586914
r2,loot-crate,20,0.313,0.0,0.05,15.65,8.0,3.420603275299057,159.8191261291504
r2,peaceful,20,0.19444444444444445,0.05,0.0,2.0,2.0,1.7995953559875437,8.605003356933594
r3,classic,20,0.15555555555555556,0.0,0.05,1.4,3.45,0.39331912994384727,0.9350776672363281
r3,coin-heaven,20,1.0,0.0,0.0,50.0,0.05,1.0954380035400386,3.0040740966796875
r3,coincollector,20,0.22777777777777777,0.05,0.15,2.3,12.05,4.448688030242915,49.14498329162598
r3,loot-crate,20,0.296,0.0,0.05,14.8,15.0,4.75105047225952,16.377687454223633
r3,peaceful,20,0.2777777777777778,0.1,0.15,3.0,8.1,1.1086344718933099,2.321004867553711
r4,classic,20,0.2611111111111111,0.0,0.0,2.35,8.95,0.5142807960510252,0.8733272552490234
r4,coin-heaven,20,1.0,0.0,0.0,50.0,0.05,0.9244918823242178,1.1479854583740234
r4,coincollector,20,0.2777777777777778,0.05,0.25,2.75,7.1,7.023811340332029,20.600080490112305
r4,loot-crate,20,0.292,0.0,0.15,14.6,7.35,1.8262386322021473,4.171133041381836
r4,peaceful,20,0.22222222222222224,0.15,0.1,2.75,8.15,0.9022235870361319,1.4040470123291016
r5,classic,20,0.2,0.0,0.0,1.8,6.95,0.7409811019897459,26.43132209777832
r5,coin-heaven,20,1.0,0.0,0.0,50.0,0.05,1.683950424194336,3.390073776245117
r5,coincollector,20,0.27222222222222225,0.0,0.3,2.45,9.3,4.37175035476684,13.331174850463867
r5,loot-crate,20,0.343,0.0,0.15,17.15,9.7,3.0910253524780256,55.48405647277832
r5,peaceful,20,0.22222222222222224,0.05,0.0,2.25,4.1,0.6271839141845702,1.4629364013671875
